#CapacityCost;;euros/kW/an;;;;;;
#energyCost;;euros/MWh;;;;;;
#minCapacity;;MW;;;;;;
#maxCapacity;;MW;;;;;;
#EnergyNbhourCap;;hours;;;;;;
#RampConstraintPlus;;p,u/h;;;;;;
AREAS;TECHNOLOGIES;energyCost;capacity;EnergyNbhourCap;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
FR;Thermal;100,652;60000;0;0;0;0;0
FR;OldNuke;7,728;63000;0;0;0;0;0
FR;NewNuke;7,728;1600;0;0;0;0;0
FR;HydroRiver;0,432;10000;0;0;0;0;0
FR;HydroReservoir;0,1;10000;3638,1;0;0;0;0
FR;WindOnShore;0;11700;0;0;0;0;0
FR;WindOffShore;0;4000;0;0;0;0;0
FR;Solar;0;6700;0;0;0;0;0
FR;Curtailement;3000;0;0;0;0;0;0
DE;Thermal;100,652;90000;0;0;0;0;0
DE;OldNuke;7,728;9500;0;0;0;0;0
DE;NewNuke;7,728;0;0;0;0;0;0
DE;HydroRiver;0,432;0;0;0;0;0;0
DE;HydroReservoir;0,1;0;3638,1;0;0;0;0
DE;WindOnShore;0;52700;0;0;0;0;0
DE;WindOffShore;0;5900;0;0;0;0;0
DE;Solar;0;45300;0;0;0;0;0
DE;Curtailement;3000;0;0;0;0;0;0
