Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;0.0;3.9949573434896966;39.00247628273171;11.152195841772246;26.340748249155762;5.203317316714547;0.0;0.0
2021;0.0;3.829253384166344;39.03087033423337;11.100853536597954;26.04891275232625;5.292630907349838;0.056058342857763975;0.005797339814478828
2022;0.0;3.547556015194406;38.974119066743725;11.072924997113754;25.701426825283704;5.507365821730362;0.1559517333367449;0.01749313898923826
2023;0.0;3.1531793131025663;38.84057161579716;11.067686297189407;25.30575720330069;5.845876432257089;0.29754555497104607;0.03478806150166549
2024;0.0;2.6484858056547758;38.62320374477915;11.088598343490883;24.862622653817592;6.300959468756809;0.47826992355283;0.05745217945070316
2025;0.0;2.152084533839955;38.323824909600994;11.124181488174067;24.44979246860818;6.789258030593604;0.6982422218583965;0.08509209895668958
2026;0.0;1.6675284894913247;37.47938005324567;11.247542607763583;24.074078981997655;7.508634229745289;1.1544183260818475;0.14728483201806863
2027;0.0;1.190724099224992;36.532482280328125;11.36294155538643;23.643841525897216;8.24626128527147;1.6478803583514183;0.2148000265612527
2028;0.0;0.7231537355009567;35.48778507397221;11.46890541461825;23.16005149703824;8.997664194533154;2.1758003187372044;0.28725930309306064
2029;0.0;0.2681832936423742;34.34523356179034;11.56605019689949;22.620001330032334;9.757977185799854;2.735057998869068;0.3643505846179033
2030;0.0;0.0;33.10695927850854;11.615757448341718;22.023987280776137;10.386668182234958;3.3218593522116007;0.4457724860533244
2031;0.0;0.0;31.88374205263832;11.608306437652537;21.430114606471914;10.79222309299487;3.895493588815314;0.5264664871565573
2032;0.0;0.0;30.6693913533242;11.5951007670876;20.840388653510015;11.18807728429248;4.45676171846137;0.6059483286252413
2033;0.0;0.0;29.467665919154214;11.578330285681153;20.250857179626262;11.57522511271831;5.0039110194278775;0.6838430721524766
2034;0.0;0.0;28.275480086438026;11.570401067281505;19.68943567664727;11.961567745487976;5.541851132938889;0.7610577048516096
2035;0.0;0.0;27.084302155948077;11.585263066847073;19.205116350753222;12.361817241219974;6.078903994817137;0.8367051079884076
2036;0.0;0.0;25.90477938878479;11.595353512739276;18.719163783626247;12.745685964331772;6.602794792642208;0.9109648732256013
2037;0.0;0.0;24.741342987692885;11.602442846167454;18.235826668603725;13.119380774652699;7.114853463623966;0.984013427019401
2038;0.0;0.0;23.594336960939067;11.604101859220277;17.75437366805162;13.483232818189869;7.614456006895992;1.0552306631869426
2039;0.0;0.0;22.464801680972094;11.602213394997216;17.275263356801247;13.83546397852757;8.101190414358063;1.1251570046424364
2040;0.0;0.0;21.353624704577694;11.59843441552118;16.796961751016923;14.174793153209716;8.575070032680292;1.1941995863372146
2041;0.0;0.0;20.265958135468733;11.592132313863887;16.326492253346085;14.505681429544206;9.037141071215355;1.261512089464363
2042;0.0;0.0;19.19934045983965;11.585056284879316;15.862358139405217;14.826538006798565;9.48703170062211;1.3276292972799684
2043;0.0;0.0;18.155571176922166;11.577731829776614;15.403855068173797;15.141592424441043;9.92507127308733;1.3920814776159955
2044;0.0;0.0;17.145850391966956;11.584310017438453;14.979261046274521;15.46197495405418;10.361364300185537;1.4558573160481367
2045;0.0;0.0;16.180576136357796;11.612644738172735;14.612579016616703;15.821765646252704;10.809744155314435;1.5196012501146234
2046;0.0;0.0;15.228767329205251;11.635586845714492;14.245580306013323;16.153037982055736;11.24901350235087;1.5823646028698328
2047;0.0;0.0;14.298279612212612;11.655756717616901;13.882356289026053;16.47622597253971;11.672550226650198;1.6434309122953659
2048;0.0;0.0;13.385226328325977;11.673639692990525;13.52615963274738;16.78876335606082;12.087917658624407;1.7032976555064938
2049;0.0;0.0;12.494570135043462;11.691757636480546;13.174288757257056;17.09271728830414;12.492680033486824;1.762265726690506
2050;0.0;0.0;11.62465404524924;11.709480353561867;12.826102516947577;17.387363987341907;12.888133913343786;1.8191902871978838
2051;0.0;0.0;11.388491263824312;11.646346581739953;12.60322871230519;17.36701479891096;12.967060388135064;1.8308618289758525
2052;0.0;0.0;11.15670770746966;11.586270943943154;12.379871000806713;17.34908613792132;13.045583469719803;1.8428159168228277
2053;0.0;0.0;10.926115900302216;11.527374522342871;12.158030504702925;17.330664912386716;13.125171084113637;1.8546283143706863
2054;0.0;0.0;10.695988613179088;11.468641093692485;11.93769183887392;17.3114551530292;13.205107996570437;1.8672560550010422
2055;0.0;0.0;10.466297091764392;11.410173551143227;11.717445740783035;17.29552209189319;13.2839260597749;1.8788618329529763
2056;0.0;0.0;10.236789921379259;11.353586456945981;11.498879463302217;17.28205485352902;13.363504935735435;1.8911921116640213
2057;0.0;0.0;10.009949969583634;11.298056909046347;11.280824314606146;17.268473222343815;13.44253308023997;1.903530329345718
2058;0.0;0.0;9.731572084260238;11.22382942282574;11.026674824839157;17.20739675774994;13.498381632755668;1.9117575267248865
2059;0.0;0.0;9.445318881455378;11.149732649224989;10.787674073560659;17.21055651141055;13.560340378152762;1.9181194849284047
2060;0.0;0.0;9.157874145257432;11.058160881492935;10.523318772774875;17.13618151371972;13.62893756192524;1.924648096977788
