Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;4.691347948548001;22.524341313258;56.25504815599801;7.664961254004001;21.487283852490002;9.322350924150001;1.5894410969519999;0.0
2021;4.684213833314763;21.703946892662188;55.721190565930954;7.761261535117718;21.293079123800652;9.974641533137712;1.7208508636914503;0.0
2022;4.704954499862625;20.216184525585103;54.959728605413666;7.996437798286134;21.017140240069182;11.225615263793836;1.963171403015221;0.0
2023;4.780948122099331;18.08813770607824;54.02103697884158;8.376556049248688;20.680015361973073;13.07545010096673;2.312322163982333;0.0
2024;4.888237702629839;15.31674765493821;52.87344150916857;8.891750558317995;20.269572197545934;15.504760674839218;2.7673340877965615;0.0
2025;4.99987592068418;12.569755345181937;51.52536778357373;9.439761146884923;19.789558055804726;18.024528287910336;3.273340104357235;0.0
2026;5.117745546012677;9.85045469703523;49.91144374093712;10.050995741427398;19.21465332085436;20.667547547525277;3.8378870393544817;0.0
2027;5.242306041472271;7.166074860811924;48.11905461392574;10.694383540769314;18.580276756382908;23.394036809565247;4.450222386159522;0.0
2028;5.374720396159125;4.520236189126877;46.16163955467458;11.370313140060038;17.892702764579173;26.203310765880385;5.109041219561569;0.0
2029;5.5091845517695885;1.9139951268526751;44.01579530213875;12.068558208893581;17.140053036020205;29.071578956701806;5.810445147215838;0.0
2030;5.592647007974584;4.3158000000000006e-07;41.51556845689705;12.62928084223685;16.239241938635075;31.3757440597302;6.47201072983379;0.0
2031;5.600025621502541;0.0;39.01005771209839;12.868364198991445;15.331990785854511;32.215324710117095;6.952379064677249;0.0
2032;5.602859172006994;0.0;36.54807472272699;13.087393814388783;14.441916672095465;33.004749016261655;7.411129706350814;0.0
2033;5.6005468057382535;0.0;34.133355640840854;13.286291450508882;13.570677140623177;33.7433704532001;7.847965399098083;0.0
2034;5.592968639960698;0.0;31.767751365059713;13.464509522475415;12.719027020872044;34.42978998449538;8.262245652628296;0.0
2035;5.580002342000244;0.0;29.453133359294952;13.621495543966567;11.887727857717817;35.062590101012766;8.65332672021286;0.0
2036;5.561524962256619;0.0;27.191397357050622;13.756689857475322;11.077548473650099;35.640335075046146;9.020555812443378;0.0
2037;5.537411246783872;0.0;24.984464098997304;13.86952709272711;10.289261922379318;36.16157186562155;9.363276346482698;0.0
2038;5.507535719957657;0.0;22.83427405064114;13.959434852813374;9.52364848053326;36.62482869988673;9.68082721219372;0.0
2039;5.471769416887511;0.0;20.742797142057448;14.025835240074139;8.781492934806511;37.02861542724841;9.972540592242327;0.0
2040;5.445646773036378;0.0;18.754979428846518;14.113705782252493;8.100878165626947;37.46845833907614;10.261430226555227;0.0
2041;5.434534174290671;0.0;16.87656793111378;14.241015649901147;7.484944432813885;37.983931971701985;10.559779909632226;0.0
2042;5.42109594430517;0.0;15.0536965255464;14.356716903128817;6.888522762816082;38.46584320634517;10.84213914095264;0.0
2043;5.4053946282548155;0.0;13.286205841475258;14.460967704882416;6.311557601022289;38.91468956959632;11.108693124075371;0.0
2044;5.387505656271108;0.0;11.57389123573804;14.553958645089585;5.753981004534209;39.33106752485152;11.359660962757287;0.0
2045;5.36701803150623;0.0;9.916102819648069;14.63482759529284;5.215682381399704;39.71254565351915;11.594366792025683;0.0
2046;5.343959107646976;0.0;8.312915952848412;14.703643717688456;4.696672506812355;40.05930194263527;11.81290031023017;0.0
2047;5.318363454486508;0.0;6.764385980527358;14.76050158731739;4.196961388281456;40.371589835411534;12.015380216979578;0.0
2048;5.2902784548749695;0.0;5.270547128266869;14.805530318624566;3.716556505695942;40.64975921212721;12.201962206400399;0.0
2049;5.259393888740608;0.0;3.8309056826388845;14.837858286307142;3.255084671270668;40.89141568508616;12.371859973623007;0.0
2050;5.207088629659481;0.0;2.9882949431495383;14.771456234197048;2.8125866700039786;40.707454542336265;12.475904727822087;0.0
2051;5.0992750870769035;0.0;2.916191252845771;14.481543796983543;2.757718640030426;39.99003847443501;12.238619679915343;0.0
2052;4.991751698746437;0.0;2.8442655350665427;14.192452437069438;2.7030111375891446;39.27478103536283;12.00201156830507;0.0
2053;4.884515324528531;0.0;2.772515331862723;13.904172883521754;2.648462598872737;38.561657820386344;11.7660731607815;0.0
2054;4.777562461294284;0.0;2.700939123501993;13.616695591627986;2.5940705886435103;37.85064454385215;11.530796727616446;0.0
2055;4.670890146721051;0.0;2.629534856015297;13.33001134587392;2.5398333857599438;37.14171700976005;11.296174609528164;0.0
2056;4.5644947554627455;0.0;2.5583005255036446;13.044111573527033;2.4857491739581348;36.43485185849135;11.06219941988879;0.0
2057;4.4583739886962945;0.0;2.4872342888934704;12.75898659131407;2.431816512116965;35.73002551169288;10.828863474400173;0.0
2058;4.352524154389352;0.0;2.416333940304109;12.474627809550555;2.3780336135504068;35.027214581001246;10.596159587258848;0.0
2059;4.272089448580409;0.0;2.360987424983191;12.260716947188287;2.3397760549421553;34.49970893921239;10.420161807509405;0.0
2060;4.19988907779624;0.0;2.3104021554439425;12.069967384577241;2.3063827128799286;34.030136934142995;10.262859861615418;0.0
