Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;1191523;3225130;5466664;13311;5435658;946810;0;0
2021;1234918;3112806;5452312;13245;5398957;1099286;42451;3191
2022;1297513;2906013;5416991;13178;5344763;1340303;104241;9571
2023;1379090;2605205;5360172;13091;5272765;1668991;185250;19140
2024;1490349;2210977;5244849;13016;5181869;2096050;286880;47622
2025;1605876;1818760;5109463;12927;5074136;2533893;402729;79026
2026;1725709;1428560;4953578;12846;4949043;2982333;532765;113376
2027;1849625;1040618;4777529;12746;4806860;3440841;676746;150559
2028;1977589;654816;4581916;12663;4647424;3909699;834529;190605
2029;2109798;271303;4366441;12574;4471469;4388352;1006177;233474
2030;2229358;73;4131720;12484;4278869;4789068;1185913;279206
2031;2307355;0;3898321;12404;4086654;4970568;1350833;324389
2032;2384244;0;3666137;12319;3894902;5149500;1514502;369147
2033;2460035;0;3435297;12223;3703977;5325989;1676714;413418
2034;2534718;0;3205306;12142;3513326;5499934;1837571;457107
2035;2608429;0;2977268;12042;3323745;5672530;1996811;500420
2036;2681268;0;2750388;11952;3134931;5843113;2155471;543211
2037;2752496;0;2524704;11861;2946594;6009707;2312016;585337
2038;2822555;0;2300694;11770;2759084;6173219;2466724;626982
2039;2891302;0;2078309;11652;2572502;6334297;2620160;668177
2040;2959148;0;1857512;11549;2386894;6492873;2771980;708950
2041;3025538;0;1637757;11444;2202233;6648887;2922288;748993
2042;3091037;0;1420027;11334;2018301;6801765;3071013;788601
2043;3155066;0;1204037;11232;1835507;6951955;3217727;827569
2044;3217992;0;989801;11133;1653954;7099702;3362604;865924
2045;3279492;0;777350;11026;1473526;7244708;3505777;903668
2046;3339647;0;566700;10912;1294303;7386901;3647435;940936
2047;3398668;0;358034;10797;1115927;7525809;3787247;977553
2048;3456709;0;151058;10688;938940;7662192;3925224;1013486
2049;3503677;0;7572;10557;763335;7756914;4058203;1039207
2050;3527860;0;417;10464;588821;7763737;4182301;1043110
2051;3530057;0;411;10357;586064;7753381;4165759;1045519
2052;3534113;0;409;10257;583612;7751737;4152636;1047797
2053;3533289;0;403;10158;580744;7738657;4135734;1049760
2054;3531502;0;399;10031;577801;7724001;4117059;1051243
2055;3528891;0;395;9916;574859;7707687;4097774;1052374
2056;3525580;0;392;9791;571924;7690115;4077544;1053310
2057;3521696;0;388;9705;568737;7670778;4057194;1054036
2058;3516942;0;385;9619;565433;7650594;4036023;1054465
2059;3511528;0;380;9515;562091;7628436;4014242;1054625
2060;3505083;0;377;9402;558672;7605088;3992021;1054294
