Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;0.0;4.532012488163926;48.02304523126615;12.331045823403812;16.44513698575842;3.227039862019954;0.0;0.0
2021;0.0;4.364916630897061;47.64712953134044;12.26923165436785;16.406224884776254;3.384668309608573;0.044817955414144434;0.0071089391830147985
2022;0.0;4.049290510592526;47.04165907071693;12.234529343670141;16.362701730027222;3.694677020346111;0.12292060335310179;0.021415122440019325
2023;0.0;3.5881241371911274;46.25696023966106;12.236384764312884;16.313477970936912;4.147508384743944;0.23297778616025192;0.04195238236806596
2024;0.0;3.0028207976666383;45.42729181228418;12.25826725764687;16.25547769178246;4.734868262333402;0.37378686707153885;0.06807289561787
2025;0.0;2.4286503163218414;44.43579331529537;12.274257962993378;16.188867849746245;5.344370387070491;0.5446484055023189;0.09937506823529078
2026;0.0;1.8659167836680524;42.94412013842675;12.328814322921218;16.090163521827964;6.160812578794486;0.9423633596112932;0.16513350539537777
2027;0.0;1.3170744456131027;41.46581064286786;12.346440111349612;15.975445890199119;6.993651250413083;1.3721769858541633;0.23642889559719069
2028;0.0;0.7919204748629384;39.8351643768605;12.372918710077425;15.849459934208133;7.837313476917423;1.8317009984383288;0.3121025564558069
2029;0.0;0.29077912062190026;38.06006097295701;12.384822944027846;15.708430548314555;8.677369355219533;2.319272653179852;0.39140091629865353
2030;0.0;0.0;36.14800145865936;12.336976773344245;15.550422201055401;9.36141498586995;2.833458430508928;0.47371271691379674
2031;0.0;0.0;34.26721877989871;12.223720236375213;15.384520127293614;9.790897250902011;3.3425334645795406;0.55294668953823
2032;0.0;0.0;32.4156155529331;12.099902795825274;15.209459722415893;10.196174056331337;3.845513151948554;0.6289745575037964
2033;0.0;0.0;30.600404040027215;11.96783657475019;15.027286732077041;10.578795388959449;4.3426226522191875;0.7015797014744539
2034;0.0;0.0;28.980312548631026;11.811659230824585;14.798295131506277;10.956766797352174;4.830351798212911;0.7738664524135392
2035;0.0;0.0;27.51763037710913;11.636186668625122;14.534023589349733;11.331766809692;5.31404177154973;0.845788813131233
2036;0.0;0.0;26.07711594205283;11.451379138890557;14.26461860041352;11.688302487681746;5.788911543283157;0.9153980779045031
2037;0.0;0.0;24.66359674239647;11.261381690840082;13.994249013569053;12.02684737495346;6.250917475349358;0.9826749978363768
2038;0.0;0.0;23.27778702739814;11.064430266041233;13.718941612982857;12.344312129271346;6.704751200708402;1.0475121208286575
2039;0.0;0.0;21.92238145320835;10.860770508539344;13.439518837192033;12.64540967893753;7.149435449420591;1.109853713138359
2040;0.0;0.0;20.595874357464172;10.649242740087653;13.15775847300421;12.926744083892325;7.584751069983394;1.1695628040811175
2041;0.0;0.0;19.30996920795025;10.438211715696328;12.874241088564021;13.190019224729642;8.011299177987073;1.2268861937819275
2042;0.0;0.0;18.062813942857698;10.2273548810257;12.588002863072397;13.439043731764038;8.428258179356433;1.2818001951134992
2043;0.0;0.0;16.853434151774227;10.013823374219;12.300084472235977;13.671598436461487;8.836474948859122;1.3339718491110657
2044;0.0;0.0;15.684570664743005;9.801080778016503;12.011628687834579;13.889722998839868;9.234653453400654;1.3840291364668693
2045;0.0;0.0;14.713124557350506;9.797607377562487;11.670856662695268;14.177711389102436;9.603827888932434;1.4405306824173034
2046;0.0;0.0;13.768700570960291;9.798273141974567;11.332230700522086;14.452958952150055;9.96768454794168;1.4954110314268942
2047;0.0;0.0;12.849353695956395;9.79000245583758;10.998058799126092;14.715999481818919;10.323165064624215;1.5482377212399172
2048;0.0;0.0;11.955260414953916;9.778489378134479;10.667117145903564;14.966989281875268;10.656566264905457;1.5999599903388062
2049;0.0;0.0;11.08814932001441;9.766338790323351;10.341220365758195;15.204912471681437;10.97780049183391;1.650057244368299
2050;0.0;0.0;10.247139840107618;9.75363016858591;10.021172833180511;15.431290977722815;11.287305457182885;1.6982600126704233
2051;0.0;0.0;9.970276836424066;9.671689334872617;9.78611047006098;15.376817903199639;11.340875113268483;1.7064076303828566
2052;0.0;0.0;9.695708529698289;9.591373416697195;9.55283805449179;15.324837405527376;11.393401261794173;1.714848280966782
2053;0.0;0.0;9.422679857998547;9.513256856409003;9.321741510608605;15.27490432838879;11.44957481507425;1.7233257943723626
2054;0.0;0.0;9.152689213730048;9.435998555176495;9.091731392555324;15.2272070462399;11.505010037597355;1.7319876865596624
2055;0.0;0.0;8.88406729021712;9.36072877711533;8.863790829031599;15.178514135522828;11.560438589552504;1.7405092912263889
2056;0.0;0.0;8.617115498484296;9.287013970715368;8.636088094549976;15.133265514515067;11.616863013102412;1.7491912503410556
2057;0.0;0.0;8.352319662330512;9.215538954788155;8.410383754674443;15.08926452368019;11.673745024438542;1.75846344450694
2058;0.0;0.0;8.090036754725915;9.146523081973703;8.184017712636226;15.046210067237084;11.730086146855857;1.7676805944000444
2059;0.0;0.0;7.829150095556885;9.078419080190356;7.960380930221441;15.004609032365103;11.787157327988607;1.7768650265213077
2060;0.0;0.0;7.629904203016448;9.059521518884504;7.79904643121288;15.049630981338606;11.886427988496129;1.7908964763650685
