Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;0.0;4.532012488163926;48.02304523126615;12.331045823403812;16.44513698575842;3.227039862019954;0.0;0.0
2021;0.0;4.364504710859773;47.687662226441276;12.275614011080304;16.406486083400182;3.38427060958857;0.044858311434938306;0.007114691409930917
2022;0.0;4.050446042092356;47.16574521274727;12.25375285075154;16.36315111860056;3.6952031010563124;0.12294984485375468;0.021434080362791492
2023;0.0;3.597465090020174;46.46541836235584;12.273014733781823;16.313624134557802;4.151651302169796;0.23309091309468133;0.04202298794079872
2024;0.0;3.0202862517391194;45.65664469309349;12.324447333453838;16.257254704772883;4.7447322186197995;0.3742238335150242;0.06843348324076683
2025;0.0;2.4540491619470273;44.7449922447729;12.376554250578714;16.189625840230047;5.365169663767065;0.5456085819802524;0.09989508905598014
2026;0.0;1.8983702288230244;43.37924930635568;12.497073780728002;16.094085987986105;6.20064112329566;0.9448309548283653;0.16653111007379015
2027;0.0;1.355445810146563;42.08108363943593;12.62354421729912;15.987583365672833;7.071790136959658;1.3767156609189035;0.23900066525111938
2028;0.0;0.8238557910933836;40.68676960041431;12.751855886526176;15.872264211446879;7.96789720293701;1.8404116714397907;0.3166798200234541
2029;0.0;0.30648417584754384;39.20720608745154;12.882423765354615;15.745204494999026;8.882869025056142;2.3332882457392543;0.39952190583695435
2030;0.0;0.0;37.65030770520441;12.976175083839028;15.608442078630384;9.660183190354578;2.856899458189805;0.4866821175036716
2031;0.0;0.0;36.11143472297897;13.002544212274744;15.46590405972572;10.17993824090465;3.3774877518936344;0.5724493598908278
2032;0.0;0.0;34.58719268781874;13.026195092556446;15.319239016521992;10.68445832608511;3.8960436229185116;0.6562342039990625
2033;0.0;0.0;33.08485210123068;13.044799714358131;15.166234644025952;11.176995836896307;4.410578729488142;0.7381294790660073
2034;0.0;0.0;31.60294155816166;13.059054801955018;15.007958338648281;11.655524630069086;4.921865582348281;0.8184312311011657
2035;0.0;0.0;30.14526639310419;13.067720118237045;14.846486235796165;12.119936215309746;5.428832031635648;0.8968049907803367
2036;0.0;0.0;28.803324564294414;13.027830812527094;14.65736578461672;12.577645760404485;5.934800742408857;0.9753367900134366
2037;0.0;0.0;27.477016861984513;12.981134765390653;14.465968615641245;13.022429689410503;6.436727062187842;1.052179086153216
2038;0.0;0.0;26.171948893908084;12.926875515638852;14.271537761282673;13.455168165270559;6.929328295489289;1.1275907591263072
2039;0.0;0.0;24.889391444076;12.867303426610288;14.074641513009407;13.874946340038209;7.417419688845601;1.2008368919559917
2040;0.0;0.0;23.628073409950943;12.800148395309149;13.875184075517325;14.282198265818323;7.899591286368626;1.2720104890973147
2041;0.0;0.0;22.3924820010995;12.73009430504286;13.672584784291141;14.678040252395649;8.377505252140127;1.341781301453052
2042;0.0;0.0;21.188026794948;12.655045725107382;13.468687974372743;15.06520299936834;8.850892894027309;1.4102289062970166
2043;0.0;0.0;20.01014936115314;12.576793885732442;13.26388870645835;15.439672542566635;9.319334742648705;1.4771217622197976
2044;0.0;0.0;18.86028318215075;12.494627329489523;13.057403942675924;15.804141925568485;9.781611624396065;1.5421908179587787
2045;0.0;0.0;17.738788205039466;12.408339296320117;12.848528012607716;16.1572205764174;10.23808773092873;1.6055954406102027
2046;0.0;0.0;16.644266267770707;12.317155221660322;12.638303215429442;16.502098213509488;10.689341135909697;1.6674791355334022
2047;0.0;0.0;15.579879589976784;12.221237036952898;12.427613526110193;16.83570959177505;11.135941862759855;1.7286681824434547
2048;0.0;0.0;14.544743366752888;12.119081614645186;12.215559339543582;17.15914580094642;11.575657511795658;1.7875782104699631
2049;0.0;0.0;13.540495522292414;12.008884091652284;12.004122753987641;17.473467594962724;12.00964754899495;1.8456104567078704
2050;0.0;0.0;12.563862508565741;11.887994090821593;11.79196032294622;17.78118597937995;12.43794022213817;1.9022070715042951
2051;0.0;0.0;12.2845028954769;11.664164277423302;11.674068567905493;17.751152099839448;12.56791277814626;1.9099103058537052
2052;0.0;0.0;12.042139981617865;11.625707405882203;11.544030893867758;17.749472354102483;12.688057065786056;1.92067740069301
2053;0.0;0.0;11.80955729566914;11.62789109629727;11.415473800761767;17.762463410123058;12.830724079494107;1.9329118526848459
2054;0.0;0.0;11.616092801672247;11.626622249380187;11.287912557794343;17.781752338193737;12.977764210850216;1.9480840737069764
2055;0.0;0.0;11.438384681345276;11.62514316869653;11.160989091907437;17.831605716281604;13.111042153568457;1.965009453127896
2056;0.0;0.0;11.263315285401832;11.625378018802502;11.034230439843718;17.883191441166982;13.254354174399506;1.9820660805164425
2057;0.0;0.0;11.091510161517315;11.625123921791408;10.908547723244801;17.935102119147853;13.395521811129198;1.9994085320236363
2058;0.0;0.0;10.920447061191087;11.6246967041222;10.783176626131148;17.986947381885553;13.535733099549336;2.016801487088182
2059;0.0;0.0;10.748770553660737;11.625042266637974;10.656957161364966;18.036815379600284;13.675926639179195;2.0339342350951997
2060;0.0;0.0;10.577808448228359;11.626275465233414;10.530774309337119;18.086746568423298;13.8153346617249;2.051001785304883
