Année;A;B;C;D;E;F;G
2020;436668;1913782;3910283;3517717;1831478;677263;176251
2021;639481;1906379;3890360;3494441;1843224;759703;61365
2022;843986;1898900;3870030;3470689;1944017;699128;0
2023;1050217;1891300;3849255;3491821;2063533;513144;0
2024;1257858;1883400;3828105;3621333;2082805;318144;0
2025;1467132;1875245;3806710;3773829;2087748;114259;0
2026;1678021;1866843;3862583;3872368;1978983;0;0
2027;1890902;1858335;4016742;3892898;1735063;0;0
2028;2104517;1849695;4214485;3877622;1482357;0;0
2029;2319194;1840937;4435098;3846651;1220904;0;0
2030;2535295;1831687;4663489;3815320;951498;0;0
2031;2752437;1822372;4894680;3784008;678907;0;0
2032;2970630;1812744;5128056;3752009;403171;0;0
2033;3190063;1803012;5363928;3720177;124571;0;0
2034;3410924;1912723;5497255;3516368;0;0;0
2035;3633977;2119736;5548917;3173206;0;0;0
2036;3855915;2327961;5601235;2826531;0;0;0
2037;4078442;2539284;5652356;2476812;0;0;0
2038;4301728;2752091;5704040;2123767;0;0;0
2039;4525906;2966010;5757039;1767965;0;0;0
2040;4750398;3180837;5811620;1409092;0;0;0
2041;4975368;3392515;5865193;1053747;0;0;0
2042;5200747;3602294;5916167;701966;0;0;0
2043;5426308;3808667;5965814;353723;0;0;0
2044;5652008;4011826;6014861;9275;0;0;0
2045;5995403;4217825;5616112;0;0;0;0
2046;6336818;4422882;5209415;0;0;0;0
2047;6669560;4629396;4806028;0;0;0;0
2048;6996061;4836453;4404267;0;0;0;0
2049;7314926;5046780;4006559;0;0;0;0
2050;7631260;5254752;3612651;0;0;0;0
2051;7944028;5462546;3221890;0;0;0;0
2052;8255366;5666923;2835267;0;0;0;0
2053;8566080;5868383;2452285;0;0;0;0
2054;8875110;6066155;2073743;0;0;0;0
2055;9182635;6259930;1699168;0;0;0;0
2056;9488719;6450460;1328592;0;0;0;0
2057;9793543;6637835;962075;0;0;0;0
2058;10096511;6821341;599615;0;0;0;0
2059;10397356;7001305;241420;0;0;0;0
2060;10678857;7095443;0;0;0;0;0
