Année;A;B;C;D;E;F;G
2020;436668;1913782;3910283;3517717;1831478;677263;176251
2021;639508;1906533;3890489;3493957;1839691;762754;61597
2022;843980;1899233;3870423;3470105;1923886;719278;12
2023;1050191;1891399;3849568;3445576;2089989;531882;0
2024;1257889;1883433;3828351;3420765;2265014;335423;0
2025;1466991;1875445;3806681;3395648;2448999;129920;0
2026;1677877;1867293;3784843;3457180;2470363;0;0
2027;1890760;1858812;3762640;3660390;2220112;0;0
2028;2104248;1850061;3739787;3871519;1960919;0;0
2029;2318949;1841109;3716856;4091326;1693018;0;0
2030;2534977;1831953;3693635;4319059;1416491;0;0
2031;2752122;1822574;3669898;4549369;1136616;0;0
2032;2970329;1813131;3645762;4782631;853684;0;0
2033;3189670;1803328;3621406;5018318;567708;0;0
2034;3409787;1793269;3596779;5256844;278920;0;0
2035;3631479;1783060;3583663;5472666;0;0;0
2036;3855656;1773198;3839509;5141264;0;0;0
2037;4078456;1763042;4101851;4803058;0;0;0
2038;4301707;1752404;4369421;4458101;0;0;0
2039;4525724;1741572;4639971;4109481;0;0;0
2040;4750240;1730402;4912971;3757937;0;0;0
2041;4975182;1719335;5182424;3409379;0;0;0
2042;5200389;1707887;5449332;3062811;0;0;0
2043;5425898;1696477;5713147;2719184;0;0;0
2044;5651831;1684603;5973604;2378022;0;0;0
2045;5878100;1672624;6231277;2039487;0;0;0
2046;6104165;1660431;6486588;1703013;0;0;0
2047;6330476;1648176;6739299;1368961;0;0;0
2048;6556359;1635801;6989645;1036797;0;0;0
2049;6782372;1623317;7238192;706279;0;0;0
2050;7008681;1610601;7485748;376279;0;0;0
2051;7234323;1597939;7735148;43877;0;0;0
2052;7467565;1765252;7514398;1353;0;0;0
2053;7700177;1977697;7210932;0;0;0;0
2054;7923779;2231384;6864791;0;0;0;0
2055;8147109;2518862;6480691;0;0;0;0
2056;8369227;2811346;6092177;0;0;0;0
2057;8591100;3102155;5704410;0;0;0;0
2058;8812137;3389214;5320810;0;0;0;0
2059;9031890;3672514;4940826;0;0;0;0
2060;9250514;3952172;4564626;0;0;0;0
