Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;0;475230;5654754;1554877;3995209;783372;0;0
2021;0;457746;5765922;1566959;3989347;802782;10828;852
2022;0;426345;5865706;1583455;3979907;839426;28520;2590
2023;0;381067;5954281;1604171;3967219;893267;53009;5213
2024;0;322102;6031685;1628893;3951233;963971;84226;8709
2025;0;263497;6097581;1655171;3931988;1040101;122219;13064
2026;0;205458;5986280;1706475;3903460;1190112;237061;28902
2027;0;147843;5862045;1759150;3871379;1346210;359107;45695
2028;0;90618;5725494;1813387;3836334;1508251;488240;63417
2029;0;34005;5576552;1869284;3797707;1675979;624388;82030
2030;0;0;5415198;1922078;3755733;1831922;767575;101545
2031;0;0;5254727;1968153;3713763;1960676;910713;121105
2032;0;0;5094144;2014059;3671885;2089372;1053954;140656
2033;0;0;4934302;2059970;3629635;2217959;1197172;160135
2034;0;0;4775311;2106384;3587172;2346908;1340362;179660
2035;0;0;4617059;2152727;3545356;2476656;1483703;199164
2036;0;0;4458359;2198531;3502853;2604622;1626590;218603
2037;0;0;4300227;2244385;3460457;2732371;1769270;238055
2038;0;0;4142693;2289931;3418047;2859973;1911651;257437
2039;0;0;3986040;2335328;3375594;2987146;2053757;276804
2040;0;0;3830088;2380935;3332976;3113739;2195598;296204
2041;0;0;3675052;2426200;3290562;3239829;2337113;315488
2042;0;0;3520565;2471420;3248121;3365407;2478124;334725
2043;0;0;3367116;2516667;3205455;3491009;2618776;353883
2044;0;0;3214690;2563036;3162932;3616049;2759235;372961
2045;0;0;3064547;2609935;3122014;3747304;2900134;392018
2046;0;0;2913259;2654703;3079591;3871100;3040578;411024
2047;0;0;2763085;2699015;3037085;3994286;3178979;429932
2048;0;0;2613541;2743187;2995070;4116548;3317143;448789
2049;0;0;2465415;2787193;2952897;4238038;3454424;467594
2050;0;0;2318459;2831279;2910840;4358681;3591004;486170
2051;0;0;2296229;2859062;2899779;4416882;3658360;495769
2052;0;0;2274436;2887153;2888382;4475049;3725572;505417
2053;0;0;2252630;2915122;2876834;4532905;3792703;514980
2054;0;0;2230583;2942892;2865357;4590247;3859670;524656
2055;0;0;2208222;2970248;2853600;4647606;3926168;534110
2056;0;0;2185553;2997775;2841899;4705091;3992574;543669
2057;0;0;2163022;3025053;2829993;4762054;4058496;553224
2058;0;0;2140481;3055761;2818015;4818790;4124260;562799
2059;0;0;2119275;3088994;2812677;4898657;4192789;572154
2060;0;0;2096558;3115389;2800043;4954212;4262518;581506
