Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;0;475230;5654754;1554877;3995209;783372;0;0
2021;0;457699;5766553;1567013;3989242;802708;10832;854
2022;0;426164;5866510;1583479;3979891;839329;28510;2600
2023;0;380937;5955291;1604287;3967330;893145;53012;5225
2024;0;322064;6032682;1629472;3951515;963777;84253;8727
2025;0;263604;6098322;1655810;3932099;1040132;122201;13083
2026;0;205510;5986975;1706931;3903377;1190147;237043;28954
2027;0;147891;5863811;1759618;3871173;1346591;359202;45740
2028;0;90654;5727137;1813732;3835977;1509058;488534;63446
2029;0;34079;5578198;1869287;3797231;1677043;624643;82078
2030;0;0;5417116;1921958;3755328;1833195;767773;101569
2031;0;0;5256665;1967727;3713516;1961963;910980;121104
2032;0;0;5096119;2013676;3671542;2090423;1054297;140629
2033;0;0;4936202;2059546;3629319;2218929;1197512;160146
2034;0;0;4776813;2105564;3586917;2347385;1340597;179674
2035;0;0;4617958;2151766;3544821;2475532;1483541;199158
2036;0;0;4460979;2197917;3502600;2603801;1627424;218635
2037;0;0;4303263;2243787;3460396;2731437;1771213;238118
2038;0;0;4146100;2289410;3417861;2859015;1913503;257582
2039;0;0;3989719;2335108;3375350;2986002;2055665;276958
2040;0;0;3833948;2380512;3332864;3112588;2197447;296239
2041;0;0;3678552;2425911;3290138;3238690;2339006;315501
2042;0;0;3524406;2471097;3247664;3364740;2480175;334766
2043;0;0;3370730;2516213;3205391;3489988;2621062;353955
2044;0;0;3217909;2561209;3163107;3614923;2761352;373044
2045;0;0;3065925;2605972;3120748;3739137;2901013;392083
2046;0;0;2914677;2650510;3078365;3863045;3040202;411015
2047;0;0;2764505;2694981;3036164;3986017;3179073;430009
2048;0;0;2615431;2739286;2993838;4108294;3316983;448802
2049;0;0;2467496;2783270;2951852;4229809;3454415;467608
2050;0;0;2320279;2827180;2909675;4350848;3591046;486280
2051;0;0;2298605;2855052;2898466;4408978;3658586;495948
2052;0;0;2277151;2886600;2888185;4469502;3725876;505567
2053;0;0;2255777;2918255;2876598;4531659;3796338;515238
2054;0;0;2233372;2946042;2864896;4589329;3866875;524798
2055;0;0;2211035;2973428;2853006;4646726;3933396;534358
2056;0;0;2188619;3000870;2841094;4704143;4000142;543919
2057;0;0;2166116;3028019;2829204;4761089;4066250;553486
2058;0;0;2143598;3055030;2817164;4817994;4131851;562971
2059;0;0;2120727;3081900;2804801;4873958;4197408;572389
2060;0;0;2097862;3108656;2792410;4929813;4262544;581765
