Année;A;B;C;D;E;F;G
2020;328389;552972;1864271;4277488;4796406;2925415;1534155
2021;491310;552184;1857162;4256552;4769671;3193170;1236867
2022;652293;551296;1849769;4235217;4745503;3474372;922868
2023;811307;550328;1842092;4213554;4786234;3706951;592056
2024;968261;549258;1834402;4191431;4934421;3848202;244385
2025;1123476;548160;1826451;4279739;5098260;3758969;0
2026;1276580;547031;1818303;4610967;5065108;3378163;0
2027;1427133;545869;1809931;4956647;5031979;2982113;0
2028;1575641;544541;1801190;5317481;4998182;2570946;0
2029;1721829;543175;1792329;5692155;4963875;2144585;0
2030;1865833;541774;1783397;6081392;4929127;1703555;0
2031;2007624;540277;1774320;6476491;4894181;1255788;0
2032;2146890;538831;1765007;6877278;4858903;802005;0
2033;2283847;537177;1755453;7284081;4823087;341801;0
2034;2419940;535510;1859405;7572007;4673563;0;0
2035;2553942;533824;2282128;7518682;4204899;0;0
2036;2683515;532010;2709680;7463913;3730661;0;0
2037;2810620;530198;3142418;7408284;3250907;0;0
2038;2935097;528238;3579929;7352752;2765627;0;0
2039;3056982;526234;4022529;7296719;2275126;0;0
2040;3176230;524239;4469679;7239223;1779512;0;0
2041;3292679;522120;4912634;7182168;1287310;0;0
2042;3406429;519977;5351283;7124069;799065;0;0
2043;3517536;517755;5785916;7065961;314749;0;0
2044;3626646;683279;6050450;6840034;0;0;0
2045;3742397;1163829;6002988;6299794;0;0;0
2046;3845115;1640651;5953328;5762679;0;0;0
2047;3945110;2112999;5902382;5228957;0;0;0
2048;4042140;2581363;5851117;4698742;0;0;0
2049;4136310;3045698;5799599;4172222;0;0;0
2050;4227486;3506113;5748102;3649821;0;0;0
2051;4315835;3962300;5696191;3131600;0;0;0
2052;4401088;4413610;5644210;2617336;0;0;0
2053;4483366;4860755;5591914;2106969;0;0;0
2054;4562632;5303117;5539237;1601091;0;0;0
2055;4639151;5741410;5486305;1099351;0;0;0
2056;4712579;6175315;5433317;601890;0;0;0
2057;4783234;6604535;5379843;108962;0;0;0
2058;4854745;7017008;4958918;0;0;0;0
2059;4939924;7426092;4440055;0;0;0;0
2060;5003530;7830157;3924082;0;0;0;0
