Année;A;B;C;D;E;F;G
2020;802965;1976533;4490942;4743737;2735482;1041661;487776
2021;964927;1969598;4470574;4716817;2827998;1237355;169878
2022;1124810;1962469;4449667;4689545;3009132;1195939;0
2023;1282773;1955097;4428066;4661886;3290474;884636;0
2024;1438542;1947612;4406283;4633642;3586953;557970;0
2025;1592246;1939915;4383637;4605476;3898167;216161;0
2026;1743853;1931909;4360943;4714846;3945375;0;0
2027;1893248;1923762;4337874;5051074;3548756;0;0
2028;2040300;1915385;4314175;5401458;3137461;0;0
2029;2185112;1906639;4290023;5765830;2711570;0;0
2030;2327610;1897839;4265212;6144300;2271253;0;0
2031;2467624;1888670;4239855;6528696;1825033;0;0
2032;2605362;1879477;4214257;6918489;1372416;0;0
2033;2740637;1870050;4188279;7314180;913827;0;0
2034;2873560;1860295;4161766;7714500;449567;0;0
2035;3004463;1850220;4153370;8081629;0;0;0
2036;3132465;1840404;4558640;7585942;0;0;0
2037;3257795;1830672;4973542;7080622;0;0;0
2038;3380396;1820374;5393751;6568868;0;0;0
2039;3500321;1809597;5817870;6051147;0;0;0
2040;3617696;1798656;6246662;5527733;0;0;0
2041;3732293;1787736;6671099;5008359;0;0;0
2042;3844306;1776309;7091253;4492176;0;0;0
2043;3953364;1764928;7506889;3980114;0;0;0
2044;4059672;1753191;7918447;3471729;0;0;0
2045;4163191;1741322;8325106;2967935;0;0;0
2046;4263483;1729269;8727276;2468071;0;0;0
2047;4361209;1717048;9124551;1972803;0;0;0
2048;4455788;1704722;9516494;1482253;0;0;0
2049;4547721;1692102;9902877;997044;0;0;0
2050;4636779;1679341;10282249;518047;0;0;0
2051;4722456;1666284;10653245;47273;0;0;0
2052;4810121;1815080;10438059;1005;0;0;0
2053;4901165;2040021;10111833;0;0;0;0
2054;4978025;2327488;9715692;0;0;0;0
2055;5051893;2670642;9259266;0;0;0;0
2056;5122872;3072789;8744141;0;0;0;0
2057;5190659;3500282;8202054;0;0;0;0
2058;5255442;3936384;7651980;0;0;0;0
2059;5316830;4380608;7093275;0;0;0;0
2060;5375171;4819180;6540150;0;0;0;0
