Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;1191523;3225130;5466664;13311;5435658;946810;0;0
2021;1234948;3112909;5452358;13222;5399196;1099181;42451;3192
2022;1297474;2905901;5416594;13146;5344960;1339980;104232;9570
2023;1379011;2604985;5360067;13059;5273163;1668582;185195;19141
2024;1490337;2210590;5244645;12979;5182385;2095687;286819;47639
2025;1605939;1818221;5108786;12883;5074468;2533505;402620;79070
2026;1725642;1428102;4952973;12797;4949378;2981976;532594;113417
2027;1849567;1040048;4777239;12719;4807031;3440884;677112;150653
2028;1977555;654259;4581483;12632;4647935;3909900;835136;190739
2029;2109880;270713;4366626;12565;4472099;4388601;1006605;233599
2030;2229332;75;4132295;12460;4279570;4788656;1186180;279246
2031;2307192;0;3898760;12372;4087342;4970110;1351121;324523
2032;2383821;0;3666366;12270;3895650;5149030;1514789;369304
2033;2459601;0;3435205;12184;3704705;5325372;1676961;413595
2034;2534600;0;3205738;12080;3514272;5499675;1837807;457340
2035;2608363;0;2977457;11994;3324489;5670859;1998620;500920
2036;2680571;0;2750199;11910;3135226;5839993;2158780;543891
2037;2751768;0;2524471;11811;2947022;6006150;2317536;586097
2038;2822025;0;2300298;11731;2759661;6169678;2472328;627748
2039;2890915;0;2077642;11619;2573045;6330772;2625692;668817
2040;2958700;0;1856576;11509;2387580;6489319;2777390;709435
2041;3025174;0;1637307;11403;2202884;6645276;2927502;749490
2042;3090298;0;1419623;11297;2019200;6798139;3075950;789090
2043;3154596;0;1203564;11191;1836658;6948136;3222605;828015
2044;3217356;0;989279;11072;1655058;7095635;3367859;866300
2045;3281037;0;776589;10993;1474589;7241435;3511598;904407
2046;3343266;0;566160;10897;1295532;7387653;3660681;942380
2047;3402431;0;357353;10814;1117469;7526443;3802820;980335
2048;3460186;0;150273;10726;940532;7662592;3940918;1016339
2049;3506624;0;7495;10617;764768;7756600;4073851;1041814
2050;3530897;0;403;10517;590191;7763683;4197499;1045632
2051;3531471;0;399;10428;587503;7753438;4180619;1048190
2052;3531288;0;393;10326;584747;7742422;4162803;1050101
2053;3530435;0;392;10232;581955;7729474;4144499;1051732
2054;3529174;0;382;10123;579018;7714440;4125888;1053228
2055;3526574;0;378;10018;576054;7698635;4106625;1054356
2056;3523235;0;375;9914;572947;7681168;4086741;1055139
2057;3519187;0;370;9814;569612;7662197;4066315;1055782
2058;3514278;0;367;9718;566460;7641648;4045327;1056161
2059;3508476;0;362;9610;563159;7619541;4023694;1056118
2060;3502170;0;360;9520;559845;7602408;4000927;1055886
