Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;1191523;3225130;5466664;13311;5435658;946810;0;0
2021;1234819;3112941;5451993;13242;5398919;1099186;42452;3193
2022;1297384;2905862;5416340;13158;5344816;1340000;104236;9573
2023;1378939;2605024;5359529;13065;5273150;1668791;185224;19151
2024;1490261;2210832;5244393;12990;5182340;2095685;286871;47635
2025;1605856;1818296;5108479;12900;5074304;2533496;402699;79041
2026;1725669;1427893;4952484;12806;4948922;2981885;532598;113360
2027;1849582;1039833;4776976;12719;4806452;3440364;677071;150567
2028;1977565;654043;4581305;12642;4647465;3909496;835025;190680
2029;2109625;270733;4366052;12561;4471394;4388344;1006618;233550
2030;2229107;83;4131462;12476;4278781;4788504;1186221;279214
2031;2306859;0;3897855;12363;4086473;4969833;1351260;324506
2032;2383696;0;3665576;12290;3895123;5148929;1514975;369295
2033;2459647;0;3434526;12203;3704325;5325235;1677344;413485
2034;2534341;0;3204816;12100;3514074;5499013;1838186;457181
2035;2608297;0;2976352;12007;3324290;5670554;1997602;500404
2036;2680794;0;2749441;11907;3135413;5839894;2156996;543262
2037;2752024;0;2524075;11837;2947328;6006142;2315593;585545
2038;2821998;0;2299982;11752;2760070;6169865;2472731;627339
2039;2890902;0;2077179;11647;2573473;6330961;2626063;668512
2040;2958681;0;1856433;11536;2387524;6489682;2777665;709191
2041;3024889;0;1637080;11447;2202518;6645628;2927861;749281
2042;3090234;0;1419534;11348;2018787;6798992;3076682;788801
2043;3154441;0;1203512;11227;1836197;6949542;3223451;827806
2044;3217209;0;989115;11127;1654692;7097016;3368416;866201
2045;3278522;0;776646;11026;1474183;7241907;3511684;904031
2046;3338722;0;565946;10917;1294898;7384065;3653129;941180
2047;3397702;0;357208;10806;1116588;7523136;3792735;977999
2048;3455624;0;150256;10707;939615;7659619;3930627;1014220
2049;3502093;0;7498;10594;764002;7753738;4063219;1039696
2050;3526177;0;404;10496;589412;7760470;4187256;1043649
2051;3527090;0;401;10390;586868;7750516;4170287;1045977
2052;3530761;0;398;10298;584189;7739278;4153118;1048170
2053;3533086;0;398;10224;581423;7732667;4145842;1051374
2054;3531459;0;393;10143;578579;7717962;4130771;1053555
2055;3528810;0;387;10035;575736;7701371;4112203;1054801
2056;3525492;0;384;9934;572642;7683487;4092936;1055753
2057;3521533;0;379;9828;569474;7664416;4072302;1056273
2058;3516684;0;375;9735;566228;7643394;4050833;1056563
2059;3511092;0;370;9632;562923;7620981;4029223;1056579
2060;3504934;0;367;9531;559393;7597088;4006716;1056157
