Annee;Part PAC ref;Part PAC SNBC
2020;0,011789406;0,011789406
2021;0,013070933;0,012747693
2022;0,022608874;0,021672295
2023;0,028879195;0,027136557
2024;0,042457556;0,039451318
2025;0,056771679;0,052312695
2026;0,075725149;0,068738876
2027;0,094962782;0,084005689
2028;0,114240718;0,099977313
2029;0,13314426;0,115319633
2030;0,145084594;0,122942657
2031;0,156946765;0,130464144
2032;0,167854505;0,136868875
2033;0,177777745;0,142271087
2034;0,186772635;0,146181999
2035;0,194843924;0,148760613
2036;0,200737317;0,150298682
2037;0,2057364;0,150917994
2038;0,209818908;0,150532821
2039;0,213048025;0,149106228
2040;0,216679276;0,148125272
2041;0,221357747;0,148519689
2042;0,225543279;0,148516013
2043;0,229299804;0,148034677
2044;0,232614724;0,147167
2045;0,2354795;0,153225081
2046;0,237866923;0,158967908
2047;0,239795166;0,163977667
2048;0,241215573;0,168457293
2049;0,242060017;0,172474644
2050;0,239813736;0,173163816
2051;0,233271316;0,167013792
2052;0,228969324;0,16071127
2053;0,225126264;0,154263758
2054;0,221157224;0,147641614
2055;0,217103552;0,140858059
2056;0,212993026;0,133901338
2057;0,208792273;0,126776294
2058;0,204496716;0,119485174
2059;0,201204615;0,113482106
2060;0,198232461;0,108918834
