Année;A;B;C;D;E;F;G
2020;923400;56959200;292960800;375289200;155811600;74406600;15649200
2021;918782;64197960;291496000;373412756;155032544;74034567;15570953
2022;914189;71438142;290038523;371545695;154263488;87130556;2020839
2023;909618;78679741;288588329;369687966;156490845;83696228;2010734
2024;905069;85922749;287145386;367839529;159162822;79823317;2000681
2025;900543;93167158;285709657;366000331;165621332;74160555;0
2026;896041;100412965;284281109;364170330;172134941;66448039;0
2027;891562;107660161;282859703;364372525;175644005;59723015;0
2028;887105;114908737;281445406;364308839;191750323;40681689;0
2029;882671;122158690;280038181;364296959;208273519;21186675;0
2030;878259;129410011;280408065;366298801;221482573;1236918;0
2031;873868;136662696;285070599;377918298;202090323;0;0
2032;869500;143916732;290127538;390504758;180121523;0;0
2033;865153;151172116;295333132;403416717;157700195;0;0
2034;860827;158428841;300687709;416654938;134825146;0;0
2035;856524;165686899;306191592;430220193;111495170;0;0
2036;852242;172946286;311845122;444113280;87709016;0;0
2037;847982;180206995;317648655;458334996;63465431;0;0
2038;843742;187469018;323602541;472886174;38763118;0;0
2039;839524;194732346;329707149;487767659;13600766;0;0
2040;835328;206772322;337743642;484401212;0;0;0
2041;831153;224072409;347694312;460281781;0;0;0
2042;826997;241268215;357531129;436402445;0;0;0
2043;822863;258351441;367244440;412781043;0;0;0
2044;818749;275312501;379787250;386474051;0;0;0
2045;814656;292215321;392251224;360325768;0;0;0
2046;810582;309054338;404628230;334349786;0;0;0
2047;806529;325822692;416908247;308562866;0;0;0
2048;802496;342511847;431241059;280823661;0;0;0
2049;798483;359185972;445553915;253140652;0;0;0
2050;794490;375845340;459847233;225513036;0;0;0
2051;790517;392490217;474121446;197940005;0;0;0
2052;786565;409120870;488376985;170420761;0;0;0
2053;782632;425737566;502614257;142954528;0;0;0
2054;778718;442340572;516833684;115540508;0;0;0
2055;774824;458930143;531035673;88177930;0;0;0
2056;770949;475506539;545220633;60866027;0;0;0
2057;767094;492070018;559388972;33604036;0;0;0
2058;763259;508620827;573541095;6391198;0;0;0
2059;4137929;530432918;558251981;0;0;0;0
2060;8478079;553714146;534157139;0;0;0;0
