construction_year_class;heating_system;living_area_class;residential_type;occupancy_status;heating_fuel;energy_class;IPONDL;energy_consumption;surface
[1000, 1918];Autres;120 m² ou plus;apartment;free accomodation;other;B;10;79.75303769193026;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;free accomodation;other;C;20;123.94055912208486;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;free accomodation;other;D;28;186.40550518521036;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;free accomodation;other;E;13;270.3875774184922;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;free accomodation;other;F;15;382.4304853842114;165.9659677551802
[1000, 1918];Autres;120 m² ou plus;apartment;free accomodation;other;G;8;491.35737396744184;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;low rent housing;other;A;1;40.63025103315907;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;low rent housing;other;C;1;127.29622684079992;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;low rent housing;other;F;6;441.144720425523;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;non primary residence;other;A;3784;37.757240722586424;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;non primary residence;other;B;21258;73.65283744833175;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;non primary residence;other;C;75248;122.88910930983309;165.9659677551802
[1000, 1918];Autres;120 m² ou plus;apartment;non primary residence;other;D;126512;185.71237838856652;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;non primary residence;other;E;78023;273.448039488573;165.9659677551802
[1000, 1918];Autres;120 m² ou plus;apartment;non primary residence;other;F;88503;382.0598712847655;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;non primary residence;other;G;40450;549.0074772756301;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;owner;other;A;13;36.68519715821125;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;owner;other;B;58;73.82203136833783;165.9659677551802
[1000, 1918];Autres;120 m² ou plus;apartment;owner;other;C;208;121.7691866602314;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;owner;other;D;302;186.13806623602966;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;owner;other;E;244;271.98682756984886;165.96596775518026
[1000, 1918];Autres;120 m² ou plus;apartment;owner;other;F;231;377.8972037825774;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;owner;other;G;113;554.043519651911;165.9659677551802
[1000, 1918];Autres;120 m² ou plus;apartment;renter;other;A;1;30.087025904033755;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;renter;other;B;33;78.48639881648442;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;renter;other;C;73;125.67749587015555;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;renter;other;D;93;185.56075827423504;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;renter;other;E;86;276.5663883020927;165.9659677551802
[1000, 1918];Autres;120 m² ou plus;apartment;renter;other;F;98;382.7746881423949;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;apartment;renter;other;G;40;556.6008506674242;165.96596775518023
[1000, 1918];Autres;120 m² ou plus;house;free accomodation;other;A;17;37.51958207216906;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;free accomodation;other;B;73;74.1407897053787;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;free accomodation;other;C;369;126.15649579759531;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;free accomodation;other;D;766;191.2744994901561;169.08829758368287
[1000, 1918];Autres;120 m² ou plus;house;free accomodation;other;E;815;276.9596998059571;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;free accomodation;other;F;819;383.5362385628491;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;free accomodation;other;G;621;552.0510363364315;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;low rent housing;other;B;2;63.122633885213965;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;low rent housing;other;C;2;106.77071347616123;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;low rent housing;other;D;7;188.87886818104414;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;low rent housing;other;E;10;284.9227928783212;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;low rent housing;other;F;10;389.258185815327;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;low rent housing;other;G;7;557.1046474459174;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;non primary residence;other;A;3860;38.07408853203035;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;non primary residence;other;B;20525;74.01207811431941;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;non primary residence;other;C;93767;125.33248244773867;169.08829758368287
[1000, 1918];Autres;120 m² ou plus;house;non primary residence;other;D;202866;191.80675173869898;169.08829758368287
[1000, 1918];Autres;120 m² ou plus;house;non primary residence;other;E;232107;277.92699579545786;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;non primary residence;other;F;221050;384.88561555648715;169.08829758368287
[1000, 1918];Autres;120 m² ou plus;house;non primary residence;other;G;178909;556.5305423184276;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;owner;other;A;637;38.208719373588956;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;owner;other;B;3177;72.82603611943921;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;owner;other;C;15974;124.83268809704865;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;owner;other;D;34087;191.46698197899548;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;owner;other;E;38991;277.1673808555885;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;owner;other;F;37854;384.44727129226675;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;owner;other;G;30675;555.5084242558171;169.08829758368287
[1000, 1918];Autres;120 m² ou plus;house;renter;other;A;35;36.84759787738951;169.0882975836829
[1000, 1918];Autres;120 m² ou plus;house;renter;other;B;141;74.68888792648593;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;renter;other;C;828;124.9663607548312;169.08829758368293
[1000, 1918];Autres;120 m² ou plus;house;renter;other;D;1772;192.27495980191222;169.0882975836829
