Date;Conso_BE;Conso_CH;Conso_DE;Conso_ES;Conso_GB;Conso_IT
01/01/2019 00:00;9122.0;7037.0;44460.0;23401.0;26429.0;24370
01/01/2019 01:00;8729.0;7096.0;42917.0;22699.0;26723.0;23599
01/01/2019 02:00;8231.0;7244.0;40977.0;21336.0;27468.0;22501
01/01/2019 03:00;7947.0;7443.0;40000.0;20184.0;24954.0;21038
01/01/2019 04:00;7637.0;7353.0;39566.0;19430.0;22294.0;19871
01/01/2019 05:00;7641.0;7244.0;39350.0;19161.0;21171.0;19791
01/01/2019 06:00;7589.0;7232.0;38335.0;19342.0;20839.0;20348
01/01/2019 07:00;7720.0;7219.0;38995.0;19794.0;21765.0;21357
01/01/2019 08:00;7697.0;7160.0;39617.0;19726.0;24099.0;21027
01/01/2019 09:00;7775.0;7185.0;41523.0;20386.0;25643.0;22547
01/01/2019 10:00;8035.0;7354.0;44426.0;22053.0;28514.0;24092
01/01/2019 11:00;8524.0;7452.0;47173.0;23308.0;31668.0;25050
01/01/2019 12:00;8633.0;7440.0;49322.0;23858.0;34073.0;26536
01/01/2019 13:00;8833.0;7726.0;49402.0;24340.0;35273.0;25709
01/01/2019 14:00;8786.0;7792.0;49117.0;24244.0;35436.0;24190
01/01/2019 15:00;8724.0;7668.0;49339.0;23007.0;34978.0;24264
01/01/2019 16:00;8485.0;7585.0;49966.0;22505.0;35119.0;24938
01/01/2019 17:00;9092.0;7626.0;53687.0;22934.0;37321.0;28696
01/01/2019 18:00;9396.0;7338.0;55125.0;25566.0;40254.0;30565
01/01/2019 19:00;9041.0;7446.0;54868.0;27069.0;39716.0;31426
01/01/2019 20:00;8928.0;7104.0;52712.0;28154.0;38323.0;31339
01/01/2019 21:00;8738.0;7116.0;50570.0;28489.0;36485.0;29830
01/01/2019 22:00;8881.0;6990.0;50071.0;27617.0;34176.0;28205
01/01/2019 23:00;9282.0;6992.0;47416.0;25606.0;30163.0;25675
02/01/2019 00:00;8834.0;7101.0;45052.0;23173.0;27962.0;32817
02/01/2019 01:00;8366.0;6774.0;43227.0;21327.0;27055.0;29995
02/01/2019 02:00;7954.0;7448.0;42425.0;20132.0;27098.0;28555
02/01/2019 03:00;7773.0;7526.0;42277.0;19656.0;25742.0;28205
02/01/2019 04:00;7667.0;7487.0;43561.0;19543.0;25014.0;28077
02/01/2019 05:00;7991.0;7419.0;45889.0;20421.0;24404.0;29298
02/01/2019 06:00;8596.0;7372.0;50872.0;23200.0;25354.0;34253
02/01/2019 07:00;9532.0;7050.0;56868.0;27038.0;30576.0;42200
02/01/2019 08:00;10023.0;6786.0;61155.0;30378.0;33434.0;48000
02/01/2019 09:00;10385.0;6977.0;62924.0;33079.0;38376.0;51069
02/01/2019 10:00;10612.0;7168.0;64258.0;34660.0;41455.0;51368
02/01/2019 11:00;11056.0;7271.0;65142.0;34802.0;43294.0;51486
02/01/2019 12:00;11175.0;7242.0;66277.0;34297.0;43840.0;49850
02/01/2019 13:00;11265.0;7467.0;65852.0;34144.0;43951.0;48012
02/01/2019 14:00;11187.0;7372.0;64531.0;33359.0;44046.0;49378
02/01/2019 15:00;10903.0;7236.0;64244.0;32369.0;43900.0;49773
02/01/2019 16:00;10985.0;7227.0;64306.0;31812.0;43115.0;49595
02/01/2019 17:00;11663.0;7602.0;67839.0;32087.0;45369.0;49732
02/01/2019 18:00;12018.0;8018.0;68419.0;34133.0;47024.0;50504
02/01/2019 19:00;11729.0;8135.0;67671.0;34783.0;46668.0;50041
02/01/2019 20:00;11175.0;7947.0;64187.0;35182.0;45976.0;47181
02/01/2019 21:00;10628.0;7631.0;60387.0;34839.0;43381.0;43445
02/01/2019 22:00;10480.0;7378.0;58914.0;32692.0;40447.0;39034
02/01/2019 23:00;10863.0;7447.0;55551.0;29692.0;36606.0;35368
03/01/2019 00:00;10326.0;7464.0;51581.0;27054.0;32376.0;31161
03/01/2019 01:00;9767.0;7741.0;50250.0;24667.0;30392.0;28408
03/01/2019 02:00;9415.0;7768.0;49749.0;23415.0;30593.0;27083
03/01/2019 03:00;9050.0;7770.0;49739.0;22791.0;28563.0;26795
03/01/2019 04:00;9063.0;7816.0;49919.0;22690.0;27715.0;26816
03/01/2019 05:00;9268.0;7494.0;52095.0;23298.0;26976.0;28159
03/01/2019 06:00;9937.0;7769.0;55894.0;25663.0;27769.0;33257
03/01/2019 07:00;10543.0;7429.0;60880.0;29285.0;32273.0;39072
03/01/2019 08:00;11391.0;7869.0;64147.0;32639.0;37248.0;44061
03/01/2019 09:00;11665.0;8331.0;62781.0;35114.0;40993.0;45400
03/01/2019 10:00;11850.0;8517.0;63794.0;36149.0;42943.0;45049
03/01/2019 11:00;12066.0;8531.0;64474.0;36127.0;43647.0;45085
03/01/2019 12:00;12132.0;8321.0;64090.0;35555.0;44543.0;43548
03/01/2019 13:00;11932.0;8331.0;67311.0;35195.0;44598.0;42197
03/01/2019 14:00;11780.0;8238.0;65943.0;34219.0;44436.0;42787
03/01/2019 15:00;11758.0;8082.0;65377.0;33337.0;45457.0;43540
03/01/2019 16:00;11803.0;8111.0;65283.0;33059.0;46192.0;44496
03/01/2019 17:00;12185.0;8305.0;68821.0;33467.0;46978.0;44532
03/01/2019 18:00;12451.0;8789.0;69451.0;35214.0;46964.0;46622
03/01/2019 19:00;12168.0;8891.0;68226.0;35831.0;46676.0;48604
03/01/2019 20:00;11645.0;8622.0;64934.0;36111.0;47196.0;46190
03/01/2019 21:00;10986.0;8273.0;61518.0;35699.0;45061.0;42468
03/01/2019 22:00;10835.0;7903.0;59429.0;33426.0;41790.0;37948
03/01/2019 23:00;11139.0;7856.0;56239.0;30461.0;37452.0;34553
04/01/2019 00:00;10605.0;7722.0;52744.0;27696.0;33166.0;25372
04/01/2019 01:00;10168.0;7754.0;50157.0;25374.0;30817.0;23565
04/01/2019 02:00;9737.0;7979.0;49458.0;24136.0;30579.0;22594
04/01/2019 03:00;9483.0;8379.0;49703.0;23507.0;29029.0;22375
04/01/2019 04:00;9395.0;8544.0;50769.0;23378.0;28532.0;22633
04/01/2019 05:00;9597.0;8107.0;52536.0;23915.0;27771.0;24366
04/01/2019 06:00;10289.0;7983.0;56352.0;26241.0;28556.0;29676
04/01/2019 07:00;10831.0;7804.0;62147.0;29877.0;33104.0;36340
