Heure;ECS (20 degres);Thermosensibilite (GW/degre)
0;6184,210526;-162,3921561
1;5000;-128,1497206
2;4605,263158;-116,7355754
3;3157,894737;-91,31316123
4;1973,684211;-47,21305496
5;1447,368421;-35,28008502
6;1578,947368;-45,65658062
7;1973,684211;-47,21305496
8;1052,631579;-23,86593987
9;657,8947368;-22,30946553
10;657,8947368;-12,45179471
11;394,7368421;-21,27181597
12;921,0526316;-33,2047859
13;2236,842105;-58,10837533
14;1578,947368;-45,65658062
15;921,0526316;-23,34711509
16;657,8947368;-22,30946553
17;526,3157895;-11,93296993
18;789,4736842;-12,97061949
19;921,0526316;-13,48944427
20;921,0526316;-23,34711509
21;1052,631579;-33,72361068
22;1842,105263;-46,69423018
23;4736,842105;-127,112071
