Jour;Heure;ECS a 20 degres;Thermosensibilite (MW/degre)
Lundi;0;550,3549061;-13,81727987
Lundi;1;550,3549061;-13,80175331
Lundi;2;550,3549061;-13,8224342
Lundi;3;770,4968685;-19,341805
Lundi;4;1100,709812;-27,60382555
Lundi;5;1651,064718;-41,37387854
Lundi;6;2201,419624;-55,2942967
Lundi;7;1100,709812;-27,59887523
Lundi;8;770,4968685;-19,30806353
Lundi;9;880,5678497;-22,0732205
Lundi;10;1100,709812;-27,66860923
Lundi;11;2201,419624;-55,37658282
Lundi;12;6053,903967;-152,0710371
Lundi;13;7704,968685;-193,4871636
Lundi;14;7154,613779;-180,1719289
Lundi;15;5503,549061;-138,8967108
Lundi;16;3302,129436;-83,1045447
Lundi;17;1540,993737;-38,57813074
Lundi;18;1100,709812;-27,54393739
Lundi;19;1320,851775;-33,1735346
Lundi;20;1540,993737;-38,70230916
Lundi;21;1981,277662;-49,78578039
Lundi;22;1320,851775;-33,13229462
Lundi;23;770,4968685;-19,34144979
Mardi;0;550,3549061;-13,81727987
Mardi;1;550,3549061;-13,80175331
Mardi;2;550,3549061;-13,8224342
Mardi;3;770,4968685;-19,341805
Mardi;4;1100,709812;-27,60382555
Mardi;5;1651,064718;-41,37387854
Mardi;6;2201,419624;-55,2942967
Mardi;7;1100,709812;-27,59887523
Mardi;8;770,4968685;-19,30806353
Mardi;9;880,5678497;-22,0732205
Mardi;10;1100,709812;-27,66860923
Mardi;11;2201,419624;-55,37658282
Mardi;12;6053,903967;-152,0710371
Mardi;13;7704,968685;-193,4871636
Mardi;14;7154,613779;-180,1719289
Mardi;15;5503,549061;-138,8967108
Mardi;16;3302,129436;-83,1045447
Mardi;17;1540,993737;-38,57813074
Mardi;18;1100,709812;-27,54393739
Mardi;19;1320,851775;-33,1735346
Mardi;20;1540,993737;-38,70230916
Mardi;21;1981,277662;-49,78578039
Mardi;22;1320,851775;-33,13229462
Mardi;23;770,4968685;-19,34144979
Mercredi;0;550,3549061;-13,81727987
Mercredi;1;550,3549061;-13,80175331
Mercredi;2;550,3549061;-13,8224342
Mercredi;3;770,4968685;-19,341805
Mercredi;4;1100,709812;-27,60382555
Mercredi;5;1651,064718;-41,37387854
Mercredi;6;2201,419624;-55,2942967
Mercredi;7;1100,709812;-27,59887523
Mercredi;8;770,4968685;-19,30806353
Mercredi;9;880,5678497;-22,0732205
Mercredi;10;1100,709812;-27,66860923
Mercredi;11;2201,419624;-55,37658282
Mercredi;12;6053,903967;-152,0710371
Mercredi;13;7704,968685;-193,4871636
Mercredi;14;7154,613779;-180,1719289
Mercredi;15;5503,549061;-138,8967108
Mercredi;16;3302,129436;-83,1045447
Mercredi;17;1540,993737;-38,57813074
Mercredi;18;1100,709812;-27,54393739
Mercredi;19;1320,851775;-33,1735346
Mercredi;20;1540,993737;-38,70230916
Mercredi;21;1981,277662;-49,78578039
Mercredi;22;1320,851775;-33,13229462
Mercredi;23;770,4968685;-19,34144979
Jeudi;0;550,3549061;-13,81727987
Jeudi;1;550,3549061;-13,80175331
Jeudi;2;550,3549061;-13,8224342
Jeudi;3;770,4968685;-19,341805
Jeudi;4;1100,709812;-27,60382555
Jeudi;5;1651,064718;-41,37387854
Jeudi;6;2201,419624;-55,2942967
Jeudi;7;1100,709812;-27,59887523
Jeudi;8;770,4968685;-19,30806353
Jeudi;9;880,5678497;-22,0732205
Jeudi;10;1100,709812;-27,66860923
Jeudi;11;2201,419624;-55,37658282
Jeudi;12;6053,903967;-152,0710371
Jeudi;13;7704,968685;-193,4871636
Jeudi;14;7154,613779;-180,1719289
Jeudi;15;5503,549061;-138,8967108
Jeudi;16;3302,129436;-83,1045447
Jeudi;17;1540,993737;-38,57813074
Jeudi;18;1100,709812;-27,54393739
Jeudi;19;1320,851775;-33,1735346
Jeudi;20;1540,993737;-38,70230916
Jeudi;21;1981,277662;-49,78578039
Jeudi;22;1320,851775;-33,13229462
Jeudi;23;770,4968685;-19,34144979
Vendredi;0;550,3549061;-13,81727987
Vendredi;1;550,3549061;-13,80175331
Vendredi;2;550,3549061;-13,8224342
Vendredi;3;770,4968685;-19,341805
Vendredi;4;1100,709812;-27,60382555
Vendredi;5;1651,064718;-34,3268307
Vendredi;6;2201,419624;-55,2942967
Vendredi;7;1100,709812;-27,59887523
Vendredi;8;770,4968685;-19,30806353
Vendredi;9;880,5678497;-22,0732205
Vendredi;10;1100,709812;-27,66860923
Vendredi;11;2201,419624;-55,37658282
Vendredi;12;6053,903967;-152,0710371
Vendredi;13;7704,968685;-193,4871636
Vendredi;14;7154,613779;-180,1719289
Vendredi;15;5503,549061;-138,8967108
Vendredi;16;3302,129436;-83,1045447
Vendredi;17;1540,993737;-38,57813074
Vendredi;18;1100,709812;-27,54393739
Vendredi;19;1320,851775;-33,1735346
Vendredi;20;1540,993737;-38,70230916
Vendredi;21;1981,277662;-49,78578039
Vendredi;22;1320,851775;-33,13229462
Vendredi;23;770,4968685;-19,34144979
Samedi;0;577,9227557;-14,4898291
Samedi;1;577,9227557;-14,5037142
Samedi;2;577,9227557;-14,50617942
Samedi;3;809,091858;-20,28896676
Samedi;4;1155,845511;-28,93995483
Samedi;5;1733,768267;-43,49664155
Samedi;6;2311,691023;-58,01359089
Samedi;7;1155,845511;-28,98745804
Samedi;8;809,091858;-20,26076456
Samedi;9;924,6764092;-23,2877525
Samedi;10;1155,845511;-28,83457654
Samedi;11;2311,691023;-58,13031062
Samedi;12;6357,150313;-159,5874027
Samedi;13;8090,91858;-203,3939828
Samedi;14;7512,995825;-188,6472614
Samedi;15;5779,227557;-144,7406584
Samedi;16;3467,536534;-87,01198139
Samedi;17;1618,183716;-40,63123628
Samedi;18;1155,845511;-28,92991959
Samedi;19;1387,014614;-34,87393821
Samedi;20;1618,183716;-40,58578882
Samedi;21;2080,521921;-52,26277098
Samedi;22;1387,014614;-34,80192104
Samedi;23;809,091858;-20,3132038
Dimanche;0;588,914405;-14,77718924
Dimanche;1;588,914405;-14,77861738
Dimanche;2;588,914405;-14,76972978
Dimanche;3;824,480167;-20,70467143
Dimanche;4;1177,82881;-29,57226239
Dimanche;5;1766,743215;-44,29714879
Dimanche;6;2355,65762;-59,14231858
Dimanche;7;1177,82881;-29,57161135
Dimanche;8;824,480167;-20,68503682
Dimanche;9;942,263048;-23,61870489
Dimanche;10;1177,82881;-29,536587
Dimanche;11;2355,65762;-59,3172897
Dimanche;12;6478,058455;-162,6160909
Dimanche;13;8244,80167;-207,1293743
Dimanche;14;7655,887265;-191,8641981
Dimanche;15;5889,14405;-147,8478286
Dimanche;16;3533,48643;-88,81387929
Dimanche;17;1648,960334;-41,26679574
Dimanche;18;1177,82881;-29,61569977
Dimanche;19;1413,394572;-35,4439044
Dimanche;20;1648,960334;-41,45712437
Dimanche;21;2120,091858;-53,17211956
Dimanche;22;1413,394572;-35,45457687
Dimanche;23;824,480167;-20,68474725
