Heure;Jour;Mois;Industrie;Autres residentiel;Autres tertiaire;Eclairage;Cuisson
0;Semaine;1;0,391459075;0,238434164;0,24911032;0,113879004;0,007117438
1;Semaine;1;0,383673469;0,244897959;0,269387755;0,093877551;0,008163265
2;Semaine;1;0,399159664;0,268907563;0,243697479;0,079831933;0,008403361
3;Semaine;1;0,396694215;0,268595041;0,247933884;0,078512397;0,008264463
4;Semaine;1;0,407563025;0,260504202;0,25210084;0,075630252;0,004201681
5;Semaine;1;0,409090909;0,252066116;0,252066116;0,078512397;0,008264463
6;Semaine;1;0,399239544;0,228136882;0,281368821;0,079847909;0,011406844
7;Semaine;1;0,361842105;0,197368421;0,325657895;0,088815789;0,026315789
8;Semaine;1;0,318309859;0,185915493;0,352112676;0,112676056;0,030985915
9;Semaine;1;0,315934066;0,197802198;0,365384615;0,090659341;0,03021978
10;Semaine;1;0,318559557;0,207756233;0,376731302;0,077562327;0,019390582
11;Semaine;1;0,315934066;0,211538462;0,379120879;0,074175824;0,019230769
12;Semaine;1;0,313351499;0,220708447;0,351498638;0,068119891;0,046321526
13;Semaine;1;0,320334262;0,228412256;0,323119777;0,066852368;0,061281337
14;Semaine;1;0,324022346;0,220670391;0,357541899;0,069832402;0,027932961
15;Semaine;1;0,323119777;0,21448468;0,378830084;0,066852368;0,016713092
16;Semaine;1;0,329545455;0,221590909;0,366477273;0,068181818;0,014204545
17;Semaine;1;0,331428571;0,208571429;0,365714286;0,077142857;0,017142857
18;Semaine;1;0,310626703;0,182561308;0,365122616;0,122615804;0,019073569
19;Semaine;1;0,291989664;0,19121447;0,320413437;0,147286822;0,049095607
20;Semaine;1;0,29787234;0,199468085;0,271276596;0,154255319;0,07712766
21;Semaine;1;0,320809249;0,210982659;0,257225434;0,156069364;0,054913295
22;Semaine;1;0,349206349;0,231746032;0,244444444;0,146031746;0,028571429
23;Semaine;1;0,380136986;0,239726027;0,232876712;0,133561644;0,01369863
0;Samedi;1;0,362649283;0,248270338;0,25938692;0,118576878;0,011116582
1;Samedi;1;0,382113821;0,243902439;0,268292683;0,093495935;0,012195122
2;Samedi;1;0,39748954;0,267782427;0,242677824;0,079497908;0,012552301
3;Samedi;1;0,395061728;0,267489712;0,24691358;0,0781893;0,012345679
4;Samedi;1;0,406708595;0,259958071;0,251572327;0,075471698;0,006289308
5;Samedi;1;0,401430141;0,253560843;0,253560843;0,078977968;0,012470205
6;Samedi;1;0,396939063;0,237814216;0,264175679;0,083234976;0,017836066
7;Samedi;1;0,359133971;0,209773965;0,294738986;0,094398284;0,041954793
8;Samedi;1;0,314204683;0,200762588;0,313167786;0,121674296;0,050190647
9;Samedi;1;0,31364711;0,219531691;0,315893161;0,100618692;0,050309346
10;Samedi;1;0,325918909;0,237626164;0,314473497;0,088713768;0,033267663
11;Samedi;1;0,322850203;0,241665817;0,317789589;0,084739962;0,03295443
12;Samedi;1;0,314942581;0,247993237;0,282451114;0,076541123;0,078071945
13;Samedi;1;0,320336747;0,255354814;0,246805703;0,074737994;0,102764742
14;Samedi;1;0,330658721;0,251494794;0,290507349;0,07958696;0,047752176
15;Samedi;1;0,331714728;0,245910689;0,316984289;0,076647487;0,028742808
16;Samedi;1;0,334116303;0,25090782;0,313647718;0,077202406;0,024125752
17;Samedi;1;0,330134642;0,23202559;0,323416189;0,085817684;0,028605895
18;Samedi;1;0,301944977;0,198595133;0,334951981;0,133384791;0,031123118
19;Samedi;1;0,273635057;0,200749214;0,293669003;0,154631151;0,077315575
20;Samedi;1;0,271475072;0,203877224;0,24873386;0,157665054;0,11824879
21;Samedi;1;0,292404363;0,215901094;0,247696731;0,159707658;0,084290153
22;Samedi;1;0,31840464;0,237501008;0,250514762;0,14965817;0,043921419
23;Samedi;1;0,350757894;0,248343975;0,241248433;0,138363072;0,021286626
0;Dimanche;1;0,354826574;0,25205026;0,263336092;0,120382214;0,00940486
1;Dimanche;1;0,383695387;0,244081035;0,268489138;0,093564397;0,010170043
2;Dimanche;1;0,396602472;0,269111092;0,243881928;0,079892356;0,010512152
3;Dimanche;1;0,391661822;0,269911137;0,249148742;0,078897102;0,010381198
4;Dimanche;1;0,400390542;0,263191408;0,254701363;0,076410409;0,005306278
5;Dimanche;1;0,396602472;0,25649651;0,25649651;0,079892356;0,010512152
6;Dimanche;1;0,386138017;0,245634871;0,266902727;0,085972205;0,015352179
7;Dimanche;1;0,345861923;0,220013946;0,298448865;0,099006276;0,036668991
8;Dimanche;1;0,30167439;0,211095311;0,315315556;0,127936552;0,04397819
9;Dimanche;1;0,303426118;0,231622991;0,314556797;0,106160537;0,044233557
10;Dimanche;1;0,316462318;0,251639884;0,308594256;0,093945557;0,029357986
11;Dimanche;1;0,313308679;0,255775745;0,312162551;0,089687599;0,029065426
12;Dimanche;1;0,307687325;0,264235298;0,277202283;0,081554104;0,069320989
13;Dimanche;1;0,314615025;0,273520272;0,24008063;0,080054714;0,091729359
14;Dimanche;1;0,319951192;0,267982868;0,284858882;0,084804705;0,042402353
15;Dimanche;1;0,319951192;0,261198492;0,311996388;0,081412517;0,025441412
16;Dimanche;1;0,320997292;0,265455776;0,310597738;0,0816787;0,021270495
17;Dimanche;1;0,316113816;0,24465976;0,323599552;0,090490596;0,025136277
18;Dimanche;1;0,291189448;0,20684577;0,336025079;0,138926263;0,02701344
19;Dimanche;1;0,266288632;0,208920258;0,296813935;0,160925064;0,06705211
20;Dimanche;1;0,267201963;0,212469755;0,253324624;0,164309944;0,102693715
21;Dimanche;1;0,287753359;0,222709873;0,2523355;0,164744289;0,072456979
22;Dimanche;1;0,312763206;0,242066519;0,255330437;0,152535066;0,037304772
23;Dimanche;1;0,34134337;0,253329473;0,246091488;0,141140706;0,018094962
0;Semaine;2;0,394369345;0,235750884;0,247827041;0,114913366;0,007139363
1;Semaine;2;0,389702598;0,246734646;0,26121747;0,094884437;0,007460848
2;Semaine;2;0,40686512;0,269499597;0,234950692;0,08097683;0,007707761
3;Semaine;2;0,405385085;0,267249705;0,239745293;0,080004689;0,007615228
4;Semaine;2;0,416956974;0,25754943;0,244872599;0,076334587;0,00428641
5;Semaine;2;0,41916996;0,249798162;0,243342502;0,080068111;0,007621265
6;Semaine;2;0,410632318;0,227299082;0,274435219;0,077426084;0,010207297
7;Semaine;2;0,373971931;0,198911996;0,316873952;0,083763811;0,026478311
8;Semaine;2;0,328959167;0,185846687;0,348547632;0,105207914;0,0314386
9;Semaine;2;0,323604835;0,19597334;0,363711206;0,086859979;0,02985064
10;Semaine;2;0,324261212;0,204480999;0,376048755;0,076059511;0,019149523
11;Semaine;2;0,321760187;0,20725967;0,378535937;0,072972922;0,019471283
12;Semaine;2;0,319097372;0,216050562;0,351104174;0,067380072;0,04636782
13;Semaine;2;0,325405055;0,2245852;0,323088532;0,066008624;0,06091259
14;Semaine;2;0,328973934;0,218247217;0,355553079;0,068983427;0,028242344
15;Semaine;2;0,329120805;0,212883208;0,374991341;0,06661978;0,016384865
16;Semaine;2;0,336306444;0,219861523;0,361897586;0,067522325;0,014412122
17;Semaine;2;0,338828282;0,208445787;0,360633493;0,074639436;0,017453002
18;Semaine;2;0,321603612;0,18629198;0,359695085;0,112777656;0,019631666
19;Semaine;2;0,303563682;0,194549886;0,318870899;0,133298491;0,049717042
20;Semaine;2;0,308696908;0,201812236;0,272114245;0,139496441;0,07788017
21;Semaine;2;0,331272336;0,214283192;0,256634892;0,142013897;0,055795682
22;Semaine;2;0,357349147;0,231789256;0,243488832;0,138880855;0,02849191
23;Semaine;2;0,383760472;0,238087542;0,231190708;0,133827944;0,013133334
0;Samedi;2;0,365283025;0,24562542;0,258207392;0,119726566;0,011157598
1;Samedi;2;0,388254245;0,245817642;0,260246639;0,094531793;0,01114968
2;Samedi;2;0,405303131;0,268464965;0,234048696;0,080665953;0,011517255
3;Samedi;2;0,40384739;0,266235981;0,238835899;0,079701217;0,011379513
4;Samedi;2;0,416065261;0,256998629;0,244348909;0,076171336;0,006415865
5;Samedi;2;0,411520074;0,251438551;0,244940498;0,080593908;0,011506969
6;Samedi;2;0,40909105;0,237511;0,256494502;0,080904623;0,015998824
7;Samedi;2;0,372125479;0,212077692;0,284142506;0,089308016;0,042346307
8;Samedi;2;0,325709132;0,201486973;0,307615441;0,114061889;0,051126565
9;Samedi;2;0,32235778;0,218495761;0,312382135;0,096842444;0,04992188
10;Samedi;2;0,332828742;0,234863357;0,311955036;0,087360646;0,032992219
11;Samedi;2;0,329751902;0,237593437;0,315520147;0,083652972;0,033481542
12;Samedi;2;0,321645019;0,243597953;0,280365823;0,075971326;0,078419879
13;Samedi;2;0,326338715;0,251985669;0,245097297;0,074061992;0,102516327
14;Samedi;2;0,336542659;0,249536852;0,286609975;0,078873432;0,048437082
15;Samedi;2;0,338991103;0,245017719;0,311027991;0,076675971;0,028287216
16;Samedi;2;0,341959329;0,249811036;0,306946417;0,076720209;0,02456301
17;Samedi;2;0,338386614;0,23266657;0,316413014;0,083312317;0,029221484
18;Samedi;2;0,313582927;0,203394854;0,327739824;0,123131414;0,03215098
19;Samedi;2;0,28518855;0,20487343;0,291033392;0,140371807;0,078532821
20;Samedi;2;0,281787147;0,206716665;0,248950499;0,142886476;0,119659213
21;Samedi;2;0,302215312;0,219600887;0,246875178;0,145538143;0,085770479
22;Samedi;2;0,325971799;0,237834152;0,249838845;0,142502767;0,043852437
23;Samedi;2;0,354124635;0,246906469;0,23975417;0,138785023;0,020429703
0;Dimanche;2;0,357648064;0,249310461;0,262081196;0,121522786;0,009437493
1;Dimanche;2;0,389674011;0,245994387;0,260433759;0,094599762;0,00929808
2;Dimanche;2;0,40424908;0,269811686;0,235222772;0,081070604;0,009645859
3;Dimanche;2;0,400756361;0,26847051;0,240840458;0,080370153;0,009562518
4;Dimanche;2;0,41011311;0,260094551;0,247292447;0,07708893;0,005410961
5;Dimanche;2;0,406574453;0,254380671;0,247806583;0,081536949;0,009701345
6;Dimanche;2;0,398737314;0,245268526;0,258679239;0,08354711;0,013767812
7;Dimanche;2;0,359531603;0,222605939;0,28708046;0,093741565;0,037040433
8;Dimanche;2;0,314285732;0,21195463;0,308953091;0,119987636;0,044818911
9;Dimanche;2;0,313323475;0,23051529;0,310101371;0,102169781;0,043890083
10;Dimanche;2;0,324228428;0,248804928;0,305294699;0,092546404;0,02912554
11;Dimanche;2;0,320258327;0,251871763;0,309611731;0,088680149;0,02957803
12;Dimanche;2;0,314462753;0,259954859;0,274771847;0,081072583;0,069737958
13;Dimanche;2;0,321095481;0,27012506;0,237806016;0,079393404;0,091580039
14;Dimanche;2;0,326307401;0,26615564;0,280358238;0,084126287;0,043052434
15;Dimanche;2;0,327224608;0,260657397;0,305470392;0,08157026;0,025077343
16;Dimanche;2;0,328837846;0,264748717;0,303412524;0,081307765;0,021693148
17;Dimanche;2;0,324725373;0,245612925;0,316007384;0,087948096;0,025706222
18;Dimanche;2;0,302726374;0,212249203;0,328573917;0,12849167;0,027958836
19;Dimanche;2;0,277740664;0,213567978;0,294140992;0,146328994;0,068221371
20;Dimanche;2;0,277463911;0,215723013;0,253640748;0,149111834;0,104060494
21;Dimanche;2;0,297448941;0,226785412;0,251652228;0,15029961;0,073813809
22;Dimanche;2;0,320478699;0,242400863;0,25463606;0,145238997;0,037245382
23;Dimanche;2;0,345272665;0,2516169;0,244328152;0,141432735;0,017349547
0;Semaine;3;0,397360773;0,232992778;0,246507976;0,115976573;0,0071619
1;Semaine;3;0,395996399;0,248651962;0,252688519;0,095935524;0,006727596
2;Semaine;3;0,414967872;0,270122156;0,225752917;0,082180759;0,006976295
3;Semaine;3;0,41461072;0,265821588;0,231052844;0,081588804;0,006926044
4;Semaine;3;0,426952351;0,254405485;0,237181584;0,077084015;0,004376565
5;Semaine;3;0,429886692;0,247386719;0,234066963;0,081722253;0,006937373
6;Semaine;3;0,422893293;0,226397437;0,266973233;0,074819701;0,008916337
7;Semaine;3;0,387160493;0,200590299;0,307323313;0,078270877;0,026655017
8;Semaine;3;0,340578722;0,185771611;0,34465778;0,097059358;0,031932529
9;Semaine;3;0,331820571;0,194014553;0,361918909;0,082790693;0,029455275
10;Semaine;3;0,330269012;0,201029904;0,37532956;0,074476003;0,018895521
11;Semaine;3;0,327864015;0,202776928;0,377923114;0,071712683;0,01972326
12;Semaine;3;0,325115867;0,211171678;0,350690994;0,066605151;0,04641631
13;Semaine;3;0,330707739;0,220583128;0,323055858;0,065126295;0,06052698
14;Semaine;3;0,334146553;0,215715876;0,35347548;0,068096554;0,028565537
15;Semaine;3;0,335410088;0,211204812;0,370968207;0,066376021;0,016040872
16;Semaine;3;0,343419945;0,218041968;0,357079118;0,066828447;0,014630522
17;Semaine;3;0,346668778;0,208312662;0,355250047;0,071986891;0,017781622
18;Semaine;3;0,333500263;0,19033524;0,353812789;0,102115183;0,020236525
19;Semaine;3;0,316215357;0,198195862;0,317184737;0,118007707;0,050396337
20;Semaine;3;0,320449926;0,20435745;0,273023742;0,123471659;0,078697224
21;Semaine;3;0,342546949;0,217839717;0,255998548;0,126868278;0,056746509
22;Semaine;3;0,365991034;0,23183513;0,242474649;0,13129167;0,028407517
23;Semaine;3;0,387514165;0,23639018;0,229444118;0,134103813;0,012547725
0;Samedi;3;0,367993549;0,242903394;0,256993477;0,120909771;0,011199809
1;Samedi;3;0,394668812;0,247818351;0,251841376;0,095613898;0,010057563
2;Samedi;3;0,413525434;0,269183205;0,224968195;0,081895097;0,010428068
3;Samedi;3;0,413179869;0,264904218;0,230255464;0,081307235;0,010353213
4;Samedi;3;0,426020099;0,253849989;0,236663697;0,076915702;0,006550513
5;Samedi;3;0,422262402;0,249179037;0,235762779;0,082314331;0,010481451
6;Samedi;3;0,422234598;0,237183043;0,248186567;0,078384122;0,01401167
7;Samedi;3;0,38634373;0,214598951;0,272545436;0,083737091;0,042774791
8;Samedi;3;0,338366658;0,202283962;0,301506591;0,105686501;0,052156288
9;Samedi;3;0,331776019;0,217375683;0,308585908;0,092759451;0,049502939
10;Samedi;3;0,340172739;0,231926956;0,309278334;0,085922504;0,032699468
11;Samedi;3;0,337033773;0,233296734;0,313125696;0,082506106;0,03403769
12;Samedi;3;0,328715286;0,238961456;0,278166092;0,075370259;0,078786908
13;Samedi;3;0,332661837;0,248436248;0,243297477;0,073349818;0,102254619
14;Samedi;3;0,342729994;0,247477952;0,282511638;0,078123112;0,049157304
15;Samedi;3;0,34667759;0,244074419;0,304735984;0,076706059;0,027805947
16;Samedi;3;0,35027009;0,248648842;0,299845468;0,076209255;0,025026344
17;Samedi;3;0,347190988;0,233350459;0,308941034;0,080639236;0,029878283
18;Samedi;3;0,326292544;0,208636552;0,319863544;0,111933868;0,033273492
19;Samedi;3;0,29789862;0,209410507;0,28813394;0,124685014;0,079871919
20;Samedi;3;0,293034039;0,209813509;0,249186776;0,12676818;0,121197496
21;Samedi;3;0,312819542;0,223599833;0,245987197;0,130222928;0,087370499
22;Samedi;3;0,334022919;0,238188602;0,249119699;0,134889736;0,043779043
23;Samedi;3;0,357619848;0,245414108;0,238202888;0,139223075;0,019540081
0;Dimanche;3;0,360550519;0,246492041;0,26079029;0,122696088;0,009471063
1;Dimanche;3;0,395919386;0,247993108;0,25201897;0,095681323;0,008387213
2;Dimanche;3;0,412296564;0,270549008;0,226109656;0,082310623;0,008734149
3;Dimanche;3;0,410403933;0,26694228;0,232026953;0,081932779;0,008694055
4;Dimanche;3;0,420448991;0,256802341;0,239416167;0,077810254;0,005522248
5;Dimanche;3;0,417193877;0,252127458;0,238552452;0,083288319;0,008837895
6;Dimanche;3;0,412358525;0,244872467;0,249788753;0,080925319;0,012054937
7;Dimanche;3;0,374516852;0,225447385;0,27461796;0,087970179;0,037447623
8;Dimanche;3;0,328174533;0,212900992;0,301946144;0,111233538;0,045744793
9;Dimanche;3;0,324023373;0,22931777;0,305284672;0,097855428;0,043518758
10;Dimanche;3;0,332488721;0,245789576;0,301785181;0,09105822;0,028878303
11;Dimanche;3;0,327615168;0,247739038;0,306911453;0,087613672;0,03012067
12;Dimanche;3;0,321632842;0,255425089;0,272199841;0,080563014;0,070179215
13;Dimanche;3;0,3279338;0,266542359;0,235405794;0,078695575;0,091422473
