Saison;Jour;Heure;Climatisation et ventilation;Industrie hors metallurgie;Metallurgie;Energie;Cuisson;Eclairage;Autres usages
Hiver;Lundi;0;0,019534555;0,305187802;0,060123273;0,033111321;0,00616066;0,095319959;0,48056243
Hiver;Lundi;1;0,019933744;0,317094885;0,062469018;0,034403179;0,004791765;0,083248939;0,478058468
Hiver;Lundi;2;0,019628094;0,310296225;0,061129654;0,033665559;0,004354886;0,077703612;0,493221969
Hiver;Lundi;3;0,019882663;0,315370764;0,062129359;0,034216121;0,004518787;0,075822132;0,488060174
Hiver;Lundi;4;0,02076601;0,323438701;0,063718777;0,035091451;0,006439312;0,076378248;0,474167502
Hiver;Lundi;5;0,021314853;0,316360603;0,062324362;0,034323513;0,012323547;0,079399264;0,473953857
Hiver;Lundi;6;0,020293883;0,282821609;0,05571704;0,030684703;0,026387021;0,087318409;0,496777335
Hiver;Lundi;7;0,01925444;0,245685798;0,04840113;0,026655657;0,035907505;0,113159816;0,510935654
Hiver;Lundi;8;0,02106701;0,238241344;0,046934541;0,025847972;0,024795684;0,093983306;0,549130144
Hiver;Lundi;9;0,021852484;0,237332825;0,046755559;0,025749402;0,022679446;0,081827938;0,563802346
Hiver;Lundi;10;0,021827247;0,234726431;0,046242088;0,025466622;0,023863371;0,080019666;0,567854574
Hiver;Lundi;11;0,021423622;0,233180462;0,045937526;0,025298892;0,036665804;0,076875365;0,56061833
Hiver;Lundi;12;0,020879613;0,23950071;0,047182641;0,025984607;0,06824119;0,074070943;0,524140297
Hiver;Lundi;13;0,020862512;0,242908711;0,047854032;0,026354357;0,039434728;0,075683863;0,546901797
Hiver;Lundi;14;0,02182481;0,24471416;0,048209713;0,026550239;0,017035014;0,075345574;0,56632049
Hiver;Lundi;15;0,022558546;0,251481338;0,049542875;0,027284444;0,015152533;0,074783708;0,559196557
Hiver;Lundi;16;0,022600863;0,256058468;0,050444589;0,027781039;0,017911347;0,080481651;0,544722044
Hiver;Lundi;17;0,021721809;0,246733868;0,048607604;0,026769367;0,022691909;0,126049761;0,507425682
Hiver;Lundi;18;0,019925128;0,228479964;0,045011508;0,024788912;0,056796479;0,147544588;0,477453419
Hiver;Lundi;19;0,018464296;0,228098372;0,044936333;0,024747511;0,127546286;0,148764377;0,407442826
Hiver;Lundi;20;0,01958678;0,249553682;0,049163119;0,027075303;0,087214549;0,153382569;0,414023999
Hiver;Lundi;21;0,019952454;0,272757184;0,053734306;0,029592765;0,038946807;0,145343925;0,43967256
Hiver;Lundi;22;0,018716589;0,301965117;0,059488391;0,032761676;0,017846663;0,134574912;0,434646651
Hiver;Lundi;23;0,018992364;0,314183547;0,061895473;0,034087314;0,009852975;0,113624837;0,44736349
Hiver;Mardi;0;0,019632754;0,328398297;0,064695838;0,035629542;0,005637688;0,093574297;0,452431584
Hiver;Mardi;1;0,019778727;0,343556031;0,067681975;0,037274079;0,004454668;0,073739607;0,453514914
Hiver;Mardi;2;0,019687905;0,33531448;0,066058355;0,036379912;0,00404744;0,079618929;0,458892978
Hiver;Mardi;3;0,019685913;0,33809254;0,066605644;0,036681318;0,004216333;0,076911729;0,457806523
