Heure;Thermosensibilite hiver (GW/degre);Thermosensibilite ete (GW/degre)
0;-2168.73240270286;862.5825109084961
1;-2219.6233157438796;761.7957320133283
2;-2301.215692471602;684.2765189362792
3;-2345.0481304333575;641.4698628467729
4;-2327.599890153443;569.0080124894872
5;-2329.622053038971;524.5865528709438
6;-2397.740696515091;482.869276618559
7;-2559.184030581604;576.8467358550448
8;-2660.3302299557877;783.4514560272496
9;-2582.664303067453;904.6047034843394
10;-2514.384311809617;985.107029970582
11;-2454.32109933612;1064.338054995112
12;-2468.970975078564;1083.1061004830863
13;-2482.5124835079014;1037.2956684765848
14;-2453.991860790041;852.7378092713737
15;-2426.4966134052793;871.0958136165823
16;-2452.8157668470203;872.5896621345398
17;-2561.5385448279517;891.431841690235
18;-2881.4687878141553;957.2208128974885
19;-2864.5783895392365;888.3951924116781
20;-2539.9532795260648;811.0352703891614
21;-2345.991766681984;805.4422553147658
22;-2139.399640566481;967.3891506989028
23;-2111.750293083063;1058.2613293910613
