Année;Electrique;Hybride rechargeable;Hydrogène;GNV;Autres fossiles
2021;67;0;0;584;65392
2022;71;0;0;1261;64849
2023;109;0;25;2206;64015
2024;191;0;78;3443;62829
2025;313;0;160;4989;61257
2026;467;0;268;6783;59424
2027;697;0;511;8726;57250
2028;999;0;891;10795;54741
2029;1363;0;1401;13002;51903
2030;1790;0;2037;15357;48727
2031;2285;0;2794;17804;45244
2032;2853;0;3695;20054;41751
2033;3526;0;4673;21974;38426
2034;4285;0;5747;23619;35195
2035;5087;0;6905;24983;32118
2036;5996;0;8181;26044;29077
2037;6967;0;9532;26912;26104
2038;8020;0;10948;27467;23275
2039;9110;0;12379;27843;20612
2040;10251;0;13906;27916;18049
2041;11457;0;15465;27834;15618
2042;12557;0;16943;27711;13384
2043;13618;0;18298;27570;11364
2044;14556;0;19595;27287;9666
2045;15452;0;20756;27037;8116
2046;16268;0;21832;26756;6762
2047;17067;0;22828;26462;5519
2048;17717;0;23696;26091;4603
2049;18381;0;24566;25746;3675
2050;18938;0;25320;25458;2910
2051;19486;0;25999;25121;2280
2052;19971;0;26558;24811;1787
2053;20392;0;27082;24525;1390
2054;20709;0;27515;24251;1178
2055;21035;0;27926;24086;867
2056;21320;0;28252;23835;763
2057;21456;0;28594;23695;681
2058;21669;0;28814;23547;664
2059;21870;0;29031;23409;652
2060;22004;0;29218;23303;652
