Année;Electrique;Hybride rechargeable;Hydrogène;GNV;Autres fossiles
2021;138;0;0;6603;593539
2022;201;0;40;8079;593782
2023;877;0;442;12467;590422
2024;2163;0;1207;19728;583282
2025;4051;0;2330;29852;572330
2026;6502;0;3794;42669;557789
2027;9653;0;5664;55275;542125
2028;13471;0;7914;67506;526031
2029;17942;0;10578;79389;509189
2030;23025;0;13558;90828;491909
2031;28702;0;16927;101760;474127
2032;35501;0;20896;112341;455014
2033;43343;0;25505;122726;434035
2034;52100;0;30658;132567;412536
2035;61869;0;36424;142207;389518
2036;72594;0;42702;151586;365330
2037;84088;0;49556;160506;340338
2038;96386;0;56923;169027;314435
2039;109506;0;64657;177306;287495
2040;123287;0;72782;184991;260107
2041;137763;0;81430;192467;231613
2042;151556;0;89636;199195;205202
2043;164745;0;97501;205345;180011
2044;177351;0;104993;211050;156482
2045;189239;0;112005;216238;134627
2046;200431;0;118661;221025;114217
2047;210983;0;124851;225326;95529
2048;220672;0;130612;229032;78737
2049;229883;0;135920;232624;62813
2050;238367;0;140856;235783;48510
2051;246162;0;145535;238476;35732
2052;253227;0;149653;240750;24673
2053;259970;0;153545;242805;14389
2054;265805;0;157025;244835;5458
2055;268155;0;158374;244154;4864
2056;270453;0;159732;243437;4357
2057;272763;0;160850;242935;3872
2058;274738;0;162089;242638;3405
2059;276654;0;163384;242319;2971
2060;278536;0;164449;242205;2605
