Année;Electrique;Hybride rechargeable;Hydrogène;GNV;Autres fossiles
2021;244862;157445;0;153769;37790190
2022;419568;306233;0;196560;37422279
2023;717629;469368;331;236840;36920471
2024;1154923;647202;1043;273700;36263273
2025;1745816;839444;2190;306126;35443511
2026;2454704;1031718;3689;330720;34516256
2027;3279475;1223883;5558;347305;33480132
2028;4216203;1414948;7758;356299;32340466
2029;5260542;1604567;10316;357282;31102966
2030;6407708;1791516;13199;350703;29772547
2031;7652573;1976133;16403;336327;28354237
2032;9048095;2107425;20231;321442;26837811
2033;10584827;2184953;24646;306553;25234025
2034;12259581;2209095;29657;291290;23545381
2035;14065652;2181444;35195;276147;21776566
2036;15999073;2102344;41313;260642;19929981
2037;17868490;2018592;47206;245127;18152561
2038;19672784;1930870;52937;229737;16445451
2039;21403875;1839834;58441;214631;14813630
2040;23060543;1746872;63687;199697;13258857
2041;24639003;1651915;68795;185152;11784393
2042;26139205;1556578;73649;170963;10388863
2043;27561026;1461779;78225;157389;9069446
2044;28901265;1367033;82507;144361;7832671
2045;30159754;1273911;86534;131919;6675719
2046;31339366;1182614;90446;120326;5594773
2047;32436039;1093843;94028;109042;4594573
2048;33456448;1007964;97267;98472;3667142
2049;34402579;925522;100354;88775;2810063
2050;35274577;846247;103291;79772;2023198
2051;36077128;771324;105992;71278;1300994
2052;36812536;700255;108543;63645;641737
2053;37485122;633268;110795;56546;40841
2054;37558033;570408;111238;50012;36881
2055;37625574;512207;111686;44016;33089
2056;37687756;458498;112000;38622;29696
2057;37745261;408863;112163;33806;26479
2058;37797902;363066;112425;29522;23657
2059;37846195;321042;112734;25609;20992
2060;37889991;282825;113009;22227;18520
