Année;Electrique;Hybride rechargeable;Hydrogène;GNV;Autres fossiles
2021;48660;747;0;15954;5839038
2022;58248;3315;0;16373;5850082
2023;89411;6031;234;16680;5839305
2024;141690;8868;701;16811;5806074
2025;214695;11840;1396;16787;5753280
2026;308238;14930;2306;16612;5679904
2027;421583;18158;3442;16298;5586597
2028;554377;21484;4788;15834;5473779
2029;706334;24884;6336;15268;5341344
2030;876426;28349;8089;14583;5190774
2031;1064057;31880;10069;13747;5022942
2032;1288713;34429;12394;12957;4818773
2033;1550180;35962;15063;12114;4578325
2034;1846451;36601;18083;11342;4303739
2035;2176250;36263;21457;10575;3996536
2036;2539758;35008;25139;9768;3655799
2037;2892474;33665;28751;9050;3326594
2038;3233409;32302;32232;8321;3009048
2039;3562016;30916;35590;7733;2704049
2040;3877499;29432;38777;7101;2412856
2041;4178908;27871;41856;6496;2135997
2042;4467186;26291;44790;5871;1872555
2043;4740581;24763;47601;5330;1623818
2044;4999682;23192;50318;4811;1389097
2045;5244079;21665;52843;4323;1169716
2046;5473600;20129;55239;3904;965247
2047;5688525;18627;57413;3506;775568
2048;5888444;17218;59399;3167;601586
2049;6074567;15861;61239;2824;440842
2050;6246289;14471;63024;2508;295402
2051;6403889;13243;64625;2225;164199
2052;6549371;11992;66166;1978;45136
2053;6581446;10862;66516;1726;40792
2054;6613124;9818;66871;1509;36825
2055;6644624;8847;67146;1336;33107
2056;6675837;7926;67478;1159;29680
2057;6706886;7101;67753;1013;26455
2058;6737777;6324;68013;882;23449
2059;6768300;5606;68335;768;20782
2060;6798565;4936;68672;667;18406
