Année;Electrique;Hybride rechargeable;Hydrogène;GNV;Autres fossiles
2021;48660;747;0;15954;5839038
2022;58264;3323;0;16404;5849798
2023;117730;6268;527;16535;5810368
2024;226219;9577;1575;16371;5720557
2025;382605;13230;3136;15816;5583409
2026;586755;17215;5214;15021;5397273
2027;828677;20287;7664;14152;5174570
2028;1106897;22441;10488;13328;4916378
2029;1420686;23619;13637;12504;4622340
2030;1768748;23903;17172;11717;4295617
2031;2149077;23238;21061;10959;3937291
2032;2520082;22581;24810;10171;3588090
2033;2880022;21816;28472;9447;3250640
2034;3228434;20991;31998;8738;2924683
2035;3563743;20121;35407;8042;2612390
2036;3884959;19227;38660;7379;2314350
2037;4191986;18331;41814;6764;2030738
2038;4483434;17358;44729;6170;1763101
2039;4760988;16396;47542;5597;1509513
2040;5023847;15396;50280;5033;1270757
2041;5270448;14402;52844;4549;1048531
2042;5501727;13479;55165;4074;841008
2043;5717100;12545;57358;3656;650456
2044;5916896;11603;59397;3282;475284
2045;6103490;10699;61246;2939;313954
2046;6275340;9856;63064;2603;167389
2047;6434229;9008;64648;2295;34129
2048;6464381;8182;64972;2009;30942
2049;6494418;7386;65265;1736;27963
2050;6524173;6668;65602;1509;25203
2051;6553808;5970;65984;1328;22558
2052;6583343;5362;66242;1156;20144
2053;6612620;4770;66618;1007;17937
2054;6641879;4216;66939;883;15847
2055;6670940;3733;67247;762;14001
2056;6700005;3256;67526;640;12283
2057;6728876;2874;67762;561;10772
2058;6757647;2491;68099;474;9377
2059;6786260;2214;68381;418;8167
2060;6814768;1930;68752;350;7102
