Mois;heures;Branche Nom;Somme de Lave-Linge;Somme de Lave-vaisselle;Somme de Sèche-linge;Somme de Réfrigérateurs et combinés;Somme de Congélateurs;Somme de Télévisions;Somme de Lecteurs DVD;Somme de Magnétoscopes;Somme de Ordinateurs fixes, secondaires et portables;Somme de Décodeurs, TNT, Satellite et TV ADSL;Somme de Imprimantes;Somme de Boxs et modems;Somme de Téléphones fixes;Somme de Chaîne-Hifi;Somme de Consoles de jeux;Somme de Grille Pain;Somme de Bouilloires électriques;Somme de Cafetières filtres / Machine à expresso;Somme de Micro-ondes;Somme de Mini-four;Somme de Friteuses;Somme de Hottes;Somme de Cuisinières;Somme de Aspirateur;Somme de Fers à repasser / Centrales vapeures;Somme de Ordinateurs;Somme de Imprimantes / Photocopieurs / Scanners;Somme de Serveurs;Somme de Faxs;Somme de Traceurs;Somme de Cuisson;Somme de Electroménager;Somme de Froid Alimentaire;Somme de Process;Somme de Energie;Somme de Agriculture;Somme de Auxiliaire de Chauffage;Somme de Chauffage;Somme de Eclairage Public;Somme de Eclairage;Somme de Climatisation;Somme de ECS;Somme de Autres (Inconnu);Somme de Pertes
1;1;AUT Autres (dont Branche énergie, Transport et Agriculture);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005368993;0;0,001562517;0;0;0;0;0;0;0,001231519;0,000571412
1;1;IND Agroalimentaires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004509714;0;0;0;0,000328293;0;0,000125028;0;0;5,39461E-06;0,00034779
1;1;IND Chimie & matériaux plastiques ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,020688341;0;0;0;1,71921E-05;0;0,00038275;0;0;0,001525572;0,00158297
1;1;IND Composants électriques et électroniques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010848042;0;0;0;0,000259326;0;0,001047573;0;0;0,000831896;0,000909079
1;1;IND Construction Mécanique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000706276;0;0;0;2,43433E-05;0;8,2319E-05;0;0;2,01793E-05;5,83182E-05
1;1;IND Construction navale et aéronautique, armement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001467897;0;0;0;7,91264E-05;0;0,000145065;0;0;0,000268827;0,000137264
1;1;IND Équipement de transport ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000585724;0;0;0;1,64296E-05;0;6,79893E-05;0;0;1,60289E-05;4,8032E-05
1;1;IND Fonderie, travail des métaux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002274337;0;0;0;7,11237E-05;0;0,000100793;0;0;6,66533E-05;0,000175903
1;1;IND Minerai, métal ferreux/non ferreux ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00124716;0;0;0;5,68268E-06;0;3,12277E-05;0;0;2,67899E-05;9,17602E-05
1;1;IND Papier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002740959;0;0;0;0,000246554;0;5,65746E-05;0;0;5,12198E-05;0,000216671
1;1;IND Parachimie, industrie pharmaceutique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009203102;0;0;0;0,000519092;0;0,000659683;0;0;0,00089219;0,000789185
1;1;IND Textile ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;Résidence Principale;0,003592506;0,004202823;0,002268804;0,021324632;0,013487087;0,017096383;0,00126743;0;0,005849074;0,002986326;0,000992252;0,001964665;0;0,001602404;0,001669675;9,37525E-05;0,000163588;1,13118E-11;0,000357449;0,000140272;1,54793E-05;1,28388E-05;4,21104E-07;0;0,000188023;0;0;0;0;0;0;0;0;0;0;0;0,00679154;0,268245666;0;0,01100463;0;0,139861508;0,029545439;0,037430727
1;1;Résidence Secondaire;6,64506E-05;8,66653E-05;3,4265E-05;0,001113633;0,000213741;0,000834382;8,90999E-06;0;0;0;0;0;0,000652669;7,2334E-06;5,99197E-06;2,34486E-06;8,60151E-06;1,03301E-12;6,56435E-06;1,82897E-06;4,49575E-07;8,32869E-07;2,17979E-08;0;3,8016E-06;0;0;0;0;0;0;0;0;0;0;0;0,001544672;0,014643446;0;0,00058522;0;0,009261873;0,00157121;0,002145837
1;1;SPE Matériaux de construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010957731;0;0;0;0;0;0,000767041
1;1;SPE Verre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002294351;0;0;0;0;0;0,000160605
1;1;Tertiaire - Autres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,057188029;0,004003162
1;1;Tertiaire - CHR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000960888;0;0;0;0;0;0;0;0,001298409;0,000112962;0,003817199;0,00054426;0;0;0,003541397;0,014829648;0;0,000970239;0;0,018420025;0,001973104;0,003252769
1;1;Tertiaire - COM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,94498E-05;0;0;0;0;0;0;0;0,000355841;0;0,005163328;0,002208576;0;0;0,004565861;0,019560185;0;0,00243123;0;0,006384531;0,003520358;0,003097455
1;1;Tertiaire - ENS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000123993;0;0;0,000304061;8,5915E-05;0,00017814;0;0;0,000396358;0;0,000834598;0;0;0;0,00016215;0,005449397;0;0,00073695;0;0,005900031;0,000400041;0,001020014
1;1;Tertiaire - EP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,022757639;0;0;0;0;0,001593035
1;1;Tertiaire - HCO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,71793E-05;0;0;0;0;0;0;0;0,000433434;0;0,000389562;0,000624871;0;0;0,000139509;0,006660698;0;0,00076918;0;0,005261225;0,000327463;0,001028518
1;1;Tertiaire - SAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,56888E-05;0;0;0;0;0;0;0;0,000498095;0;0,001547362;0,000827341;0;0;0,000431105;0,007743966;0;0,00122855;0;0,010580159;0,001183692;0,001688817
1;1;Tertiaire - SPL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,4612E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006508643;0;0;0;0,007544291;0,009105305;0,0016228
1;1;Tertiaire - TRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,10653E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001975034;0;0;0;0,001105331;0,004728609;0,000547403
1;1;Tertiaire - ADM-BUR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,54254E-05;0;0;0,005145945;0,003114165;0,003311384;0;0;0,000453403;4,29956E-05;0,004192344;0,015242577;0;0;0,000155987;0,037917167;0;0,002100092;0;0,004703092;0,00851791;0,005947374
1;2;AUT Autres (dont Branche énergie, Transport et Agriculture);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,005368993;0;0,001562517;0;0;0;0;0;0;0,001231519;0,000571412
1;2;IND Agroalimentaires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,004509714;0;0;0;0,000328293;0;0,000125028;0;0;5,39461E-06;0,00034779
1;2;IND Chimie & matériaux plastiques ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,020688341;0;0;0;1,71921E-05;0;0,00038275;0;0;0,001525572;0,00158297
1;2;IND Composants électriques et électroniques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010848042;0;0;0;0,000259326;0;0,001047573;0;0;0,000831896;0,000909079
1;2;IND Construction Mécanique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000706276;0;0;0;2,43433E-05;0;8,2319E-05;0;0;2,01793E-05;5,83182E-05
1;2;IND Construction navale et aéronautique, armement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001467897;0;0;0;7,91264E-05;0;0,000145065;0;0;0,000268827;0,000137264
1;2;IND Équipement de transport ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000585724;0;0;0;1,64296E-05;0;6,79893E-05;0;0;1,60289E-05;4,8032E-05
1;2;IND Fonderie, travail des métaux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002274337;0;0;0;7,11237E-05;0;0,000100793;0;0;6,66533E-05;0,000175903
1;2;IND Minerai, métal ferreux/non ferreux ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00124716;0;0;0;5,68268E-06;0;3,12277E-05;0;0;2,67899E-05;9,17602E-05
1;2;IND Papier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002740959;0;0;0;0,000246554;0;5,65746E-05;0;0;5,12198E-05;0,000216671
1;2;IND Parachimie, industrie pharmaceutique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009203102;0;0;0;0,000519092;0;0,000659683;0;0;0,00089219;0,000789185
1;2;IND Textile ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2;Résidence Principale;0,003361832;0,002416944;0,000806686;0,02088801;0,013607508;0,011384998;0,001192289;0;0,005062307;0,002986326;0,000992252;0,001964665;0;0,001479142;0,001669675;1,42049E-05;0,000116849;1,79365E-09;0,000357449;0,000140272;1,4975E-05;8,55919E-06;3,86202E-06;0;9,11472E-05;0;0;0;0;0;0;0;0;0;0;0;0,006832146;0,269534198;0;0,003736154;0;0,139861508;0,029545439;0,036264858
