AREAS,STOCK_TECHNO,storageCost,p_max,c_min,c_max,efficiency_in,dissipation,efficiency_out
FR,Battery,100,0.0,0,0,0.9,0,0.9
FR,HydroStorage,100,5023.0,100460,100460,0.9,0,0.9
BE,Battery,100,0.0,0,0,0.9,0,0.9
BE,HydroStorage,100,1308.0,32700,32700,0.9,0,0.9
DE,Battery,100,0.0,0,0,0.9,0,0.9
DE,HydroStorage,100,9422.0,141330,141330,0.9,0,0.9
ES,Battery,100,0.0,0,0,0.9,0,0.9
ES,HydroStorage,100,5645.4,56454,56454,0.9,0,0.9
GB,Battery,100,0.0,0,0,0.9,0,0.9
GB,HydroStorage,100,2744.0,27440,27440,0.9,0,0.9
IT,Battery,100,0.0,0,0,0.9,0,0.9
IT,HydroStorage,100,7574.0,75740,75740,0.9,0,0.9
CH,Battery,100,0.0,0,0,0.9,0,0.9
CH,HydroStorage,100,6640.7,132814,132814,0.9,0,0.9
