"Dates","Prices"
"2006-12-01 00:00:00",32.003
"2006-12-01 01:00:00",28.997
"2006-12-01 02:00:00",26.001
"2006-12-01 03:00:00",22.066
"2006-12-01 04:00:00",18.997
"2006-12-01 05:00:00",26.998
"2006-12-01 06:00:00",33.103
"2006-12-01 07:00:00",53.998
"2006-12-01 08:00:00",48.298
"2006-12-01 09:00:00",50.164
"2006-12-01 10:00:00",48.194
"2006-12-01 11:00:00",48.103
"2006-12-01 12:00:00",42.49
"2006-12-01 13:00:00",39.999
"2006-12-01 14:00:00",39.991
"2006-12-01 15:00:00",38.005
"2006-12-01 16:00:00",45.579
"2006-12-01 17:00:00",58.043
"2006-12-01 18:00:00",64.001
"2006-12-01 19:00:00",56.002
"2006-12-01 20:00:00",45.991
"2006-12-01 21:00:00",37.043
"2006-12-01 22:00:00",37.867
"2006-12-01 23:00:00",32.912
"2006-12-02 00:00:00",31.009
"2006-12-02 01:00:00",28.6
"2006-12-02 02:00:00",24.241
"2006-12-02 03:00:00",19
"2006-12-02 04:00:00",7.896
"2006-12-02 05:00:00",19.5
"2006-12-02 06:00:00",22.37
"2006-12-02 07:00:00",32.01
"2006-12-02 08:00:00",33.991
"2006-12-02 09:00:00",36.994
"2006-12-02 10:00:00",36.999
"2006-12-02 11:00:00",38.996
"2006-12-02 12:00:00",39.991
"2006-12-02 13:00:00",37.307
"2006-12-02 14:00:00",33.109
"2006-12-02 15:00:00",31.997
"2006-12-02 16:00:00",33.79
"2006-12-02 17:00:00",38.998
"2006-12-02 18:00:00",46.999
"2006-12-02 19:00:00",41
"2006-12-02 20:00:00",38.992
"2006-12-02 21:00:00",33.647
"2006-12-02 22:00:00",36.999
"2006-12-02 23:00:00",33.006
"2006-12-03 00:00:00",28.85
"2006-12-03 01:00:00",28.391
"2006-12-03 02:00:00",23
"2006-12-03 03:00:00",18.19
"2006-12-03 04:00:00",16.008
"2006-12-03 05:00:00",16.401
"2006-12-03 06:00:00",14.5
"2006-12-03 07:00:00",14.007
"2006-12-03 08:00:00",15.802
"2006-12-03 09:00:00",23.176
"2006-12-03 10:00:00",30.152
"2006-12-03 11:00:00",32.995
"2006-12-03 12:00:00",34
"2006-12-03 13:00:00",29.5
"2006-12-03 14:00:00",27.75
"2006-12-03 15:00:00",27.993
"2006-12-03 16:00:00",28.059
"2006-12-03 17:00:00",36.192
"2006-12-03 18:00:00",38.897
"2006-12-03 19:00:00",38.756
"2006-12-03 20:00:00",36.996
"2006-12-03 21:00:00",33.109
"2006-12-03 22:00:00",33.793
"2006-12-03 23:00:00",28.102
"2006-12-04 00:00:00",25.726
"2006-12-04 01:00:00",20.04
"2006-12-04 02:00:00",15.07
"2006-12-04 03:00:00",13.094
"2006-12-04 04:00:00",13.093
"2006-12-04 05:00:00",19.001
"2006-12-04 06:00:00",31.83
"2006-12-04 07:00:00",49.838
"2006-12-04 08:00:00",51.712
"2006-12-04 09:00:00",51.992
"2006-12-04 10:00:00",51.99
"2006-12-04 11:00:00",50.108
"2006-12-04 12:00:00",49.832
"2006-12-04 13:00:00",51.891
"2006-12-04 14:00:00",50.997
"2006-12-04 15:00:00",48.195
"2006-12-04 16:00:00",59.453
"2006-12-04 17:00:00",67.75
