TECHNOLOGIES,energyCost,margvarCost,capacityCost,EnergyNbhourCap,minCapacity,maxCapacity,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
CCG,33.91,0.0005,107632.0,0,6564.0,6564.0,0.35,0.35,0,0
TAC,45.75,0.0,107632.0,0,703.0,703.0,1.0,1.0,0,0
OldNuke,17.87,0.0,343571.0,0,63130.0,63130.0,0.08,0.08,0,0
WindOnShore,0.0,0.0,117265.0,0,12518.0,12518.0,0.0,0.0,0,0
WindOffShore,0.0,0.0,1e+20,0,0.0,0.0,0.0,0.0,0,0
HydroRiver,0.0,0.0,205346.0,0,11222.0,11222.0,0.0,0.0,0,0
Solar,0.0,0.0,46057.0,0,7170.0,7170.0,0.0,0.0,0,0
HydroReservoir,0.0,0.0,205346.0,2100,8578.0,8578.0,0.0,0.0,0,0
Biomass,37.36,0.0005,194346.0,0,1840.0,1840.0,0.15,0.15,0,0
Coal,42.84,0.0005,182139.0,0,2997.0,2997.0,0.15,0.15,0,0
Lignite,0.0,0.0005,1e+20,0,0.0,0.0,0.0,0.0,0,0
curtailment,5000.0,0.0,0.0,0,30000.0,30000.0,0.0,0.0,0,0
TAC,45.75,0.0005,107632.0,0,703.0,703.0,1.0,1.0,0,0
