AREAS;TECHNOLOGIES;energyCost;capacity;EnergyNbhourCap;_RampConstraintPlus;_RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
FR;TAC;60,02;4000,0;0,0;0,0;0,0;0;0
FR;Coal;40,04;2000,0;0,0;0,1;0,1;0;0
FR;CCG;50,02;12000,0;0,0;0,1;0,1;0;0
FR;OldNuke;7,0;63000,0;0,0;0,1;0,1;0;0
FR;NukeCarrene;7,0;0,0;0,0;0,0;0,0;0;0
FR;NewNuke;7,0;0,0;0,0;0,0;0,0;0;0
FR;WindOnShore;0,0;14900,0;0,0;0,0;0,0;0;0
FR;WindOffShore;0,0;0,0;0,0;0,0;0,0;0;0
FR;HydroLake;0,0;12500,0;3638,1;0,0;0,0;0;0
FR;HydroRiver;0,0;7500,0;0,0;0,0;0,0;0;0
FR;Solar;0,0;9600,0;0,0;0,0;0,0;0;0
FR;ResidentialRoofTopSolar;0,0;0,0;0,0;0,0;0,0;0;0
FR;IndusRoofTopSolar;0,0;0,0;0,0;0,0;0,0;0;0
DE;TAC;60,02;3,0;0,0;0,0;0,0;0;0
DE;Coal;40,04;30,0;0,0;0,1;0,1;0;0
DE;Lignite;50,02;23,0;0,0;0,1;0,1;0;0
DE;OldNuke;7,0;8,1;0,0;0,1;0,1;0;0
DE;CCG;50,02;28,0;0,0;0,1;0,1;0;0
DE;Biomass;40,04;9,6;0,0;0,0;0,0;0;0
DE;WindOnShore;0,0;53100,0;0,0;0,0;0,0;0;0
DE;WindOffShore;0,0;7500,0;0,0;0,0;0,0;0;0
DE;HydroLake;0,0;0,0;3638,1;0,0;0,0;0;0
DE;HydroRiver;0,0;14,6;0,0;0,0;0,0;0;0
DE;Solar;0,0;49,0;0,0;0,0;0,0;0;0
DE;ResidentialRoofTopSolar;0,0;0,0;0,0;0,0;0,0;0;0
DE;IndusRoofTopSolar;0,0;0,0;0,0;0,0;0,0;0;0
DE;curtailment ;3000,0;10000,0;0,0;0,0;0,0;0;0
