AREAS;STOCK_TECHNO;storageCost;p_max;c_max;efficiency_in;dissipation;efficiency_out
FR;Battery;100;3000;30000;0.9;0;0.9
FR;HydroStorage;77;8000;80000;0.9;0;0.9
BE;HydroStorage;77;1300;13000;0.9;0;0.9
DE;HydroStorage;77;9500;95000;0.9;0;0.9
ES;Battery;100;2500;25000;0.9;0;0.9
ES;HydroStorage;77;7890;78900;0.9;0;0.9
GB;Battery;100;11700;117000;0.9;0;0.9
GB;HydroStorage;77;4300;43000;0.9;0;0.9
IT;Battery;100;6000;6000;0.9;0;0.9
IT;HydroStorage;77;11900;119000;0.9;0;0.9
CH;Battery;100;1220;12200;0.9;0;0.9
CH;HydroStorage;77;3790;37900;0.9;0;0.9
