AREAS;TECHNOLOGIES;energyCost;capacityCost;EnergyNbhourCap;minCapacity;maxCapacity;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
FR;CCG;53.73;111947.62;0;12000;12000;0.06;0.06;0;0
FR;OldNuke;10.0;289998.45;0;55000;61400;0.04;0.04;0;0
FR;NewNuke;10.0;757519.86;0;1300;1300;0.04;0.04;0;0
FR;WindOnShore;0.0;106542.0;0;33000;33000;0.0;0.0;0;0
FR;WindOffShore;0.0;184396.0;0;5000;5000;0.0;0.0;0;0
FR;HydroRiver;0.0;205346.0;0;13000;13000;0.0;0.0;0;0
FR;Solar;0.0;46057.0;0;40000;40000;0.0;0.0;0;0
FR;curtailment;3000.0;0.0;0;0;30000;0.0;0.0;0;0
FR;HydroReservoir;0.0;205346.0;2100;7000;7000;0.0;0.0;0;0
FR;Biomass;23.75;311819.74;0;1500;2000;0.06;0.06;0;0
FR;Coal;0;0;0;0;0;0;0;0;0
DE;CCG;53.73;111947.62;0;28617;36250;0.06;0.06;0;0
DE;Coal;39.5;195353.62;0;17099;33153;0.06;0.06;0;0
DE;WindOnShore;0.0;106542.0;0;60082;70899;0.0;0.0;0;0
DE;WindOffShore;0.0;184396.0;0;15004;19996;0.0;0.0;0;0
DE;HydroRiver;0.0;205346.0;0;3800;3800;0.0;0.0;0;0
DE;Solar;0.0;46057.0;0;71880;97924;0.0;0.0;0;0
DE;curtailment;3000.0;0.0;0;0;30000;0.0;0.0;0;0
DE;HydroReservoir;0.0;205346.0;2100;1400;1400;0.0;0.0;0;0
DE;Biomass;23.75;311819.74;0;6226;6226;0.06;0.06;0;0
DE;OldNuke;0;0;0;0;0;0;0;0;0
DE;NewNuke;0;0;0;0;0;0;0;0;0
GB;CCG;53.73;111947.62;0;27000;45500;0.06;0.06;0;0
GB;WindOnShore;0.0;106542.0;0;22000;27000;0.0;0.0;0;0
GB;WindOffShore;0.0;184396.0;0;30000;48000;0.0;0.0;0;0
GB;HydroRiver;0.0;205346.0;0;2000;2000;0.0;0.0;0;0
GB;OldNuke;10.0;289998.45;0;1900;4000;0.04;0.04;0;0
GB;NewNuke;10.0;757519.86;0;3300;3300;0.04;0.04;0;0
GB;Solar;0.0;46057.0;0;17000;40000;0.0;0.0;0;0
GB;curtailment;3000.0;0.0;0;0;30000;0.0;0.0;0;0
GB;Biomass;23.75;311819.74;0;0;2500;0.06;0.06;0;0
GB;Coal;0;0;0;0;0;0;0;0;0
GB;HydroReservoir;0;0;0;0;0;0;0;0;0
CH;OldNuke;10.0;289998.45;0;1220;1220;0.04;0.04;0;0
CH;Solar;0.0;46057.0;0;7650;9730;0.0;0.0;0;0
CH;HydroRiver;0.0;205346.0;0;605;605;0.0;0.0;0;0
CH;HydroReservoir;0.0;205346.0;2100;5588;5588;0.0;0.0;0;0
CH;WindOnShore;0.0;106542.0;0;180;310;0.0;0.0;0;0
CH;CCG;53.73;111947.62;0;980;1250;0.06;0.06;0;0
CH;curtailment;3000.0;0.0;0;0;10000;0.0;0.0;0;0
CH;Coal;0;0;0;0;0;0;0;0;0
CH;WindOffShore;0;0;0;0;0;0;0;0;0
CH;Coal;0;0;0;0;0;0;0;0;0
CH;NewNuke;0;0;0;0;0;0;0;0;0
IT;CCG;53.73;111947.62;0;50000;50000;0.06;0.06;0;0
IT;WindOnShore;0.0;106542.0;0;12600;17900;0.0;0.0;0;0
IT;WindOffShore;0.0;184396.0;0;1000;1000;0.0;0.0;0;0
IT;HydroRiver;0.0;205346.0;0;10472;10472;0.0;0.0;0;0
IT;Solar;0.0;46057.0;0;30500;50900;0.0;0.0;0;0
IT;curtailment;3000.0;0.0;0;0;10000;0.0;0.0;0;0
IT;HydroReservoir;0.0;205346.0;2100;4454;4454;0.0;0.0;0;0
IT;Coal;0;0;0;0;0;0;0;0;0
IT;Biomass;23.75;311819.74;0;4800;5800;0.06;0.06;0;0
IT;OldNuke;0;0;0;0;0;0;0;0;0
IT;NewNuke;0;0;0;0;0;0;0;0;0
BE;CCG;53.73;111947.62;0;9700;11300;0.06;0.06;0;0
BE;WindOnShore;0.0;106542.0;0;2800;4600;0.0;0.0;0;0
BE;WindOffShore;0.0;184396.0;0;2300;4300;0.0;0.0;0;0
BE;HydroRiver;0.0;205346.0;0;200;200;0.0;0.0;0;0
BE;Solar;0.0;46057.0;0;7800;11000;0.0;0.0;0;0
BE;Biomass;23.75;311819.74;0;400;400;0.06;0.06;0;0
BE;OldNuke;0;0;0;0;0;0;0;0;0
BE;NewNuke;0;0;0;0;0;0;0;0;0
BE;HydroReservoir;0;0;0;0;0;0;0;0;0
BE;Coal;0;0;0;0;0;0;0;0;0
BE;curtailment;3000.0;0.0;0;0;10000;0.0;0.0;0;0
ES;CCG;53.73;111947.62;0;29000;29000;0.06;0.06;0;0
ES;Coal;39.5;195353.62;0;0;2165;0.06;0.06;0;0
ES;WindOnShore;0.0;106542.0;0;36350;38030;0.0;0.0;0;0
ES;WindOffShore;0.0;184396.0;0;1650;11970;0.0;0.0;0;0
ES;HydroRiver;0.0;205346.0;0;1000;1000;0.0;0.0;0;0
ES;Solar;0.0;46057.0;0;21000;47000;0.0;0.0;0;0
ES;curtailment;3000.0;0.0;0;0;20000;0.0;0.0;0;0
ES;HydroReservoir;0.0;205346.0;2100;16000;16000;0.0;0.0;0;0
ES;Biomass;23.75;311819.74;0;613;1677;0.06;0.06;0;0
ES;OldNuke;10.0;289998.45;0;3181;7399;0.04;0.04;0;0
ES;NewNuke;0;0;0;0;0;0;0;0;0
