TECHNOLOGIES;energyCost;capacityCost;EnergyNbhourCap;minCapacity;maxCapacity
TAC;60,02;86,83;0,0;3600,0;400000,0
Coal;40,04;103,5;0,0;1800,0;200000,0
CCG;50,02;96,83;0,0;10800,0;1200000,0
OldNuke;7,0;245,06;0,0;56700,0;6300000,0
NukeCarrene;7,0;321,51;0,0;0,0;0,0
NewNuke;7,0;361,73;0,0;0,0;0,0
WindOnShore;0,0;103,75;0,0;13410,0;1490000,0
WindOffShore;0,0;228,17;0,0;0,0;0,0
HydroLake;0,0;39,18;3638,1;11250,0;1250000,0
HydroRiver;0,0;39,18;0,0;6750,0;750000,0
Solar;0,0;63,25;0,0;8640,0;960000,0
ResidentialRoofTopSolar;0,0;72,25;0,0;0,0;0,0
IndusRoofTopSolar;0,0;71,25;0,0;0,0;0,0
