AREAS,TECHNOLOGIES,energyCost,capacityCost,EnergyNbhourCap,minCapacity,maxCapacity,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
FR,TAC,60.02,86830.0,0,3600.0,400000,0.0,0.0,0,0
FR,Coal,40.04,103500.0,0,1800.0,200000,0.06,0.06,0,0
FR,CCG,50.02,96830.0,0,10800.0,1200000,0.06,0.06,0,0
FR,OldNuke,7.0,245060.0,0,56700.0,6300000,0.04,0.04,0,0
FR,NukeCarrene,7.0,321510.0,0,0.0,0,0.0,0.0,0,0
FR,NewNuke,7.0,361730.0,0,0.0,0,0.0,0.0,0,0
FR,WindOnShore,0.0,103750.0,0,13410.0,1490000,0.0,0.0,0,0
FR,WindOffShore,0.0,228170.0,0,0.0,0,0.0,0.0,0,0
FR,HydroLake,0.0,39180.0,2100,6300.0,700000,0.0,0.0,0,0
FR,HydroRiver,0.0,39180.0,0,9000.0,1000000,0.0,0.0,0,0
FR,Solar,0.0,63250.0,0,8640.0,960000,0.0,0.0,0,0
FR,ResidentialRoofTopSolar,0.0,72250.0,0,0.0,0,0.0,0.0,0,0
FR,IndusRoofTopSolar,0.0,71250.0,0,0.0,0,0.0,0.0,0,0
FR,curtailment,3000.0,0.0,0,9000.0,1000000,0.0,0.0,0,0
DE,TAC,60.02,86830.0,0,2700.0,300000,0.0,0.0,0,0
DE,Coal,40.04,103500.0,0,27000.0,3000000,0.05,0.05,0,0
DE,Lignite,50.02,96830.0,0,20700.0,2300000,0.05,0.05,0,0
DE,OldNuke,7.0,245060.0,0,7290.0,810000,0.04,0.04,0,0
DE,CCG,50.02,96830.0,0,25200.0,2800000,0.06,0.06,0,0
DE,Biomass,40.04,103500.0,0,8640.0,960000,0.0,0.0,0,0
DE,WindOnShore,0.0,103750.0,0,47790.0,5310000,0.0,0.0,0,0
DE,WindOffShore,0.0,228170.0,0,6750.0,750000,0.0,0.0,0,0
DE,HydroLake,0.0,39180.0,2100,0.0,0,0.0,0.0,0,0
DE,HydroRiver,0.0,39180.0,0,13140.0,1460000,0.0,0.0,0,0
DE,Solar,0.0,63250.0,0,44100.0,4900000,0.0,0.0,0,0
DE,ResidentialRoofTopSolar,0.0,72250.0,0,0.0,0,0.0,0.0,0,0
DE,IndusRoofTopSolar,0.0,71250.0,0,0.0,0,0.0,0.0,0,0
DE,curtailment,3000.0,0.0,0,9000.0,1000000,0.0,0.0,0,0
