Annee;EPR +;SMR NUWARD +;EPR -;SMR NUWARD -;EPR 0;SMR NUWARD 0;EPR +-;SMR NUWARD +-
2035;1;0;0;0;0;0;1;0
2036;2;1;0;0;0;0;2;1
2037;2;1;1;0;0;0;2;1
2038;2;1;2;0;0;0;2;1
2039;3;2;2;0;0;0;3;2
2040;4;2;2;0;0;0;4;2
2041;4;2;2;0;0;0;4;2
2042;4;3;3;0;0;0;4;3
2043;5;3;4;0;0;0;5;3
2044;6;3;4;0;0;0;6;3
2045;8;4;4;0;0;0;8;4
2046;8;4;4;0;0;0;8;4
2047;10;4;5;0;0;0;10;4
2048;10;5;6;0;0;0;10;5
2049;12;5;6;0;0;0;12;5
2050;14;5;6;0;0;0;14;5
2051;14;6;6;0;0;0;14;6
2052;16;6;7;0;0;0;14;6
2053;16;6;8;0;0;0;16;7
2054;18;7;8;0;0;0;16;7
2055;20;7;8;0;0;0;16;8
2056;20;7;8;0;0;0;18;9
2057;22;8;9;0;0;0;18;10
2058;22;8;10;0;0;0;18;11
2059;24;8;10;0;0;0;20;12
2060;26;9;10;0;0;0;20;13
