Nom du reacteur;Puissance nette (MWe);Arret definitif
Fessenheim-1;880;2020
Fessenheim-2;880;2020
Bugey-2;910;2029
Bugey-3;910;2029
Bugey-4;880;2039
Bugey-5;880;2040
Tricastin-1;915;2030
Tricastin-2;915;2030
Tricastin-3;915;2035
Tricastin-4;915;2035
Dampierre-1;890;2039
Dampierre-2;890;2040
Dampierre-3;890;2040
Dampierre-4;890;2040
Gravelines-1;910;2036
Gravelines-2;910;2036
Gravelines-3;910;2041
Gravelines-4;910;2041
Gravelines-5;910;2045
Gravelines-6;910;2045
Blayais-1;910;2031
Blayais-2;910;2033
Blayais-3;910;2038
Blayais-4;910;2038
St-Laurent-B1;915;2042
St-Laurent-B2;915;2042
Cruas-1;915;2034
Cruas-2;915;2035
Cruas-3;915;2042
Cruas-4;915;2043
Chinon-B1;905;2034
Chinon-B2;905;2034
Chinon-B3;905;2043
Chinon-B4;905;2044
Paluel-1;1300;2044
Paluel-2;1300;2044
Paluel-3;1300;2046
Paluel-4;1300;2046
Flamanville-1;1330;2046
Flamanville-2;1330;2047
Flamanville-3;1650;2083
St-Alban-1;1335;2037
St-Alban-2;1335;2038
Cattenom-1;1300;2047
Cattenom-2;1300;2048
Cattenom-3;1300;2051
Cattenom-4;1300;2052
Belleville-1;1310;2048
Belleville-2;1310;2049
Nogent-1;1310;2048
Nogent-2;1310;2049
Penly-1;1330;2050
Penly-2;1330;2052
Golfech-1;1310;2051
Golfech-2;1310;2053
Chooz-B1;1500;2056
Chooz-B2;1500;2057
Civaux-1;1495;2058
Civaux-2;1495;2059
