AREAS;STOCK_TECHNO;CAPEX_power_in_2030;CAPEX_power_out_2030;CAPEX_energy_2030;CAPEX_power_in_2040;CAPEX_power_out_2040;CAPEX_energy_2040;CAPEX_power_in_2050;CAPEX_power_out_2050;CAPEX_energy_2050;CAPEX_power_in_2060;CAPEX_power_out_2060;CAPEX_energy_2060;Lifetime_in;Lifetime_out;Lifetime_energy;OPEX_in_2030;OPEX_out_2030;OPEX_energy_2030;OPEX_in_2040;OPEX_out_2040;OPEX_energy_2040;OPEX_in_2050;OPEX_out_2050;OPEX_energy_2050;OPEX_in_2060;OPEX_out_2060;OPEX_energy_2060;p_max_in_2030;p_max_out_2030;p_max_in_2040;p_max_out_2040;p_max_in_2050;p_max_out_2050;p_max_in_2060;p_max_out_2060;p_max_out_eq_p_max_in;h_max;efficiency_in_2030;dissipation_2030;efficiency_out_2030;efficiency_in_2040;dissipation_2040;efficiency_out_2040;efficiency_in_2050;dissipation_2050;efficiency_out_2050;efficiency_in_2060;dissipation_2060;efficiency_out_2060
FR;Battery;170538,5049;0;225282,5768;156868,054;0;172728,3345;173268,5735;0;141662,1695;173268,5735;0;141662,1695;15;15;15;5000;0;7500;5000;0;7500;5000;0;7500;5000;0;7500;100000;100000;100000;100000;100000;100000;100000;100000;yes;4;0,95;0;0,95;0,95;0;0,95;0,95;0;0,95;0,95;0;0,95
FR;HydroStorage;1325000;0;0;1325000;0;0;1325000;0;0;1325000;0;0;75;75;75;42748,55664;0;0;42748,55664;0;0;42748,55664;0;0;42748,55664;0;0;5049;5049;15049;15049;15049;15049;15049;15049;yes;20;0,9;0;0,9;0,9;0;0,9;0,9;0;0,9;0,9;0;0,9
FR;PowertoH2toPower;1350000;1100000;0;1080000;1100000;0;800000;1100000;0;800000;1100000;0;15;30;30;54000;44000;15;43200;44000;15;32000;44000;15;32000;44000;15;100000;100000;100000;100000;100000;100000;100000;100000;no;0;0,65;1,20274E-05;0,5;0,7;1,20274E-05;0,58;0,7;1,20274E-05;0,58;0,7;1,20274E-05;0,58
BE;Battery;173268,5735;0;141662,1695;0;0;0;0;0;0;0;0;0;15;15;15;5000;0;7500;5000;0;7500;5000;0;7500;5000;0;7500;100000;100000;100000;100000;100000;100000;100000;100000;yes;4;0,95;0;0,95;0,95;0;0,95;0,95;0;0,95;0,95;0;0,95
BE;HydroStorage;1325000;0;0;1325000;0;0;1325000;0;0;1325000;0;0;75;75;75;42748,55664;0;0;42748,55664;0;0;42748,55664;0;0;42748,55664;0;0;1308;1308;1308;1308;1308;1308;1308;1308;yes;10;0,9;0;0,9;0,9;0;0,9;0,9;0;0,9;0,9;0;0,9
BE;PowertoH2toPower;1350000;1100000;0;1080000;1100000;0;800000;1100000;0;800000;1100000;0;15;30;30;54000;44000;15;43200;44000;15;32000;44000;15;32000;44000;15;100000;100000;100000;100000;100000;100000;100000;100000;no;0;0,65;1,20274E-05;0,5;0,7;1,20274E-05;0,58;0,7;1,20274E-05;0,58;0,7;1,20274E-05;0,58
CH;Battery;0;0;0;0;0;0;0;0;0;0;0;0;15;15;15;5000;0;7500;5000;0;7500;5000;0;7500;5000;0;7500;100000;100000;100000;100000;100000;100000;100000;100000;yes;4;0,95;0;0,95;0,95;0;0,95;0,95;0;0,95;0,95;0;0,95
CH;HydroStorage;1325000;0;0;1325000;0;0;1325000;0;0;1325000;0;0;75;75;75;42748,55664;0;0;42748,55664;0;0;42748,55664;0;0;42748,55664;0;0;10000;10000;10000;10000;10000;10000;10000;10000;yes;20;0,9;0;0,9;0,9;0;0,9;0,9;0;0,9;0,9;0;0,9
CH;PowertoH2toPower;1350000;1100000;0;1080000;1100000;0;800000;1100000;0;800000;1100000;0;15;30;30;54000;44000;15;43200;44000;15;32000;44000;15;32000;44000;15;100000;100000;100000;100000;100000;100000;100000;100000;no;0;0,65;1,20274E-05;0,5;0,7;1,20274E-05;0,58;0,7;1,20274E-05;0,58;0,7;1,20274E-05;0,58
DE;Battery;0;0;0;0;0;0;0;0;0;0;0;0;15;15;15;5000;0;7500;5000;0;7500;5000;0;7500;5000;0;7500;100000;100000;100000;100000;100000;100000;100000;100000;yes;4;0,95;0;0,95;0,95;0;0,95;0,95;0;0,95;0,95;0;0,95
