AREAS;STOCK_TECHNO;storageCost_power_in;storageCost_power_out;storageCost_energy;p_min_in;p_min_out;p_max_in;p_max_out;efficiency_in;dissipation;efficiency_out;p_max_out_eq_p_max_in;h_max
FR;Battery;19984,58285;0;19751,20327;0;0;100000;100000;0,95;0;0,95;yes;4
FR;HydroStorage;96549,92877;0;0;5049;5049;10899;10899;0,9;0;0,9;yes;20
FR;PowertoH2toPower;101185,4618;105166,451;15;0;0;100000;100000;0,7;1,20E-05;0,58;no;0
BE;Battery;19984,58285;0;19751,20327;0;0;100000;100000;0,95;0;0,95;yes;4
BE;HydroStorage;96549,92877;0;0;1308;1308;1308;1308;0,9;0;0,9;yes;4
BE;PowertoH2toPower;101185,4618;105166,451;15;0;0;100000;100000;0,7;1,20E-05;0,58;no;0
CH;Battery;19984,58285;0;19751,20327;0;0;100000;100000;0,95;0;0,95;yes;4
CH;HydroStorage;96549,92877;0;0;6681;6681;9181;9181;0,9;0;0,9;yes;65
CH;PowertoH2toPower;101185,4618;105166,451;15;0;0;100000;100000;0,7;1,20E-05;0,58;no;0
DE;Battery;19984,58285;0;19751,20327;0;0;100000;100000;0,95;0;0,95;yes;4
DE;HydroStorage;96549,92877;0;0;6200;6200;7400;7400;0,9;0;0,9;yes;6
DE;PowertoH2toPower;101185,4618;105166,451;15;0;0;200000;200000;0,7;1,20E-05;0,58;no;0
ES;Battery;19984,58285;0;19751,20327;0;0;100000;100000;0,95;0;0,95;yes;4
ES;HydroStorage;96549,92877;0;0;6000;6000;16000;16000;0,9;0;0,9;yes;19
ES;PowertoH2toPower;101185,4618;105166,451;15;0;0;100000;100000;0,7;1,20E-05;0,58;no;0
GB;Battery;19984,58285;0;19751,20327;0;0;100000;100000;0,95;0;0,95;yes;4
GB;HydroStorage;96549,92877;0;0;4309;4309;7809;7809;0,9;0;0,9;yes;13
GB;PowertoH2toPower;101185,4618;105166,451;15;0;0;100000;100000;0,7;1,20E-05;0,58;no;0
IT;Battery;19984,58285;0;19751,20327;0;0;100000;100000;0,95;0;0,95;yes;4
IT;HydroStorage;96549,92877;0;0;7685;7685;19685;19685;0,9;0;0,9;yes;13
IT;PowertoH2toPower;101185,4618;105166,451;15;0;0;100000;100000;0,7;1,20E-05;0,58;no;0
