AREAS;TECHNOLOGIES;CAPEX_2030;CAPEX_2040;CAPEX_2050;CAPEX_2060;Decommissioning_2030;Decommissioning_2040;Decommissioning_2050;Decommissioning_2060;Lifetime_2030;Lifetime_2040;Lifetime_2050;Lifetime_2060;OM_2030;OM_2040;OM_2050;OM_2060;CO2_emissions;energyCost_2030;energyCost_2040;energyCost_2050;energyCost_2060;EnergyNbhourCap;minCapacity_2030;maxCapacity_2030;minCapacity_2040;maxCapacity_2040;minCapacity_2050;maxCapacity_2050;minCapacity_2060;maxCapacity_2060;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
DE;CCG;830000;830000;830000;830000;0;0;0;0;30;30;30;30;36000;36000;36000;36000;434;38,64447087;38,64447087;38,64447087;38,64447087;0;28617;36250;0;36250;0;0;0;0;0,5;0,5;0;0
DE;Coal;1600000;1600000;1600000;1600000;0;0;0;0;40;40;40;40;50000;50000;50000;50000;1023;16,59333752;15,3362665;14,07919547;14,07919547;0;0;17000;0;0;0;0;0;0;0,06;0,06;0;0
DE;WindOnShore;1200000;1050000;900000;900000;0;0;0;0;25;30;30;30;35000;30000;25000;25000;0;0;0;0;0;0;63666;78000;73666;104000;83666;130000;83666;130000;0;0;0;0
DE;WindOffShore;2036734,694;1870408,163;1704081,633;1704081,633;0;0;0;0;25;30;40;40;72816,32653;55755,10204;45428,57143;45428,57143;0;0;0;0;0;0;31096;37315;54418;65302;77740;93288;77740;93288;0;0;0;0
DE;HydroRiver;0;0;0;0;0;0;0;0;75;75;75;75;90418,16522;90418,16522;90418,16522;90418,16522;0;0;0;0;0;0;3800;3800;3800;3800;3800;3800;3800;3800;0;0;0;0
DE;Solar;945000;822000;742000;742000;0;0;0;0;25;30;30;30;23000;20000;18500;18500;0;0;0;0;0;0;98538;161100;148538;280500;198538;400000;198538;400000;0;0;0;0
DE;curtailment;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0
DE;HydroReservoir;0;0;0;0;0;0;0;0;75;75;75;75;70577,84757;70577,84757;70577,84757;70577,84757;0;0;0;0;0;1066;1400;1400;1400;1400;1400;1400;1400;1400;0;0;0;0
DE;Biomass;3000000;3000000;3000000;3000000;0;0;0;0;30;30;30;30;75000;75000;75000;75000;35;35;35;35;35;0;0;8590;0;8590;0;8590;0;8590;0,06;0,06;0;0
DE;OldNuke;650000;650000;650000;650000;320000;320000;320000;320000;10;10;10;10;115000;115000;115000;115000;0;10;10;10;10;0;0;0;0;0;0;0;0;0;0,04;0,04;0;0
DE;NewNuke;11575757,58;5000000;4500000;4500000;200000;200000;200000;200000;60;60;60;60;115000;115000;115000;115000;0;10;10;10;10;0;0;0;0;0;0;0;0;0;0,04;0,04;0;0
GB;CCG;830000;830000;830000;830000;0;0;0;0;30;30;30;30;36000;36000;36000;36000;434;38,64447087;38,64447087;38,64447087;38,64447087;0;27000;45500;0;45500;0;0;0;0;0,5;0,5;0;0
GB;WindOnShore;1200000;1050000;900000;900000;0;0;0;0;25;30;30;30;35000;30000;25000;25000;0;0;0;0;0;0;17437;21937;22437;31937;27437;41937;27437;41937;0;0;0;0
GB;WindOffShore;2036734,694;1870408,163;1704081,633;1704081,633;0;0;0;0;25;30;40;40;72816,32653;55755,10204;45428,57143;45428,57143;0;0;0;0;0;0;35000;40000;60400;70900;85800;101800;85800;101800;0;0;0;0
GB;HydroRiver;0;0;0;0;0;0;0;0;75;75;75;75;90418,16522;90418,16522;90418,16522;90418,16522;0;0;0;0;0;0;2000;2000;2000;2000;2000;2000;2000;2000;0;0;0;0
GB;OldNuke;650000;650000;650000;650000;320000;320000;320000;320000;10;10;10;10;115000;115000;115000;115000;0;10;10;10;10;0;2428;2428;1188;1188;1188;1188;0;0;0,04;0,04;0;0
GB;NewNuke;11575757,58;5000000;4500000;4500000;200000;200000;200000;200000;60;60;60;60;115000;115000;115000;115000;0;10;10;10;10;0;3260;3260;11090;11090;27430;27430;27430;27430;0,04;0,04;0;0
GB;Solar;945000;822000;742000;742000;0;0;0;0;25;30;30;30;23000;20000;18500;18500;0;0;0;0;0;0;22378;40000;32400;69600;42400;99200;42400;99200;0;0;0;0
GB;curtailment;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0
GB;Biomass;3000000;3000000;3000000;3000000;0;0;0;0;30;30;30;30;75000;75000;75000;75000;35;35;35;35;35;0;0;4528;0;4528;0;4528;0;4528;0,06;0,06;0;0
GB;Coal;1600000;1600000;1600000;1600000;0;0;0;0;40;40;40;40;50000;50000;50000;50000;1023;16,59333752;15,3362665;14,07919547;14,07919547;0;0;0;0;0;0;0;0;0;0,06;0,06;0;0
GB;HydroReservoir;0;0;0;0;0;0;0;0;75;75;75;75;70577,84757;70577,84757;70577,84757;70577,84757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CH;OldNuke;650000;650000;650000;650000;320000;320000;320000;320000;10;10;10;10;115000;115000;115000;115000;0;10;10;10;10;0;2500;2500;1155;1155;0;0;0;0;0,04;0,04;0;0
CH;Solar;945000;822000;742000;742000;0;0;0;0;25;30;30;30;23000;20000;18500;18500;0;0;0;0;0;0;8373;14500;14373;27200;20373;40000;20373;40000;0;0;0;0
CH;HydroRiver;0;0;0;0;0;0;0;0;75;75;75;75;90418,16522;90418,16522;90418,16522;90418,16522;0;0;0;0;0;0;605;605;605;605;605;605;605;605;0;0;0;0
CH;HydroReservoir;0;0;0;0;0;0;0;0;75;75;75;75;70577,84757;70577,84757;70577,84757;70577,84757;0;0;0;0;0;2189;5588;5588;5588;5588;5588;5588;5588;5588;0;0;0;0
CH;WindOnShore;1200000;1050000;900000;900000;0;0;0;0;25;30;30;30;35000;30000;25000;25000;0;0;0;0;0;0;75;700;75;1400;75;2100;75;2100;0;0;0;0
CH;CCG;830000;830000;830000;830000;0;0;0;0;30;30;30;30;36000;36000;36000;36000;434;38,64447087;38,64447087;38,64447087;38,64447087;0;0;1250;0;1250;0;0;0;0;0,5;0,5;0;0
CH;curtailment;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0
CH;Coal;1600000;1600000;1600000;1600000;0;0;0;0;40;40;40;40;50000;50000;50000;50000;1023;16,59333752;15,3362665;14,07919547;14,07919547;0;0;0;0;0;0;0;0;0;0,06;0,06;0;0
CH;WindOffShore;2036734,694;1870408,163;1704081,633;1704081,633;0;0;0;0;25;30;40;40;72816,32653;55755,10204;45428,57143;45428,57143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CH;Coal;1600000;1600000;1600000;1600000;0;0;0;0;40;40;40;40;50000;50000;50000;50000;1023;16,59333752;15,3362665;14,07919547;14,07919547;0;0;0;0;0;0;0;0;0;0,06;0,06;0;0
