AREAS;TECHNOLOGIES;energyCost;capacityCost;minCapacity;maxCapacity;EnergyNbhourCap;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
DE;CCG;125,44447087;82152,86757782596;0;0;0;0,5;0,5;0;0
DE;Coal;218,67919547;127728,44511449587;0;0;0;0,06;0,06;0;0
DE;WindOnShore;0,0;75045,27809643777;83666;130000;0;0,0;0,0;0;0
DE;WindOffShore;0,0;128213,33123078811;77740;116610;0;0,0;0,0;0;0
DE;HydroRiver;0,0;90418,16522;3800;3800;0;0,0;0,0;0;0
DE;Solar;0,0;59759,55149728537;198538;400000;0;0,0;0,0;0;0
DE;curtailment;3000,0;0,0;0;0;0;0,0;0,0;0;0
DE;HydroReservoir;0,0;70577,84757;1400;1400;1066;0,0;0,0;0;0
DE;Biomass;42,0;241817,5936547926;0;8590;0;0,06;0,06;0;0
DE;OldNuke;10,0;217684,8230771467;0;0;0;0,04;0,04;0;0
DE;NewNuke;10,0;307066,03084560717;0;0;0;0,04;0,04;0;0
GB;CCG;125,44447087;82152,86757782596;0;0;0;0,5;0,5;0;0
GB;WindOnShore;0,0;75045,27809643777;27437;41937;0;0,0;0,0;0;0
GB;WindOffShore;0,0;128213,33123078811;85800;101800;0;0,0;0,0;0;0
GB;HydroRiver;0,0;90418,16522;2000;2000;0;0,0;0,0;0;0
GB;OldNuke;10,0;217684,8230771467;0;0;0;0,04;0,04;0;0
GB;NewNuke;10,0;307066,03084560717;27430;27430;0;0,04;0,04;0;0
GB;Solar;0,0;59759,55149728537;42400;99200;0;0,0;0,0;0;0
GB;curtailment;3000,0;0,0;0;0;0;0,0;0,0;0;0
GB;Biomass;42,0;241817,5936547926;0;4528;0;0,06;0,06;0;0
GB;Coal;218,67919547;127728,44511449587;0;0;0;0,06;0,06;0;0
GB;HydroReservoir;0,0;70577,84757;0;0;0;0,0;0,0;0;0
CH;OldNuke;10,0;217684,8230771467;0;0;0;0,04;0,04;0;0
CH;Solar;0,0;59759,55149728537;20373;40000;0;0,0;0,0;0;0
CH;HydroRiver;0,0;90418,16522;605;605;0;0,0;0,0;0;0
CH;HydroReservoir;0,0;70577,84757;5588;5588;2189;0,0;0,0;0;0
CH;WindOnShore;0,0;75045,27809643777;75;2100;0;0,0;0,0;0;0
CH;CCG;125,44447087;82152,86757782596;0;0;0;0,5;0,5;0;0
CH;curtailment;3000,0;0,0;0;0;0;0,0;0,0;0;0
CH;Coal;218,67919547;127728,44511449587;0;0;0;0,06;0,06;0;0
CH;WindOffShore;0,0;128213,33123078811;0;0;0;0,0;0,0;0;0
CH;Coal;218,67919547;127728,44511449587;0;0;0;0,06;0,06;0;0
CH;NewNuke;10,0;307066,03084560717;0;0;0;0,04;0,04;0;0
IT;CCG;125,44447087;82152,86757782596;0;0;0;0,5;0,5;0;0
IT;WindOnShore;0,0;75045,27809643777;51400;125000;0;0,0;0,0;0;0
IT;WindOffShore;0,0;128213,33123078811;1000;25000;0;0,0;0,0;0;0
IT;HydroRiver;0,0;90418,16522;15890;15890;0;0,0;0,0;0;0
IT;Solar;0,0;59759,55149728537;156200;250000;0;0,0;0,0;0;0
IT;curtailment;3000,0;0,0;0;0;0;0,0;0,0;0;0
IT;HydroReservoir;0,0;70577,84757;6810;6810;905;0,0;0,0;0;0
IT;Coal;218,67919547;127728,44511449587;0;0;0;0,06;0,06;0;0
IT;Biomass;42,0;241817,5936547926;0;4107;0;0,06;0,06;0;0
IT;OldNuke;10,0;217684,8230771467;0;0;0;0,04;0,04;0;0
IT;NewNuke;10,0;307066,03084560717;0;0;0;0,04;0,04;0;0
IT;Geothermal;0,0;347339,89980968577;800;800;0;0,0;0,0;0;0
BE;CCG;125,44447087;82152,86757782596;0;0;0;0,5;0,5;0;0
BE;WindOnShore;0,0;75045,27809643777;8429;27000;0;0,0;0,0;0;0
BE;WindOffShore;0,0;128213,33123078811;22540;33810;0;0,0;0,0;0;0
BE;HydroRiver;0,0;90418,16522;200;200;0;0,0;0,0;0;0
BE;Solar;0,0;59759,55149728537;33788;50000;0;0,0;0,0;0;0
BE;Biomass;42,0;241817,5936547926;0;1042;0;0,06;0,06;0;0
BE;OldNuke;10,0;217684,8230771467;0;0;0;0,04;0,04;0;0
BE;NewNuke;10,0;307066,03084560717;0;0;0;0,04;0,04;0;0
BE;HydroReservoir;0,0;70577,84757;0;0;0;0,0;0,0;0;0
BE;Coal;218,67919547;127728,44511449587;0;0;0;0,06;0,06;0;0
BE;curtailment;3000,0;0,0;0;0;0;0,0;0,0;0;0
ES;CCG;125,44447087;82152,86757782596;0;0;0;0,5;0,5;0;0
ES;Coal;218,67919547;127728,44511449587;0;0;0;0,06;0,06;0;0
ES;WindOnShore;0,0;75045,27809643777;62535;71235;0;0,0;0,0;0;0
ES;WindOffShore;0,0;128213,33123078811;15000;40000;0;0,0;0,0;0;0
ES;HydroRiver;0,0;90418,16522;1155;1155;0;0,0;0,0;0;0
ES;Solar;0,0;59759,55149728537;117300;192100;0;0,0;0,0;0;0
ES;curtailment;3000,0;0,0;0;0;0;0,0;0,0;0;0
ES;HydroReservoir;0,0;70577,84757;19187;19187;936;0,0;0,0;0;0
ES;Biomass;42,0;241817,5936547926;0;1657;0;0,06;0,06;0;0
ES;OldNuke;10,0;217684,8230771467;0;0;0;0,04;0,04;0;0
ES;NewNuke;10,0;307066,03084560717;0;0;0;0,04;0,04;0;0
