Date;Solar;WindOnShore;WindOffShore
2019-01-01 00:00:00;0,0;0,0658;0
2019-01-01 01:00:00;0,0;0,08;0
2019-01-01 02:00:00;0,0;0,0807;0
2019-01-01 03:00:00;0,0;0,0694;0
2019-01-01 04:00:00;0,0;0,0472;0
2019-01-01 05:00:00;0,0;0,0208;0
2019-01-01 06:00:00;0,0;0,0065;0
2019-01-01 07:00:00;0,0;0,0034;0
2019-01-01 08:00:00;0,027;0,0044;0
2019-01-01 09:00:00;0,148;0,0056;0
2019-01-01 10:00:00;0,232;0,0093;0
2019-01-01 11:00:00;0,329;0,019;0
2019-01-01 12:00:00;0,4;0,0458;0
2019-01-01 13:00:00;0,361;0,0792;0
2019-01-01 14:00:00;0,295;0,104;0
2019-01-01 15:00:00;0,172;0,1151;0
2019-01-01 16:00:00;0,024;0,1226;0
2019-01-01 17:00:00;0,0;0,1312;0
2019-01-01 18:00:00;0,0;0,1493;0
2019-01-01 19:00:00;0,0;0,1564;0
2019-01-01 20:00:00;0,0;0,1584;0
2019-01-01 21:00:00;0,0;0,1755;0
2019-01-01 22:00:00;0,0;0,1668;0
2019-01-01 23:00:00;0,0;0,164;0
2019-01-02 00:00:00;0,0;0,1694;0
2019-01-02 01:00:00;0,0;0,2065;0
2019-01-02 02:00:00;0,0;0,2451;0
2019-01-02 03:00:00;0,0;0,2687;0
2019-01-02 04:00:00;0,0;0,2967;0
2019-01-02 05:00:00;0,0;0,323;0
2019-01-02 06:00:00;0,0;0,3096;0
2019-01-02 07:00:00;0,0;0,2823;0
2019-01-02 08:00:00;0,019;0,2728;0
2019-01-02 09:00:00;0,11;0,2829;0
2019-01-02 10:00:00;0,222;0,3326;0
2019-01-02 11:00:00;0,323;0,3928;0
2019-01-02 12:00:00;0,343;0,443;0
2019-01-02 13:00:00;0,309;0,4744;0
2019-01-02 14:00:00;0,209;0,4717;0
2019-01-02 15:00:00;0,092;0,4419;0
2019-01-02 16:00:00;0,009;0,4479;0
2019-01-02 17:00:00;0,0;0,4476;0
2019-01-02 18:00:00;0,0;0,4298;0
2019-01-02 19:00:00;0,0;0,3975;0
2019-01-02 20:00:00;0,0;0,3667;0
2019-01-02 21:00:00;0,0;0,3482;0
2019-01-02 22:00:00;0,0;0,3151;0
2019-01-02 23:00:00;0,0;0,2891;0
2019-01-03 00:00:00;0,0;0,2898;0
2019-01-03 01:00:00;0,0;0,2682;0
