TECHNOLOGIES;CAPEX_2030;CAPEX_2040;CAPEX_2050;CAPEX_2060;Decommissioning_2030;Decommissioning_2040;Decommissioning_2050;Decommissioning_2060;Lifetime_2030;Lifetime_2040;Lifetime_2050;Lifetime_2060;OM_2030;OM_2040;OM_2050;OM_2060;CO2_emissions;energyCost_2030;energyCost_2040;energyCost_2050;energyCost_2060;EnergyNbhourCap;minCapacity_nuclear_plus_plus_2030;maxCapacity_nuclear_plus_plus_2030;minCapacity_nuclear_plus_plus_2040;maxCapacity_nuclear_plus_plus_2040;minCapacity_nuclear_plus_plus_2050;maxCapacity_nuclear_plus_plus_2050;minCapacity_nuclear_plus_plus_2060;maxCapacity_nuclear_plus_plus_2060;minCapacity_nuclear_plus_2030;maxCapacity_nuclear_plus_2030;minCapacity_nuclear_plus_2040;maxCapacity_nuclear_plus_2040;minCapacity_nuclear_plus_2050;maxCapacity_nuclear_plus_2050;minCapacity_nuclear_plus_2060;maxCapacity_nuclear_plus_2060;minCapacity_nuclear_minus_2030;maxCapacity_nuclear_minus_2030;minCapacity_nuclear_minus_2040;maxCapacity_nuclear_minus_2040;minCapacity_nuclear_minus_2050;maxCapacity_nuclear_minus_2050;minCapacity_nuclear_minus_2060;maxCapacity_nuclear_minus_2060;minCapacity_100_enr_2030;maxCapacity_100_enr_2030;minCapacity_100_enr_2040;maxCapacity_100_enr_2040;minCapacity_100_enr_2050;maxCapacity_100_enr_2050;minCapacity_100_enr_2060;maxCapacity_100_enr_2060;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
CCG;830000;830000;830000;830000;0;0;0;0;30;30;30;30;36000;36000;36000;36000;434;38,64447087;38,64447087;38,64447087;38,64447087;0;0;12664;0;12664;0;0;0;0;0;12664;0;12664;0;0;0;0;0;12664;0;12664;0;0;0;0;0;12664;0;12664;0;0;0;0;0,5;0,5;0;0
TAC;450000;450000;450000;450000;0;0;0;0;30;30;30;30;26000;26000;26000;26000;599;53,36617406;53,36617406;53,36617406;53,36617406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OldNuke;650000;650000;650000;650000;320000;320000;320000;320000;10;10;10;10;115000;115000;115000;115000;0;10;10;10;10;0;61250;61250;59430;59430;42230;42230;13870;13870;59430;59430;42230;42230;13870;13870;0;0;59430;59430;42230;42230;13870;13870;0;0;59430;59430;42230;42230;13870;13870;0;0;0,04;0,04;0;0
NewNuke;11575757,58;5000000;4500000;4500000;200000;200000;200000;200000;60;60;60;60;115000;115000;115000;115000;0;10;10;10;10;0;1650;1650;9010;9010;26730;26730;48130;48130;1650;1650;9010;9010;26730;26730;48130;48130;1650;1650;4990;4990;11670;11670;18350;18350;1650;1650;1650;1650;1650;1650;0;0;0,04;0,04;0;0
WindOnShore;1200000;1050000;900000;900000;0;0;0;0;25;30;30;30;35000;30000;25000;25000;0;0;0;0;0;0;23400;23400;30200;30200;37000;37000;37000;37000;23400;23400;30200;30200;37000;37000;37000;37000;23400;23400;30200;30200;37000;37000;37000;37000;23400;35217;30200;55217;37000;75217;37000;75217;0;0;0;0
WindOffShore;2036734,694;1870408,163;1704081,633;1704081,633;0;0;0;0;25;30;40;40;72816,32653;55755,10204;45428,57143;45428,57143;0;0;0;0;0;0;8200;15200;24100;32100;40000;49000;40000;49000;8200;15200;24100;32100;40000;49000;40000;49000;8200;15200;24100;32100;40000;49000;40000;49000;8200;15200;24100;32100;40000;49000;40000;49000;0;0;0;0
HydroRiver;0;0;0;0;0;0;0;0;75;75;75;75;90418,16522;90418,16522;90418,16522;90418,16522;0;0;0;0;0;0;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;11030;0;0;0;0
NewHydroRiver;1800000;1800000;1800000;1800000;0;0;0;0;75;75;75;75;90418,16522;90418,16522;90418,16522;90418,16522;0;0;0;0;0;0;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;1200;0;0;0;0
Solar;945000;822000;742000;742000;0;0;0;0;25;30;30;30;23000;20000;18500;18500;0;0;0;0;0;0;40600;118200;70300;234100;100000;350000;100000;350000;40600;118200;70300;234100;100000;350000;100000;350000;40600;118200;70300;234100;100000;350000;100000;350000;40600;118200;70300;234100;100000;350000;100000;350000;0;0;0;0
curtailment;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;3000;3000;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
