TECHNOLOGIES;energyCost;capacityCost;EnergyNbhourCap;minCapacity;maxCapacity;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
CCG;90,72447087;82152,86758;0;0;12664;0,06;0,06;0;0
TAC;125,2461741;51022,63905;0;0;0;0;0;0;0
OldNuke;10;217684,8231;0;61080;63010;0,04;0,04;0;0
NewNuke;10;328801,7462;0;0;0;0,04;0,04;0;0
WindOnShore;0;108859,9571;0;23400;23400;0;0;0;0
WindOffShore;0;162634,9392;0;12500;25000;0;0;0;0
HydroRiver;0;90418,16522;0;11030;11030;0;0;0;0
NewHydroRiver;0;163506,8217;0;0;1200;0;0;0;0
Solar;0;81164,71619;0;40800;81600;0;0;0;0
curtailment;3000;0;0;0;30000;0;0;0;0
HydroReservoir;0;70577,84757;1636;8785;8785;0;0;0;0
Biomass;39,2;241817,5937;0;2031;3000;0,06;0,06;0;0
Coal;139,3533375;127728,4451;0;0;0;0,06;0,06;0;0
