TECHNOLOGIES;energyCost;capacityCost;minCapacity;maxCapacity;EnergyNbhourCap;RampConstraintPlus;RampConstraintMoins;RampConstraintPlus2;RampConstraintMoins2
CCG;112,4244709;82152,86758;0;12664;0;0,5;0,5;0;0
TAC;155,1961741;51022,63905;0;0;0;0;0;0;0
OldNuke;10;217684,8231;42230;42230;0;0,04;0,04;0;0
NewNuke;10;698808,1346;1650;1650;0;0,04;0,04;0;0
WindOnShore;0;88386,15778;30200;55217;0;0;0;0;0
WindOffShore;0;159760,765;24100;32100;0;0;0;0;0
HydroRiver;0;90418,16522;11030;11030;0;0;0;0;0
NewHydroRiver;0;163506,8217;0;1200;0;0;0;0;0
Solar;0;65708,02066;70300;234100;0;0;0;0;0
curtailment;3000;0;0;0;0;0;0;0;0
HydroReservoir;0;70577,84757;8785;8785;1636;0;0;0;0
Biomass;40,95;241817,5937;2031;3000;0;0,06;0,06;0;0
Coal;189,2462665;127728,4451;0;0;0;0,06;0,06;0;0
