Date;WindOnShore;WindOffShore;Solar
01/01/2019 00:00;0,1011;0,2796;0
01/01/2019 01:00;0,1029;0,2775;0
01/01/2019 02:00;0,1053;0,2864;0
01/01/2019 03:00;0,1083;0,2871;0
01/01/2019 04:00;0,1127;0,2852;0
01/01/2019 05:00;0,1194;0,2829;0
01/01/2019 06:00;0,127;0,2717;0
01/01/2019 07:00;0,1314;0,2563;0
01/01/2019 08:00;0,1337;0,2459;0
01/01/2019 09:00;0,1244;0,231;0,012211079
01/01/2019 10:00;0,106;0,2171;0,080103283
01/01/2019 11:00;0,1099;0,2029;0,145673097
01/01/2019 12:00;0,1288;0,1967;0,18779658
01/01/2019 13:00;0,1482;0,2018;0,202201376
01/01/2019 14:00;0,1561;0,2107;0,193772942
01/01/2019 15:00;0,1695;0,2322;0,146761826
01/01/2019 16:00;0,1913;0,2614;0,074356402
01/01/2019 17:00;0,2186;0,3151;0,010133783
01/01/2019 18:00;0,2339;0,3627;0,001098825
01/01/2019 19:00;0,2403;0,3865;0,00012209
01/01/2019 20:00;0,2439;0,3989;0
01/01/2019 21:00;0,2496;0,4023;0
01/01/2019 22:00;0,2598;0,4077;0
01/01/2019 23:00;0,269;0,4197;0
02/01/2019 00:00;0,2722;0,428;0
02/01/2019 01:00;0,2737;0,4316;0
02/01/2019 02:00;0,2826;0,4336;0
02/01/2019 03:00;0,2922;0,4316;0
02/01/2019 04:00;0,2971;0,4139;0
02/01/2019 05:00;0,302;0,4013;0
02/01/2019 06:00;0,3062;0,4024;0
02/01/2019 07:00;0,3173;0,4245;0
02/01/2019 08:00;0,3239;0,4759;0
02/01/2019 09:00;0,3026;0,5262;0,015379527
02/01/2019 10:00;0,2515;0,5289;0,107898932
02/01/2019 11:00;0,2414;0,5064;0,231173097
02/01/2019 12:00;0,2737;0,4805;0,33674523
02/01/2019 13:00;0,3008;0,4601;0,372622429
02/01/2019 14:00;0,3061;0,4549;0,342347759
02/01/2019 15:00;0,2882;0,4593;0,261668738
02/01/2019 16:00;0,3046;0,4823;0,160733081
02/01/2019 17:00;0,3453;0,5105;0,032463367
02/01/2019 18:00;0,3513;0,5214;0,001342447
02/01/2019 19:00;0,336;0,5125;0,000122038
02/01/2019 20:00;0,3135;0,4972;0
02/01/2019 21:00;0,2895;0,4853;0
02/01/2019 22:00;0,2634;0,4752;0
02/01/2019 23:00;0,2327;0,4643;0
03/01/2019 00:00;0,1987;0,4518;0
03/01/2019 01:00;0,1708;0,4447;0
03/01/2019 02:00;0,1486;0,4425;0
03/01/2019 03:00;0,1281;0,4347;0
03/01/2019 04:00;0,1177;0,4276;0
03/01/2019 05:00;0,1135;0,4255;0
03/01/2019 06:00;0,1132;0,4301;0
03/01/2019 07:00;0,1129;0,4332;0
03/01/2019 08:00;0,1146;0,4366;0
03/01/2019 09:00;0,1096;0,4345;0,020497467
03/01/2019 10:00;0,1026;0,4048;0,168979156
03/01/2019 11:00;0,102;0,3697;0,341612561
03/01/2019 12:00;0,1205;0,3599;0,458484876
03/01/2019 13:00;0,1438;0,3697;0,504714984
03/01/2019 14:00;0,158;0,3855;0,484210514
03/01/2019 15:00;0,1613;0,408;0,384043376
03/01/2019 16:00;0,1784;0,4568;0,212635308
03/01/2019 17:00;0,2145;0,5044;0,048186738
03/01/2019 18:00;0,2347;0,5209;0,002439792
03/01/2019 19:00;0,2384;0,5157;0,000121987
03/01/2019 20:00;0,2369;0,4976;0
03/01/2019 21:00;0,2296;0,48;0
03/01/2019 22:00;0,2085;0,4688;0
03/01/2019 23:00;0,1744;0,462;0
04/01/2019 00:00;0,153;0,4621;0
04/01/2019 01:00;0,1443;0,4595;0
04/01/2019 02:00;0,1279;0,4421;0
04/01/2019 03:00;0,1122;0,4015;0
04/01/2019 04:00;0,1075;0,3883;0
04/01/2019 05:00;0,1115;0,4351;0
04/01/2019 06:00;0,1123;0,4667;0
04/01/2019 07:00;0,1073;0,444;0
04/01/2019 08:00;0,1039;0,3924;0
04/01/2019 09:00;0,0983;0,359;0,017683877
04/01/2019 10:00;0,0953;0,3426;0,130370588
04/01/2019 11:00;0,0983;0,3163;0,269273384
04/01/2019 12:00;0,0986;0,2915;0,372805439
04/01/2019 13:00;0,1062;0,2829;0,436944272
04/01/2019 14:00;0,1156;0,2888;0,415230074
04/01/2019 15:00;0,1179;0,2956;0,317544874
04/01/2019 16:00;0,1339;0,2964;0,172061451
04/01/2019 17:00;0,1664;0,309;0,042191514
04/01/2019 18:00;0,1822;0,3401;0,001463264
04/01/2019 19:00;0,1861;0,3544;0,000121937
04/01/2019 20:00;0,1841;0,3472;0
04/01/2019 21:00;0,1815;0,3208;0
04/01/2019 22:00;0,1787;0,2982;0
04/01/2019 23:00;0,1763;0,2984;0
05/01/2019 00:00;0,1667;0,3028;0
05/01/2019 01:00;0,1554;0,3126;0
05/01/2019 02:00;0,149;0,3243;0
05/01/2019 03:00;0,1517;0,3324;0
05/01/2019 04:00;0,1556;0,3334;0
05/01/2019 05:00;0,1624;0,3319;0
05/01/2019 06:00;0,177;0,3324;0
05/01/2019 07:00;0,1877;0,33;0
05/01/2019 08:00;0,1964;0,3282;0
05/01/2019 09:00;0,1903;0,316;0,017066959
05/01/2019 10:00;0,1711;0,2972;0,124952346
05/01/2019 11:00;0,184;0,2798;0,26513817
05/01/2019 12:00;0,2004;0,2728;0,347294486
05/01/2019 13:00;0,2135;0,2828;0,368986353
05/01/2019 14:00;0,2193;0,3044;0,342772242
05/01/2019 15:00;0,2214;0,3247;0,281941111
05/01/2019 16:00;0,2398;0,3467;0,156509334
05/01/2019 17:00;0,2612;0,365;0,034372947
05/01/2019 18:00;0,2632;0,3722;0,00109699
05/01/2019 19:00;0,2574;0,3681;0,000121886
05/01/2019 20:00;0,2498;0,3643;0
05/01/2019 21:00;0,2405;0,3575;0
05/01/2019 22:00;0,2283;0,3526;0
05/01/2019 23:00;0,2195;0,3514;0
06/01/2019 00:00;0,214;0,3558;0
06/01/2019 01:00;0,2049;0,3635;0
06/01/2019 02:00;0,1911;0,3656;0
06/01/2019 03:00;0,1799;0,3624;0
06/01/2019 04:00;0,1751;0,3578;0
06/01/2019 05:00;0,1728;0,3523;0
06/01/2019 06:00;0,1679;0,3416;0
06/01/2019 07:00;0,1622;0,3302;0
06/01/2019 08:00;0,1579;0,3214;0
06/01/2019 09:00;0,1437;0,314;0,011698173
06/01/2019 10:00;0,1262;0,307;0,087491064
06/01/2019 11:00;0,1257;0,2995;0,170226868
06/01/2019 12:00;0,1353;0,3018;0,215551964
06/01/2019 13:00;0,1426;0,3094;0,228829593
06/01/2019 14:00;0,1414;0,3133;0,209939581
06/01/2019 15:00;0,1326;0,3153;0,153888032
06/01/2019 16:00;0,1403;0,3263;0,079805945
06/01/2019 17:00;0,1563;0,3379;0,011452868
06/01/2019 18:00;0,161;0,3472;0,000487348
06/01/2019 19:00;0,1589;0,3432;0
06/01/2019 20:00;0,1574;0,3328;0
06/01/2019 21:00;0,1523;0,32;0
06/01/2019 22:00;0,1436;0,3053;0
06/01/2019 23:00;0,1333;0,2971;0
07/01/2019 00:00;0,1259;0,2947;0
07/01/2019 01:00;0,1199;0,2935;0
07/01/2019 02:00;0,1128;0,2863;0
07/01/2019 03:00;0,1069;0,2795;0
07/01/2019 04:00;0,1016;0,2728;0
07/01/2019 05:00;0,0986;0,2727;0
07/01/2019 06:00;0,0991;0,2816;0
07/01/2019 07:00;0,1024;0,297;0
07/01/2019 08:00;0,107;0,3205;0
07/01/2019 09:00;0,1101;0,3436;0,012180513
07/01/2019 10:00;0,111;0,3527;0,076492293
07/01/2019 11:00;0,1098;0,3395;0,148840697
07/01/2019 12:00;0,118;0,348;0,19780122
07/01/2019 13:00;0,1347;0,3712;0,224593048
07/01/2019 14:00;0,1483;0,3809;0,212531484
07/01/2019 15:00;0,1631;0,3848;0,166003082
07/01/2019 16:00;0,2002;0,4051;0,08574038
07/01/2019 17:00;0,2475;0,4217;0,013762066
07/01/2019 18:00;0,2842;0,429;0,00060893
07/01/2019 19:00;0,301;0,4401;0
07/01/2019 20:00;0,3216;0,44;0
07/01/2019 21:00;0,3508;0,4397;0
07/01/2019 22:00;0,3851;0,4467;0
07/01/2019 23:00;0,4313;0,4509;0
08/01/2019 00:00;0,4596;0,4568;0
08/01/2019 01:00;0,472;0,4673;0
08/01/2019 02:00;0,487;0,4792;0
08/01/2019 03:00;0,4977;0,4956;0
08/01/2019 04:00;0,502;0,5249;0
08/01/2019 05:00;0,4696;0,5354;0
08/01/2019 06:00;0,4409;0,5454;0
08/01/2019 07:00;0,4177;0,5521;0
08/01/2019 08:00;0,3941;0,5661;0
08/01/2019 09:00;0,3603;0,5789;0,010470873
08/01/2019 10:00;0,3439;0,5989;0,053570978
08/01/2019 11:00;0,3711;0,6315;0,121628357
08/01/2019 12:00;0,412;0,6509;0,163020561
08/01/2019 13:00;0,4433;0,6473;0,180427388
08/01/2019 14:00;0,4712;0,6395;0,173363116
08/01/2019 15:00;0,4781;0,6177;0,126246087
08/01/2019 16:00;0,4759;0,5978;0,0726785
08/01/2019 17:00;0,4795;0,587;0,01509544
08/01/2019 18:00;0,476;0,5692;0,000730412
08/01/2019 19:00;0,4689;0,5485;0
08/01/2019 20:00;0,4498;0,537;0
08/01/2019 21:00;0,4244;0,5272;0
08/01/2019 22:00;0,4145;0,5212;0
08/01/2019 23:00;0,4133;0,5115;0
09/01/2019 00:00;0,4263;0,4954;0
09/01/2019 01:00;0,446;0,4913;0
09/01/2019 02:00;0,4567;0,4929;0
09/01/2019 03:00;0,4706;0,5054;0
09/01/2019 04:00;0,4746;0,5215;0
09/01/2019 05:00;0,4677;0,5362;0
09/01/2019 06:00;0,4538;0,5441;0
09/01/2019 07:00;0,4532;0,5412;0
09/01/2019 08:00;0,4517;0,544;0
09/01/2019 09:00;0,4428;0,5679;0,012292062
09/01/2019 10:00;0,4318;0,585;0,106975594
09/01/2019 11:00;0,4701;0,5841;0,224900414
09/01/2019 12:00;0,5402;0,5847;0,321402423
09/01/2019 13:00;0,5549;0,5791;0,349143331
09/01/2019 14:00;0,5279;0,5952;0,278068545
09/01/2019 15:00;0,4652;0,6076;0,209551737
09/01/2019 16:00;0,4487;0,6181;0,108546401
09/01/2019 17:00;0,4518;0,6373;0,020199988
09/01/2019 18:00;0,4354;0,65;0,000730107
09/01/2019 19:00;0,4298;0,661;0
09/01/2019 20:00;0,4181;0,6655;0
09/01/2019 21:00;0,3939;0,6413;0
09/01/2019 22:00;0,3663;0,6335;0
09/01/2019 23:00;0,3422;0,6217;0
10/01/2019 00:00;0,3292;0,6055;0
10/01/2019 01:00;0,308;0,5875;0
10/01/2019 02:00;0,2925;0,5795;0
10/01/2019 03:00;0,2718;0,5592;0
10/01/2019 04:00;0,2583;0,5373;0
10/01/2019 05:00;0,2422;0,5237;0
10/01/2019 06:00;0,2268;0,5013;0
10/01/2019 07:00;0,2082;0,4754;0
10/01/2019 08:00;0,1889;0,4666;0
10/01/2019 09:00;0,1695;0,4418;0,018004626
10/01/2019 10:00;0,1573;0,4031;0,133572539
10/01/2019 11:00;0,1572;0,3737;0,267140439
10/01/2019 12:00;0,1648;0,3575;0,36457468
10/01/2019 13:00;0,1723;0,3461;0,377219372
10/01/2019 14:00;0,1795;0,3437;0,353127645
10/01/2019 15:00;0,1757;0,3507;0,29096337
10/01/2019 16:00;0,1771;0,362;0,170901521
10/01/2019 17:00;0,1971;0,377;0,043910589
10/01/2019 18:00;0,2028;0,3862;0,001094705
10/01/2019 19:00;0,196;0,3868;0
10/01/2019 20:00;0,1834;0,3845;0
10/01/2019 21:00;0,162;0,3739;0
10/01/2019 22:00;0,1385;0,359;0
10/01/2019 23:00;0,1195;0,3458;0
11/01/2019 00:00;0,1065;0,332;0
11/01/2019 01:00;0,0995;0,3217;0
