Mois;heures;Branche Nom;Somme de Lave-Linge;Somme de Lave-vaisselle;Somme de Sèche-linge;Somme de Réfrigérateurs et combinés;Somme de Congélateurs;Somme de Télévisions;Somme de Lecteurs DVD;Somme de Magnétoscopes;Somme de Ordinateurs fixes, secondaires et portables;Somme de Décodeurs, TNT, Satellite et TV ADSL;Somme de Imprimantes;Somme de Boxs et modems;Somme de Téléphones fixes;Somme de Chaîne-Hifi;Somme de Consoles de jeux;Somme de Grille Pain;Somme de Bouilloires électriques;Somme de Cafetières filtres / Machine à expresso;Somme de Micro-ondes;Somme de Mini-four;Somme de Friteuses;Somme de Hottes;Somme de Cuisinières;Somme de Aspirateur;Somme de Fers à repasser / Centrales vapeures;Somme de Ordinateurs;Somme de Imprimantes / Photocopieurs / Scanners;Somme de Serveurs;Somme de Faxs;Somme de Traceurs;Somme de Cuisson;Somme de Electroménager;Somme de Froid Alimentaire;Somme de Process;Somme de Energie;Somme de Agriculture;Somme de Auxiliaire de Chauffage;Somme de Chauffage;Somme de Eclairage Public;Somme de Eclairage;Somme de Climatisation;Somme de ECS;Somme de Autres (Inconnu);Somme de Pertes
1;1;AUT Autres (dont Branche énergie, Transport et Agriculture);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00598604;0;0,001562517;0;0;0;0;0;0;0,001373054;0,000624513
1;1;IND Agroalimentaires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00474219;0;0;0;0,000345216;0;0,000131473;0;0;5,6727E-06;0,000365719
1;1;IND Chimie & matériaux plastiques ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,021942177;0;0;0;1,8234E-05;0;0,000405947;0;0;0,001618031;0,001678907
1;1;IND Composants électriques et électroniques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011663926;0;0;0;0,00027883;0;0,001126361;0;0;0,000894463;0,000977451
1;1;IND Construction Mécanique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000799739;0;0;0;2,75647E-05;0;9,32125E-05;0;0;2,28497E-05;6,60356E-05
1;1;IND Construction navale et aéronautique, armement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001705914;0;0;0;9,19566E-05;0;0,000168587;0;0;0,000312417;0,000159521
1;1;IND Équipement de transport ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000744657;0;0;0;2,08878E-05;0;8,64379E-05;0;0;2,03783E-05;6,10653E-05
1;1;IND Fonderie, travail des métaux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002930315;0;0;0;9,16377E-05;0;0,000129864;0;0;8,58779E-05;0,000226639
1;1;IND Minerai, métal ferreux/non ferreux ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001471772;0;0;0;6,70612E-06;0;3,68518E-05;0;0;3,16147E-05;0,000108286
1;1;IND Papier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002788667;0;0;0;0,000250845;0;5,75593E-05;0;0;5,21113E-05;0,000220443
