Date,areaConsumption
2014-01-01 00:00:00,60811
2014-01-01 01:00:00,58140
2014-01-01 02:00:00,54552
2014-01-01 03:00:00,52614
2014-01-01 04:00:00,52340
2014-01-01 05:00:00,52378
2014-01-01 06:00:00,52496
2014-01-01 07:00:00,51730
2014-01-01 08:00:00,53017
2014-01-01 09:00:00,54627
2014-01-01 10:00:00,56514
2014-01-01 11:00:00,59309
2014-01-01 12:00:00,57016
2014-01-01 13:00:00,55067
2014-01-01 14:00:00,54317
2014-01-01 15:00:00,55258
2014-01-01 16:00:00,59926
2014-01-01 17:00:00,62018
2014-01-01 18:00:00,62013
2014-01-01 19:00:00,59975
2014-01-01 20:00:00,57509
2014-01-01 21:00:00,60690
2014-01-01 22:00:00,59474
2014-01-01 23:00:00,54939
2014-01-02 00:00:00,54064
2014-01-02 01:00:00,51593
2014-01-02 02:00:00,49438
2014-01-02 03:00:00,49635
2014-01-02 04:00:00,52397
2014-01-02 05:00:00,56662
2014-01-02 06:00:00,60783
2014-01-02 07:00:00,62694
2014-01-02 08:00:00,64588
2014-01-02 09:00:00,65245
2014-01-02 10:00:00,66133
2014-01-02 11:00:00,66728
2014-01-02 12:00:00,64355
2014-01-02 13:00:00,62187
2014-01-02 14:00:00,60741
2014-01-02 15:00:00,61364
2014-01-02 16:00:00,66996
2014-01-02 17:00:00,69301
2014-01-02 18:00:00,67491
2014-01-02 19:00:00,63538
2014-01-02 20:00:00,60407
2014-01-02 21:00:00,63411
2014-01-02 22:00:00,62198
2014-01-02 23:00:00,57609
2014-01-03 00:00:00,56403
2014-01-03 01:00:00,53896
2014-01-03 02:00:00,51499
2014-01-03 03:00:00,51350
2014-01-03 04:00:00,53798
2014-01-03 05:00:00,57911
2014-01-03 06:00:00,61817
2014-01-03 07:00:00,63278
2014-01-03 08:00:00,64991
2014-01-03 09:00:00,65632
2014-01-03 10:00:00,66749
2014-01-03 11:00:00,67373
2014-01-03 12:00:00,65060
2014-01-03 13:00:00,63112
2014-01-03 14:00:00,61721
2014-01-03 15:00:00,62091
2014-01-03 16:00:00,67211
2014-01-03 17:00:00,69305
2014-01-03 18:00:00,67323
2014-01-03 19:00:00,63381
2014-01-03 20:00:00,60388
2014-01-03 21:00:00,63647
2014-01-03 22:00:00,62600
2014-01-03 23:00:00,57749
2014-01-04 00:00:00,56335
2014-01-04 01:00:00,53667
2014-01-04 02:00:00,51008
2014-01-04 03:00:00,50194
2014-01-04 04:00:00,51173
2014-01-04 05:00:00,52960
2014-01-04 06:00:00,55154
2014-01-04 07:00:00,57009
2014-01-04 08:00:00,59454
2014-01-04 09:00:00,60764
2014-01-04 10:00:00,62086
2014-01-04 11:00:00,63902
2014-01-04 12:00:00,61020
2014-01-04 13:00:00,59148
2014-01-04 14:00:00,58032
2014-01-04 15:00:00,58433
2014-01-04 16:00:00,63249
2014-01-04 17:00:00,65500
2014-01-04 18:00:00,64148
2014-01-04 19:00:00,61106
2014-01-04 20:00:00,58832
2014-01-04 21:00:00,62758
2014-01-04 22:00:00,62285
2014-01-04 23:00:00,58170
2014-01-05 00:00:00,57150
2014-01-05 01:00:00,54426
2014-01-05 02:00:00,51948
2014-01-05 03:00:00,50938
2014-01-05 04:00:00,51546
2014-01-05 05:00:00,52536
2014-01-05 06:00:00,54056
2014-01-05 07:00:00,55256
2014-01-05 08:00:00,57944
2014-01-05 09:00:00,59820
2014-01-05 10:00:00,61210
2014-01-05 11:00:00,63134
2014-01-05 12:00:00,59456
2014-01-05 13:00:00,57009
2014-01-05 14:00:00,55943
2014-01-05 15:00:00,56664
2014-01-05 16:00:00,62325
2014-01-05 17:00:00,65698
2014-01-05 18:00:00,65374
2014-01-05 19:00:00,62599
2014-01-05 20:00:00,59556
2014-01-05 21:00:00,62509
2014-01-05 22:00:00,61553
2014-01-05 23:00:00,57629
2014-01-06 00:00:00,56828
2014-01-06 01:00:00,54408
2014-01-06 02:00:00,52098
2014-01-06 03:00:00,52441
2014-01-06 04:00:00,56336
2014-01-06 05:00:00,63978
2014-01-06 06:00:00,69644
2014-01-06 07:00:00,69722
2014-01-06 08:00:00,69920
2014-01-06 09:00:00,69686
2014-01-06 10:00:00,70007
2014-01-06 11:00:00,69526
2014-01-06 12:00:00,67856
2014-01-06 13:00:00,66118
2014-01-06 14:00:00,64967
2014-01-06 15:00:00,65783
2014-01-06 16:00:00,70446
2014-01-06 17:00:00,73481
2014-01-06 18:00:00,70387
2014-01-06 19:00:00,65672
2014-01-06 20:00:00,61705
2014-01-06 21:00:00,64055
2014-01-06 22:00:00,63049
2014-01-06 23:00:00,58213
2014-01-07 00:00:00,57000
2014-01-07 01:00:00,54883
2014-01-07 02:00:00,52716
2014-01-07 03:00:00,52968
2014-01-07 04:00:00,56895
2014-01-07 05:00:00,64283
2014-01-07 06:00:00,70011
2014-01-07 07:00:00,69726
2014-01-07 08:00:00,69248
2014-01-07 09:00:00,68663
2014-01-07 10:00:00,69046
2014-01-07 11:00:00,68258
2014-01-07 12:00:00,66767
2014-01-07 13:00:00,64817
