TIMESTAMP,RESOURCES,areaConsumption
1,electricity,57820
2,electricity,57183
3,electricity,54320
4,electricity,50742
5,electricity,48982
6,electricity,48575
7,electricity,48678
8,electricity,48726
9,electricity,48260
10,electricity,50113
11,electricity,51966
12,electricity,54033
13,electricity,56930
14,electricity,54174
15,electricity,52273
16,electricity,51506
17,electricity,52657
18,electricity,58574
19,electricity,61016
20,electricity,61565
21,electricity,59933
22,electricity,57677
23,electricity,61399
24,electricity,60017
25,electricity,55929
26,electricity,55679
27,electricity,53572
28,electricity,51886
29,electricity,52411
30,electricity,55769
31,electricity,60741
32,electricity,65454
33,electricity,67643
34,electricity,69323
35,electricity,69782
36,electricity,70683
37,electricity,71005
38,electricity,68920
39,electricity,66691
40,electricity,65269
41,electricity,66181
42,electricity,71888
43,electricity,74471
44,electricity,72214
45,electricity,67975
46,electricity,64440
47,electricity,67393
48,electricity,66126
49,electricity,61306
50,electricity,60463
51,electricity,58156
52,electricity,55764
53,electricity,55892
54,electricity,58979
55,electricity,64087
56,electricity,68727
57,electricity,70216
58,electricity,71460
59,electricity,71839
60,electricity,72706
61,electricity,72548
62,electricity,70707
63,electricity,68732
64,electricity,67242
65,electricity,67792
66,electricity,72386
67,electricity,74569
68,electricity,71729
69,electricity,67375
70,electricity,63578
71,electricity,66295
72,electricity,64905
73,electricity,60162
74,electricity,59017
75,electricity,56763
76,electricity,54428
77,electricity,54459
78,electricity,57461
79,electricity,62306
80,electricity,67145
81,electricity,68744
82,electricity,70269
83,electricity,70581
84,electricity,71646
85,electricity,71824
86,electricity,69619
87,electricity,67703
88,electricity,65976
89,electricity,66229
90,electricity,70662
91,electricity,72426
92,electricity,69590
93,electricity,65594
94,electricity,62316
95,electricity,65162
96,electricity,64089
97,electricity,59080
98,electricity,57773
99,electricity,55075
100,electricity,52357
101,electricity,51168
102,electricity,52380
103,electricity,54452
104,electricity,56968
105,electricity,58773
106,electricity,61317
107,electricity,62585
108,electricity,63900
109,electricity,65800
110,electricity,63028
111,electricity,61162
112,electricity,59699
113,electricity,59950
114,electricity,65062
115,electricity,67332
116,electricity,65504
117,electricity,62272
118,electricity,59571
119,electricity,63534
120,electricity,62768
121,electricity,58146
122,electricity,57129
123,electricity,54446
124,electricity,51693
125,electricity,50385
126,electricity,50727
127,electricity,51903
128,electricity,53389
129,electricity,54870
130,electricity,57772
131,electricity,59988
132,electricity,62134
133,electricity,64338
134,electricity,60668
135,electricity,58098
136,electricity,56750
137,electricity,57426
138,electricity,62612
139,electricity,66201
140,electricity,65837
141,electricity,63208
142,electricity,60348
143,electricity,63271
144,electricity,62268
145,electricity,58118
146,electricity,57608
147,electricity,55566
148,electricity,53419
149,electricity,53972
150,electricity,58283
151,electricity,66288
152,electricity,72078
153,electricity,72492
154,electricity,73076
155,electricity,73394
156,electricity,74348
157,electricity,74322
158,electricity,73217
159,electricity,71323
160,electricity,70052
161,electricity,70845
162,electricity,75732
163,electricity,78770
164,electricity,75317
165,electricity,70530
166,electricity,66560
167,electricity,68939
168,electricity,67599
169,electricity,62912
170,electricity,62251
171,electricity,60094
172,electricity,58179
173,electricity,58639
174,electricity,62653
175,electricity,70824
176,electricity,76193
177,electricity,76407
178,electricity,76636
179,electricity,76940
180,electricity,78010
181,electricity,77767
182,electricity,76197
183,electricity,74270
184,electricity,73325
185,electricity,73780
186,electricity,78617
187,electricity,81341
188,electricity,77883
189,electricity,73216
190,electricity,69003
191,electricity,71352
192,electricity,69578
193,electricity,65283
194,electricity,64478
195,electricity,62067
196,electricity,60235
197,electricity,60491
198,electricity,64328
199,electricity,71693
200,electricity,77070
201,electricity,78394
202,electricity,78569
203,electricity,78623
204,electricity,79774
205,electricity,79277
206,electricity,77961
207,electricity,76107
208,electricity,74833
209,electricity,75386
210,electricity,79530
211,electricity,81975
212,electricity,78670
213,electricity,74026
214,electricity,69635
215,electricity,71890
216,electricity,70323
217,electricity,65891
218,electricity,64844
