"TIMESTAMP","areaConsumption"
1,57820
2,57183
3,54320
4,50742
5,48982
6,48575
7,48678
8,48726
9,48260
10,50113
11,51966
12,54033
13,56930
14,54174
15,52273
16,51506
17,52657
18,58574
19,61016
20,61565
21,59933
22,57677
23,61399
24,60017
25,55929
26,55679
27,53572
28,51886
29,52411
30,55769
31,60741
32,65454
33,67643
34,69323
35,69782
36,70683
37,71005
38,68920
39,66691
40,65269
41,66181
42,71888
43,74471
44,72214
45,67975
46,64440
47,67393
48,66126
49,61306
50,60463
51,58156
52,55764
53,55892
54,58979
55,64087
56,68727
57,70216
58,71460
59,71839
60,72706
61,72548
62,70707
63,68732
64,67242
65,67792
66,72386
67,74569
68,71729
69,67375
70,63578
71,66295
72,64905
73,60162
74,59017
75,56763
76,54428
77,54459
78,57461
79,62306
80,67145
81,68744
82,70269
83,70581
84,71646
85,71824
86,69619
87,67703
88,65976
89,66229
90,70662
91,72426
92,69590
93,65594
94,62316
95,65162
96,64089
97,59080
98,57773
99,55075
100,52357
101,51168
102,52380
103,54452
104,56968
105,58773
106,61317
107,62585
108,63900
109,65800
110,63028
111,61162
112,59699
113,59950
114,65062
115,67332
116,65504
117,62272
118,59571
119,63534
120,62768
121,58146
122,57129
123,54446
124,51693
125,50385
126,50727
127,51903
128,53389
129,54870
130,57772
131,59988
132,62134
133,64338
134,60668
135,58098
136,56750
137,57426
138,62612
139,66201
140,65837
141,63208
142,60348
143,63271
144,62268
145,58118
146,57608
147,55566
148,53419
149,53972
150,58283
151,66288
152,72078
153,72492
154,73076
155,73394
156,74348
157,74322
158,73217
159,71323
160,70052
161,70845
162,75732
163,78770
164,75317
165,70530
166,66560
167,68939
168,67599
169,62912
170,62251
171,60094
172,58179
173,58639
174,62653
175,70824
176,76193
177,76407
178,76636
179,76940
180,78010
181,77767
182,76197
183,74270
184,73325
185,73780
186,78617
187,81341
188,77883
189,73216
190,69003
191,71352
192,69578
193,65283
194,64478
195,62067
196,60235
197,60491
198,64328
199,71693
200,77070
201,78394
202,78569
203,78623
204,79774
205,79277
206,77961
207,76107
208,74833
209,75386
210,79530
211,81975
212,78670
213,74026
214,69635
215,71890
216,70323
217,65891
218,64844
219,62684
220,60280
221,60278
222,64109
223,71691
224,77197
225,77053
226,77040
227,77002
228,77636
229,77011
230,75330
231,73623
232,72236
233,72519
234,76711
235,79623
236,76317
237,71665
238,67537
239,69981
240,68471
241,63892
242,63200
243,60886
244,58942
245,59213
246,63287
247,70908
248,76942
249,76727
250,76382
251,75461
252,75168
253,74409
254,72327
255,70038
256,68639
257,68705
258,74460
259,77241
260,74487
261,70687
262,67595
263,70972
264,69818
265,64820
266,63873
267,61320
268,58635
269,58077
270,59455
271,61774
272,64543
273,66966
274,69434
275,69247
276,69791
277,70892
278,67659
279,65375
280,63828
281,64029
282,69108
283,72044
284,70364
285,67229
286,64810
287,68376
288,67886
289,63781
290,62796
291,60015
292,57201
293,55917
294,56480
295,57437
296,59106
297,60904
298,64530
299,66973
300,68757
301,70550
302,66881
303,64327
304,62756
305,63285
306,68314
307,72426
308,72404
309,69526
310,67095
311,70450
312,69375
313,65612
314,65398
315,63617
316,61587
317,62433
318,67017
319,75008
320,80701
321,81258
322,81634
323,81745
324,82460
325,82081
326,81168
327,79576
328,78657
329,79274
330,83931
331,87280
332,83776
333,79331
334,75119
335,77716
336,76116
337,71308
338,71049
339,68625
340,66585
341,66777
342,70740
343,78055
344,83001
345,83074
346,83661
347,83878
348,84349
349,83730
350,82117
351,80129
352,78860
353,79055
354,84223
355,87682
356,84396
357,79783
358,75582
359,78353
360,76338
361,71779
362,71719
363,69684
364,67681
365,68079
366,72208
367,78547
368,82790
369,84183
370,84970
371,84774
372,85223
373,84237
374,82272
375,80480
376,79456
377,79930
378,85338
379,89570
380,86280
381,82115
382,78202
383,81095
384,79913
385,75908
386,77465
387,75416
388,73154
389,73443
390,77696
391,84371
392,89150
393,89249
394,89636
395,88798
396,88629
397,87604
398,85496
399,83103
400,82118
401,82673
402,88340
403,92597
404,89561
405,84999
406,81142
407,83962
408,82420
409,78141
410,79868
411,77396
412,75176
