TIMESTAMP,TECHNOLOGIES,availabilityFactor
1,Thermal,1.0
2,Thermal,1.0
3,Thermal,1.0
4,Thermal,1.0
5,Thermal,1.0
6,Thermal,1.0
7,Thermal,1.0
8,Thermal,1.0
9,Thermal,1.0
10,Thermal,1.0
11,Thermal,1.0
12,Thermal,1.0
13,Thermal,1.0
14,Thermal,1.0
15,Thermal,1.0
16,Thermal,1.0
17,Thermal,1.0
18,Thermal,1.0
19,Thermal,1.0
20,Thermal,1.0
21,Thermal,1.0
22,Thermal,1.0
23,Thermal,1.0
24,Thermal,1.0
25,Thermal,1.0
26,Thermal,1.0
27,Thermal,1.0
28,Thermal,1.0
29,Thermal,1.0
30,Thermal,1.0
31,Thermal,1.0
32,Thermal,1.0
33,Thermal,1.0
34,Thermal,1.0
35,Thermal,1.0
36,Thermal,1.0
37,Thermal,1.0
38,Thermal,1.0
39,Thermal,1.0
40,Thermal,1.0
41,Thermal,1.0
42,Thermal,1.0
43,Thermal,1.0
44,Thermal,1.0
45,Thermal,1.0
46,Thermal,1.0
47,Thermal,1.0
48,Thermal,1.0
49,Thermal,1.0
50,Thermal,1.0
51,Thermal,1.0
52,Thermal,1.0
53,Thermal,1.0
54,Thermal,1.0
55,Thermal,1.0
56,Thermal,1.0
57,Thermal,1.0
58,Thermal,1.0
59,Thermal,1.0
60,Thermal,1.0
61,Thermal,1.0
62,Thermal,1.0
63,Thermal,1.0
64,Thermal,1.0
65,Thermal,1.0
66,Thermal,1.0
67,Thermal,1.0
68,Thermal,1.0
69,Thermal,1.0
70,Thermal,1.0
71,Thermal,1.0
72,Thermal,1.0
73,Thermal,1.0
74,Thermal,1.0
75,Thermal,1.0
76,Thermal,1.0
77,Thermal,1.0
78,Thermal,1.0
79,Thermal,1.0
80,Thermal,1.0
81,Thermal,1.0
82,Thermal,1.0
83,Thermal,1.0
84,Thermal,1.0
85,Thermal,1.0
86,Thermal,1.0
87,Thermal,1.0
88,Thermal,1.0
89,Thermal,1.0
90,Thermal,1.0
91,Thermal,1.0
92,Thermal,1.0
93,Thermal,1.0
94,Thermal,1.0
95,Thermal,1.0
96,Thermal,1.0
97,Thermal,1.0
98,Thermal,1.0
99,Thermal,1.0
100,Thermal,1.0
101,Thermal,1.0
102,Thermal,1.0
103,Thermal,1.0
104,Thermal,1.0
105,Thermal,1.0
106,Thermal,1.0
107,Thermal,1.0
108,Thermal,1.0
109,Thermal,1.0
110,Thermal,1.0
111,Thermal,1.0
112,Thermal,1.0
113,Thermal,1.0
114,Thermal,1.0
115,Thermal,1.0
116,Thermal,1.0
117,Thermal,1.0
118,Thermal,1.0
119,Thermal,1.0
120,Thermal,1.0
121,Thermal,1.0
122,Thermal,1.0
123,Thermal,1.0
124,Thermal,1.0
125,Thermal,1.0
126,Thermal,1.0
127,Thermal,1.0
128,Thermal,1.0
129,Thermal,1.0
130,Thermal,1.0
131,Thermal,1.0
132,Thermal,1.0
133,Thermal,1.0
134,Thermal,1.0
135,Thermal,1.0
136,Thermal,1.0
137,Thermal,1.0
138,Thermal,1.0
139,Thermal,1.0
140,Thermal,1.0
141,Thermal,1.0
142,Thermal,1.0
143,Thermal,1.0
144,Thermal,1.0
145,Thermal,1.0
146,Thermal,1.0
147,Thermal,1.0
148,Thermal,1.0
149,Thermal,1.0
150,Thermal,1.0
151,Thermal,1.0
152,Thermal,1.0
153,Thermal,1.0
154,Thermal,1.0
155,Thermal,1.0
156,Thermal,1.0
157,Thermal,1.0
158,Thermal,1.0
159,Thermal,1.0
160,Thermal,1.0
161,Thermal,1.0
162,Thermal,1.0
163,Thermal,1.0
164,Thermal,1.0
165,Thermal,1.0
166,Thermal,1.0
167,Thermal,1.0
168,Thermal,1.0
169,Thermal,1.0
170,Thermal,1.0
171,Thermal,1.0
172,Thermal,1.0
173,Thermal,1.0
174,Thermal,1.0
175,Thermal,1.0
176,Thermal,1.0
177,Thermal,1.0
178,Thermal,1.0
179,Thermal,1.0
180,Thermal,1.0
181,Thermal,1.0
182,Thermal,1.0
183,Thermal,1.0
184,Thermal,1.0
185,Thermal,1.0
186,Thermal,1.0
187,Thermal,1.0
188,Thermal,1.0
189,Thermal,1.0
190,Thermal,1.0
191,Thermal,1.0
192,Thermal,1.0
193,Thermal,1.0
194,Thermal,1.0
195,Thermal,1.0
196,Thermal,1.0
197,Thermal,1.0
198,Thermal,1.0
199,Thermal,1.0
200,Thermal,1.0
201,Thermal,1.0
202,Thermal,1.0
203,Thermal,1.0
204,Thermal,1.0
205,Thermal,1.0
206,Thermal,1.0
207,Thermal,1.0
208,Thermal,1.0
209,Thermal,1.0
210,Thermal,1.0
211,Thermal,1.0
212,Thermal,1.0
213,Thermal,1.0
214,Thermal,1.0
215,Thermal,1.0
216,Thermal,1.0
217,Thermal,1.0
218,Thermal,1.0
219,Thermal,1.0
220,Thermal,1.0
221,Thermal,1.0
222,Thermal,1.0
223,Thermal,1.0
224,Thermal,1.0
225,Thermal,1.0
226,Thermal,1.0
227,Thermal,1.0
228,Thermal,1.0
229,Thermal,1.0
230,Thermal,1.0
231,Thermal,1.0
232,Thermal,1.0
233,Thermal,1.0
234,Thermal,1.0
235,Thermal,1.0
236,Thermal,1.0
237,Thermal,1.0
238,Thermal,1.0
239,Thermal,1.0
240,Thermal,1.0
241,Thermal,1.0
242,Thermal,1.0
243,Thermal,1.0
244,Thermal,1.0
245,Thermal,1.0
246,Thermal,1.0
247,Thermal,1.0
248,Thermal,1.0
249,Thermal,1.0
250,Thermal,1.0
251,Thermal,1.0
252,Thermal,1.0
253,Thermal,1.0
254,Thermal,1.0
255,Thermal,1.0
256,Thermal,1.0
257,Thermal,1.0
258,Thermal,1.0
259,Thermal,1.0
260,Thermal,1.0
261,Thermal,1.0
262,Thermal,1.0
263,Thermal,1.0
264,Thermal,1.0
265,Thermal,1.0
266,Thermal,1.0
267,Thermal,1.0
268,Thermal,1.0
269,Thermal,1.0
270,Thermal,1.0
271,Thermal,1.0
272,Thermal,1.0
273,Thermal,1.0
274,Thermal,1.0
275,Thermal,1.0
276,Thermal,1.0
277,Thermal,1.0
278,Thermal,1.0
279,Thermal,1.0
280,Thermal,1.0
281,Thermal,1.0
282,Thermal,1.0
283,Thermal,1.0
284,Thermal,1.0
285,Thermal,1.0
286,Thermal,1.0
287,Thermal,1.0
288,Thermal,1.0
289,Thermal,1.0
290,Thermal,1.0
291,Thermal,1.0
292,Thermal,1.0
293,Thermal,1.0
294,Thermal,1.0
295,Thermal,1.0
296,Thermal,1.0
297,Thermal,1.0
298,Thermal,1.0
299,Thermal,1.0
300,Thermal,1.0
301,Thermal,1.0
302,Thermal,1.0
303,Thermal,1.0
304,Thermal,1.0
305,Thermal,1.0
306,Thermal,1.0
307,Thermal,1.0
