TIMESTAMP,RESOURCES,importCost
1,electricity,100000000
2,electricity,100000000
3,electricity,100000000
4,electricity,100000000
5,electricity,100000000
6,electricity,100000000
7,electricity,100000000
8,electricity,100000000
9,electricity,100000000
10,electricity,100000000
11,electricity,100000000
12,electricity,100000000
13,electricity,100000000
14,electricity,100000000
15,electricity,100000000
16,electricity,100000000
17,electricity,100000000
18,electricity,100000000
19,electricity,100000000
20,electricity,100000000
21,electricity,100000000
22,electricity,100000000
23,electricity,100000000
24,electricity,100000000
25,electricity,100000000
26,electricity,100000000
27,electricity,100000000
28,electricity,100000000
29,electricity,100000000
30,electricity,100000000
31,electricity,100000000
32,electricity,100000000
33,electricity,100000000
34,electricity,100000000
35,electricity,100000000
36,electricity,100000000
37,electricity,100000000
38,electricity,100000000
39,electricity,100000000
40,electricity,100000000
41,electricity,100000000
42,electricity,100000000
43,electricity,100000000
44,electricity,100000000
45,electricity,100000000
46,electricity,100000000
47,electricity,100000000
48,electricity,100000000
49,electricity,100000000
50,electricity,100000000
51,electricity,100000000
52,electricity,100000000
53,electricity,100000000
54,electricity,100000000
55,electricity,100000000
56,electricity,100000000
57,electricity,100000000
58,electricity,100000000
59,electricity,100000000
60,electricity,100000000
61,electricity,100000000
62,electricity,100000000
63,electricity,100000000
64,electricity,100000000
65,electricity,100000000
66,electricity,100000000
67,electricity,100000000
68,electricity,100000000
69,electricity,100000000
70,electricity,100000000
71,electricity,100000000
72,electricity,100000000
73,electricity,100000000
74,electricity,100000000
75,electricity,100000000
76,electricity,100000000
77,electricity,100000000
78,electricity,100000000
79,electricity,100000000
80,electricity,100000000
81,electricity,100000000
82,electricity,100000000
83,electricity,100000000
84,electricity,100000000
85,electricity,100000000
86,electricity,100000000
87,electricity,100000000
88,electricity,100000000
89,electricity,100000000
90,electricity,100000000
91,electricity,100000000
92,electricity,100000000
93,electricity,100000000
94,electricity,100000000
95,electricity,100000000
96,electricity,100000000
97,electricity,100000000
98,electricity,100000000
99,electricity,100000000
100,electricity,100000000
101,electricity,100000000
102,electricity,100000000
103,electricity,100000000
104,electricity,100000000
105,electricity,100000000
106,electricity,100000000
107,electricity,100000000
108,electricity,100000000
109,electricity,100000000
110,electricity,100000000
111,electricity,100000000
112,electricity,100000000
113,electricity,100000000
114,electricity,100000000
115,electricity,100000000
116,electricity,100000000
117,electricity,100000000
118,electricity,100000000
119,electricity,100000000
120,electricity,100000000
121,electricity,100000000
122,electricity,100000000
123,electricity,100000000
124,electricity,100000000
125,electricity,100000000
126,electricity,100000000
127,electricity,100000000
128,electricity,100000000
129,electricity,100000000
130,electricity,100000000
131,electricity,100000000
132,electricity,100000000
133,electricity,100000000
134,electricity,100000000
135,electricity,100000000
136,electricity,100000000
137,electricity,100000000
138,electricity,100000000
139,electricity,100000000
140,electricity,100000000
141,electricity,100000000
142,electricity,100000000
143,electricity,100000000
144,electricity,100000000
145,electricity,100000000
146,electricity,100000000
147,electricity,100000000
148,electricity,100000000
149,electricity,100000000
150,electricity,100000000
151,electricity,100000000
152,electricity,100000000
153,electricity,100000000
154,electricity,100000000
155,electricity,100000000
156,electricity,100000000
157,electricity,100000000
158,electricity,100000000
159,electricity,100000000
160,electricity,100000000
161,electricity,100000000
162,electricity,100000000
163,electricity,100000000
164,electricity,100000000
165,electricity,100000000
166,electricity,100000000
167,electricity,100000000
168,electricity,100000000
169,electricity,100000000
170,electricity,100000000
171,electricity,100000000
172,electricity,100000000
173,electricity,100000000
174,electricity,100000000
175,electricity,100000000
176,electricity,100000000
177,electricity,100000000
178,electricity,100000000
179,electricity,100000000
180,electricity,100000000
181,electricity,100000000
182,electricity,100000000
183,electricity,100000000
184,electricity,100000000
185,electricity,100000000
186,electricity,100000000
187,electricity,100000000
188,electricity,100000000
189,electricity,100000000
190,electricity,100000000
191,electricity,100000000
192,electricity,100000000
193,electricity,100000000
194,electricity,100000000
195,electricity,100000000
196,electricity,100000000
197,electricity,100000000
198,electricity,100000000
199,electricity,100000000
200,electricity,100000000
201,electricity,100000000
202,electricity,100000000
203,electricity,100000000
204,electricity,100000000
205,electricity,100000000
206,electricity,100000000
207,electricity,100000000
208,electricity,100000000
209,electricity,100000000
210,electricity,100000000
211,electricity,100000000
212,electricity,100000000
213,electricity,100000000
214,electricity,100000000
215,electricity,100000000
216,electricity,100000000
217,electricity,100000000
218,electricity,100000000
219,electricity,100000000
220,electricity,100000000
221,electricity,100000000
222,electricity,100000000
223,electricity,100000000
224,electricity,100000000
225,electricity,100000000
226,electricity,100000000
227,electricity,100000000
228,electricity,100000000
229,electricity,100000000
230,electricity,100000000
231,electricity,100000000
232,electricity,100000000
233,electricity,100000000
234,electricity,100000000
235,electricity,100000000
236,electricity,100000000
237,electricity,100000000
238,electricity,100000000
239,electricity,100000000
240,electricity,100000000
241,electricity,100000000
242,electricity,100000000
243,electricity,100000000
244,electricity,100000000
245,electricity,100000000
246,electricity,100000000
247,electricity,100000000
248,electricity,100000000
249,electricity,100000000
250,electricity,100000000
251,electricity,100000000
252,electricity,100000000
253,electricity,100000000
254,electricity,100000000
255,electricity,100000000
256,electricity,100000000
257,electricity,100000000
258,electricity,100000000
259,electricity,100000000
260,electricity,100000000
261,electricity,100000000
262,electricity,100000000
263,electricity,100000000
264,electricity,100000000
265,electricity,100000000
266,electricity,100000000
267,electricity,100000000
268,electricity,100000000
269,electricity,100000000
270,electricity,100000000
271,electricity,100000000
272,electricity,100000000
273,electricity,100000000
274,electricity,100000000
275,electricity,100000000
276,electricity,100000000
277,electricity,100000000
278,electricity,100000000
279,electricity,100000000
280,electricity,100000000
281,electricity,100000000
282,electricity,100000000
283,electricity,100000000
