AREAS,STOCK_TECHNO,storageCost,p_max,c_min,c_max,efficiency_in,dissipation,efficiency_out
FR,Battery,100,0.0,0.0,0.0,0.9,0,0.9
FR,HydroStorage,100,4965.0,99300.0,99300.0,0.9,0,0.9
BE,Battery,100,0.0,0.0,0.0,0.9,0,0.9
BE,HydroStorage,100,1308.0,32700.0,32700.0,0.9,0,0.9
DE,Battery,100,0.0,0.0,0.0,0.9,0,0.9
DE,HydroStorage,100,8894.24,133413.6,133413.6,0.9,0,0.9
ES,Battery,100,0.0,0.0,0.0,0.9,0,0.9
ES,HydroStorage,100,5645.4,56454.0,56454.0,0.9,0,0.9
GB,Battery,100,0.0,0.0,0.0,0.9,0,0.9
GB,HydroStorage,100,2744.0,27440.0,27440.0,0.9,0,0.9
IT,Battery,100,0.0,0.0,0.0,0.9,0,0.9
IT,HydroStorage,100,7157.0,71570.0,71570.0,0.9,0,0.9
CH,Battery,100,0.0,0.0,0.0,0.9,0,0.9
CH,HydroStorage,100,6228.0,124560.0,124560.0,0.9,0,0.9
