AREAS;STOCK_TECHNO;storageCost;p_max;c_min;c_max;efficiency_in;dissipation;efficiency_out
FR;Battery;11849.93;3000;0.0;12000;0.9;0;0.9
FR;HydroStorage;4218.34;8000;0.0;80000;0.9;0;0.9
BE;Battery;11849.93;0.0;0.0;0.0;0.9;0;0.9
BE;HydroStorage;4218.34;1300;0.0;13000;0.9;0;0.9
DE;Battery;11849.93;0.0;0.0;0.0;0.9;0;0.9
DE;HydroStorage;4218.34;9500;0.0;95000;0.9;0;0.9
ES;Battery;11849.93;2500;0.0;10000;0.9;0;0.9
ES;HydroStorage;4218.34;7890;0.0;78900;0.9;0;0.9
GB;Battery;11849.93;11700;0.0;46800;0.9;0;0.9
GB;HydroStorage;4218.34;4300;0.0;43000;0.9;0;0.9
IT;Battery;11849.93;6000;0.0;24000;0.9;0;0.9
IT;HydroStorage;4218.34;11900;0.0;119000;0.9;0;0.9
CH;Battery;11849.93;1220;0.0;4880;0.9;0;0.9
CH;HydroStorage;4218.34;3790;0.0;37900;0.9;0;0.9
