AREAS,TECHNOLOGIES,energyCost,capacity,EnergyNbhourCap,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2
FR,TAC,84.0,4000,0,0.0,0.0,0,0
FR,Coal,80.0,2000,0,0.06,0.06,0,0
FR,CCG,68.8,12000,0,0.06,0.06,0,0
FR,OldNuke,7.0,63000,0,0.04,0.04,0,0
FR,NukeCarrene,7.0,0,0,0.0,0.0,0,0
FR,NewNuke,7.0,0,0,0.0,0.0,0,0
FR,WindOnShore,0.0,14900,0,0.0,0.0,0,0
FR,WindOffShore,0.0,0,0,0.0,0.0,0,0
FR,HydroReservoir,0.0,7000,2100,0.0,0.0,0,0
FR,HydroRiver,0.0,10000,0,0.0,0.0,0,0
FR,Solar,0.0,9600,0,0.0,0.0,0,0
FR,ResidentialRoofTopSolar,0.0,0,0,0.0,0.0,0,0
FR,IndusRoofTopSolar,0.0,0,0,0.0,0.0,0,0
FR,curtailment,3000.0,10000,0,0.0,0.0,0,0
DE,TAC,84.0,3000,0,0.0,0.0,0,0
DE,Coal,80.0,30000,0,0.05,0.05,0,0
DE,Lignite,68.8,23000,0,0.05,0.05,0,0
DE,OldNuke,7.0,8100,0,0.04,0.04,0,0
DE,CCG,68.8,28000,0,0.06,0.06,0,0
DE,Biomass,80.0,9600,0,0.0,0.0,0,0
DE,WindOnShore,0.0,53100,0,0.0,0.0,0,0
DE,WindOffShore,0.0,7500,0,0.0,0.0,0,0
DE,HydroReservoir,0.0,0,2100,0.0,0.0,0,0
DE,HydroRiver,0.0,14600,0,0.0,0.0,0,0
DE,Solar,0.0,49000,0,0.0,0.0,0,0
DE,ResidentialRoofTopSolar,0.0,0,0,0.0,0.0,0,0
DE,IndusRoofTopSolar,0.0,0,0,0.0,0.0,0,0
DE,curtailment,3000.0,10000,0,0.0,0.0,0,0
