Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;0.0;4.430201102934204;47.41842692277532;12.193447341468987;17.58505612159092;3.4720175062037626;0.0;0.0
2021;0.0;4.266021554246566;47.19887355682465;12.152140411860252;17.548309509787632;3.6290772579575004;0.04867241747232138;0.0070290725170745185
2022;0.0;3.958585224351702;46.77274166486029;12.138354500944581;17.50687322874551;3.9363597342523247;0.13222905825614975;0.021164082753987293
2023;0.0;3.510756710978867;46.17977701475255;12.15887562643171;17.456041307755548;4.385856214809558;0.24931434398108532;0.04168404273198675
2024;0.0;2.9407227264759626;45.53277949895511;12.20372881422791;17.39821038388057;4.968253896174204;0.399148015779899;0.06790472152495367
2025;0.0;2.3810376300903893;44.7371978853237;12.242928134266412;17.32887005503383;5.577120429489645;0.5809399983069601;0.09939188959359148
2026;0.0;1.8327078502352552;43.3328004288434;12.342575665977591;17.223057048272313;6.436393942139093;1.0335798254000976;0.17212695324654687
2027;0.0;1.2966365809192648;41.927447974590216;12.410886915281832;17.10262655060536;7.317352756874026;1.5202709952662443;0.2504820788180161
2028;0.0;0.7806283449271615;40.380844596446394;12.488608328852719;16.968848440514606;8.214411330648629;2.0388899571679366;0.3336179584054264
2029;0.0;0.28658957115101297;38.69259451378653;12.55624276596256;16.81984708246518;9.113854348321684;2.5879594832074435;0.4207079887135505
2030;0.0;0.0;36.876828968537076;12.567389329974894;16.652612018055116;9.864238610840042;3.1663093870970913;0.5112575108658312
2031;0.0;0.0;35.085773790472125;12.516114654714942;16.479353933616355;10.365884409254166;3.741149815786319;0.5994040414256318
2032;0.0;0.0;33.32223933695803;12.456557252149903;16.298821588244593;10.845829709621249;4.31021193909638;0.6846647960800873
2033;0.0;0.0;31.591359915644833;12.387867186999557;16.111883759559472;11.306589505620552;4.8746627932215745;0.7673509312222635
2034;0.0;0.0;30.028342688330884;12.299987186044095;15.883521963011265;11.761805160492287;5.432318955941935;0.8496363205327375
2035;0.0;0.0;28.601031849623933;12.19437327545411;15.62519580050272;12.214116593716092;5.98620228069601;0.9310452630604742
2036;0.0;0.0;27.191774310329684;12.081634415801735;15.362975275131639;12.65185375499215;6.532717546450437;1.01054494087541
2037;0.0;0.0;25.807763809573917;11.963165893178871;15.097737157085607;13.073681178293416;7.067609869560542;1.088263452389443
2038;0.0;0.0;24.44732840245902;11.838864732616138;14.830434232786553;13.479593698569184;7.5944717711075045;1.1637993417249295
2039;0.0;0.0;23.112739012468854;11.708397135770662;14.558518488850622;13.867620698318909;8.114222828708161;1.2371278318574321
2040;0.0;0.0;21.805827383079258;11.571546193890612;14.282771221593595;14.238977007296173;8.624421745342673;1.3079995031116525
2041;0.0;0.0;20.53139412136331;11.434879812740492;14.00645402435931;14.59618166717699;9.12675179793904;1.3769941534600212
2042;0.0;0.0;19.295787929308283;11.298198757842487;13.727942660134822;14.940443373396143;9.621767373716608;1.444229734990351
2043;0.0;0.0;18.09198256098704;11.161158593982721;13.448339426099727;15.26852446318506;10.108256299599333;1.5091252408310027
2044;0.0;0.0;16.924351117389197;11.02318876390422;13.167283072813664;15.583016686620693;10.586021402550465;1.57171469553368
2045;0.0;0.0;15.928833866146517;11.068620936511339;12.842102370192185;15.96040956871387;11.0391651553081;1.6396655165633844
2046;0.0;0.0;14.956902569304626;11.115042761141295;12.517911475465146;16.32489543444143;11.488139560049108;1.7060601967425235
2047;0.0;0.0;14.006201480275829;11.153583597758512;12.196007719050138;16.676407170300163;11.930998952069872;1.770861074674122
2048;0.0;0.0;13.0782091158937;11.188681164834765;11.878150393501361;17.018150577591484;12.349891195427926;1.8343851730805836
2049;0.0;0.0;12.172135524024442;11.222206623432431;11.565996840707005;17.346152362442893;12.759457682196256;1.8963874293869847
2050;0.0;0.0;11.290541587687695;11.2544519997582;11.25670525784449;17.664861865185586;13.157837072696845;1.9570685178227432
2051;0.0;0.0;11.03068560499986;11.210895213354812;11.045336667979132;17.67557930908321;13.271177758110154;1.9737425179703352
2052;0.0;0.0;10.771286469907537;11.168577930164819;10.837133106086315;17.687268870473197;13.38525777039726;1.9906459661164189
2053;0.0;0.0;10.514720604735665;11.12743712540128;10.627200706356259;17.70056389638398;13.499505560558662;2.0070305152413077
2054;0.0;0.0;10.258224956732107;11.087302992178358;10.419452537587368;17.715018678173315;13.61427129493713;2.0238801897439056
2055;0.0;0.0;10.003529543865431;11.049061896798062;10.213003444636184;17.729453574480512;13.728631093901551;2.040928467224651
2056;0.0;0.0;9.750658023458712;11.01253758466311;10.007644661643267;17.745652932763026;13.84375300742804;2.05797319937193
2057;0.0;0.0;9.498865328533272;10.978394622163426;9.803165018096365;17.76239036248187;13.958716102593524;2.074899522070045
2058;0.0;0.0;9.248580366524711;10.943604836958475;9.598901134106011;17.779982474585367;14.073298247956862;2.091752604334346
2059;0.0;0.0;8.999801158913508;10.910309369469418;9.396767978313937;17.802385015889378;14.187767590463576;2.1085646982756603
2060;0.0;0.0;8.804429771937755;10.92073190153246;9.248708986587467;17.901796442546953;14.339797599716565;2.1298060018909357
