Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;0.0;4.430201102934204;47.41842692277532;12.193447341468987;17.58505612159092;3.4720175062037626;0.0;0.0
2021;0.0;4.266946225862001;47.2331334574296;12.156219851938255;17.550601393609384;3.6293036907952523;0.04869594258855462;0.007034036663155969
2022;0.0;3.963302074373711;46.880611281879226;12.155735140479457;17.508954384467184;3.937517938453704;0.13235538364350768;0.021221305087809242
2023;0.0;3.5223264592986445;46.35718600594406;12.191524810206054;17.458950652328674;4.388653191394591;0.2494833030645565;0.04180728269991582
2024;0.0;2.9586007455583916;45.728139499196935;12.259801501579275;17.40025705576388;4.978131423588376;0.3993061586262209;0.06821932897367641
2025;0.0;2.4047324251733135;45.000885226860575;12.330842294714458;17.332254247073777;5.595133959685428;0.5815737763657893;0.09988936814507289
2026;0.0;1.8623102372359581;43.70568845370081;12.487074500090984;17.230063720474636;6.472877516701405;1.0351706965118725;0.17318183363194015
2027;0.0;1.3311496379348653;42.45385869247222;12.649595909593849;17.11683362347878;7.386746048664308;1.5238867133867762;0.2527054549103267
2028;0.0;0.810596052695239;41.10605634845751;12.815408349943022;16.9913609363913;8.327994280689767;2.046437876471585;0.33768319428674204
2029;0.0;0.30242720355771685;39.677194291137596;12.986630277730578;16.855618407052315;9.291102096648494;2.6008476371403138;0.427806803496028
2030;0.0;0.0;38.1641812933632;13.123028206384115;16.7084847190541;10.123094166405531;3.1876624502555257;0.5229533084198809
2031;0.0;0.0;36.66475825258554;13.194249036136357;16.55512512841171;10.703076682461775;3.771600738146778;0.6165983569293018
2032;0.0;0.0;35.18225763773525;13.260516993695422;16.398504794568666;11.270303855366544;4.353594110015029;0.7088060955886681
2033;0.0;0.0;33.718181700018434;13.321967447145683;16.236925927586555;11.826021328491377;4.932903476792586;0.7994374281852853
2034;0.0;0.0;32.27298115148284;13.381107643492276;16.069807857743342;12.369718093255006;5.508524315362705;0.8885278719980937
2035;0.0;0.0;30.84946908496554;13.433945196615689;15.89622917154893;12.899890076203985;6.082145959522135;0.9755215160159557
2036;0.0;0.0;29.526702684995147;13.444423310067735;15.703979473394263;13.424461433483202;6.654529587343678;1.063091141434284
2037;0.0;0.0;28.21778238823146;13.451247911281634;15.509522068186989;13.936375102805636;7.224485369341607;1.1489779334685435
2038;0.0;0.0;26.926698496390532;13.450080068187344;15.312537813811483;14.439299774405347;7.785314176255095;1.233618643184581
2039;0.0;0.0;25.655732137605487;13.443726660139868;15.112374818067062;14.929867862944926;8.341333961733724;1.3164425339190748
2040;0.0;0.0;24.4030576613586;13.432670500774606;14.90892793416506;15.409785957032472;8.892438258881668;1.3972045280151888
2041;0.0;0.0;23.178230943712784;13.418198549590707;14.703031785471792;15.879396890038741;9.439936391201167;1.4771278445277605
2042;0.0;0.0;21.9754577839268;13.398857455369326;14.495670264063257;16.34023484777031;9.9817002450981;1.5555698106647073
2043;0.0;0.0;20.798818573081302;13.377097315218636;14.28815790714653;16.790930030300405;10.519682214213624;1.6328188971761524
2044;0.0;0.0;19.646353285925716;13.350569144675005;14.076739766079417;17.232312818050353;11.052889194812447;1.7081161534148759
2045;0.0;0.0;18.518753766231132;13.32150568742558;13.863413235586385;17.664724567503868;11.580522667812318;1.7819400826146394
2046;0.0;0.0;17.416402287872728;13.288366225933059;13.64887459321279;18.086627032015674;12.102879066551143;1.8555969646828196
2047;0.0;0.0;16.34082194502191;13.250020768111396;13.43275759096611;18.500852135818764;12.620722161659897;1.9270734785413075
2048;0.0;0.0;15.289971938948744;13.205363689417238;13.216767337592858;18.904903126027683;13.133323010379705;1.997410667671678
2049;0.0;0.0;14.266413955899068;13.154366015053832;13.000701982496528;19.30095501885114;13.640431095058707;2.065797944964137
2050;0.0;0.0;13.270682379768617;13.093457527684187;12.784944040731103;19.687797399527685;14.14212306725921;2.133138562553516
2051;0.0;0.0;13.004692322818183;12.927937043456419;12.67412238226611;19.71714403889328;14.320957967268868;2.1496037056967676
2052;0.0;0.0;12.773760626430729;12.926761128753174;12.553664161845187;19.770923658225573;14.491421406825776;2.1687322852538147
2053;0.0;0.0;12.551461833104554;12.956822099022427;12.43407045195326;19.84174965806852;14.68339559403513;2.1880038585998984
2054;0.0;0.0;12.362431905392251;12.982857398032744;12.316302611693471;19.91300960994643;14.878044366070947;2.2104607487398815
2055;0.0;0.0;12.185695939454732;13.01090372724053;12.196435673851775;20.010587361955785;15.060115915840687;2.234719053131918
2056;0.0;0.0;12.011972029444323;13.036959222638961;12.079024417764398;20.10829289578714;15.249289699468378;2.2585641611599714
2057;0.0;0.0;11.84125784341805;13.062520808915252;11.960077972418942;20.20762355777275;15.43781974808091;2.2824755166921165
2058;0.0;0.0;11.668904523797279;13.088448554991636;11.842639652654219;20.307611652122993;15.624821722118732;2.3063388476392825
2059;0.0;0.0;11.498901726570468;13.115695990103674;11.722254263904563;20.407766714767835;15.81050078963113;2.329963281470732
2060;0.0;0.0;11.329469469560689;13.141709902911035;11.604019647871622;20.506235254935287;15.99711293106677;2.353662847555535
