Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;17.07658220463226;52.39743349820815;80.44655532935;0.15602839920515252;47.66027776000367;8.469435597634076;0.0;0.0
2021;17.189186804316535;50.383636692267;78.62395422993309;0.15285613965176995;47.31967055246693;10.265785196336864;0.3544104452077516;0.046362151040824154
2022;17.672154445910675;46.68977723992756;76.43804878735898;0.15016705361568133;46.82444493970378;13.435258413298003;0.9171822377202105;0.13621383177098095
2023;18.572158646093133;41.38462633598495;74.05434960708747;0.14805220125270566;46.17567615868373;17.902061210933496;1.682381684051429;0.26687150104425483
2024;19.783020249453884;34.65901952218637;71.28162981011447;0.1457256561611086;45.36660129621263;23.659774360974588;2.6547741379703105;0.5327892469630677
2025;21.002363629836314;28.077180917767762;68.07149396971376;0.14330375591393069;44.40453280126891;29.368473760267985;3.743482116528939;0.8313484565511213
2026;22.139837905972232;21.675124780137946;64.84068480881906;0.14066820588471549;43.28914959960344;35.023931107003;4.947399886398299;1.1634252738963677
2027;23.15493460279757;15.475873180350547;61.78047392138487;0.13690622899375893;42.01817947908894;40.59542311129079;6.267327326875181;1.531646001838469
2028;24.16184693915565;9.527173123120315;58.405965154640676;0.13293675071780037;40.596836130424826;46.060846204457505;7.692650384702443;1.9277573504955428
2029;25.132494682628003;3.8445651392454003;54.737633451255476;0.12842885386221642;39.028665521308135;51.32709184049953;9.217149372297557;2.3469475265402804
2030;25.804768537368762;0.0006367919640784047;50.800232609589834;0.12391234098529508;37.31434997281951;55.10185216692521;10.761236237212566;2.7855353832116836
2031;25.8649973306149;0.0;46.96044488450469;0.1191441004771321;35.608208633596846;55.6967905464002;12.094582665846945;3.2029745114830734
2032;25.892113907336253;0.0;43.224392335438964;0.11436895049579987;33.907126225635544;56.184496855489996;13.408260808711468;3.599918384249561
2033;25.88313374935553;0.0;39.599988593676855;0.10968581058321887;32.2173643056882;56.56638209459957;14.702278542161281;3.9746630881676577
2034;25.969870912867712;0.0;36.19762526752513;0.1059022029258212;30.41462061380455;57.15102390545976;15.957140697050132;4.336333948608006
2035;26.130420775150625;0.0;32.98049424125313;0.1032055109425184;28.535146309859144;57.88963410094649;17.17310466306716;4.688173842853449
2036;26.255493311316624;0.0;29.860273215779007;0.1001705320896276;26.68223981456897;58.54658461299206;18.359052125941453;5.0201999681214176
2037;26.349303386934142;0.0;26.837773948962536;0.09708148576556519;24.859605822018978;59.11372314951824;19.50711531101594;5.331070474312464
2038;26.408715056829553;0.0;23.920106613288027;0.09394823552228462;23.06575794669676;59.58709637066349;20.5974791187301;5.621707791363609
2039;26.43752184151207;0.0;21.10950424882492;0.09080047064917394;21.303491600989492;60.00998419603016;21.64710264814652;5.891875913877468
2040;26.43391747628296;0.0;18.41157200195494;0.08759348980939295;19.573395165605692;60.3369972702646;22.657574887735333;6.142171175859455
2041;26.405534228452964;0.0;15.833750206314003;0.08460103051578162;17.88325980243541;60.5873509282867;23.632070535599507;6.371038630487675
2042;26.35539898612168;0.0;13.375119813603257;0.0814647259823949;16.225817786652467;60.767761853203226;24.56778431599175;6.58006107672536
2043;26.279969364405677;0.0;11.040010790106578;0.07857997479753226;14.607084346299196;60.87144010493121;25.465544724684467;6.771379394957918
2044;26.18061693887618;0.0;8.825698552657727;0.07531592772637019;13.02559402490548;60.90289897593436;26.32667831640254;6.943211709671021
2045;26.33578512596776;0.0;6.819780862560962;0.07365565399693659;11.447267022093524;61.30359101804679;27.075494941065113;7.165901797023781
2046;26.471503322833073;0.0;4.891529328485298;0.07201065290475206;9.915761425779113;61.674303829792514;27.831146214011326;7.382908561725731
2047;26.57384247523633;0.0;3.038831672509679;0.07038554039518889;8.429647218629238;61.974305223705414;28.490572089964175;7.590514912602152
2048;26.653682217828432;0.0;1.2602667491508945;0.06849870600874867;6.989274345510222;62.213531771437616;29.093664989040263;7.772851966286116
2049;26.62940918498958;0.0;0.061532586203108586;0.06668730949290466;5.596978638483089;62.080426099850314;29.625100459327694;7.864355620911979
2050;26.418137032741253;0.0;0.00309294553805367;0.06488304363741122;4.253214198126791;61.21815203710347;30.053018444265316;7.774362806012323
2051;26.034060169355854;0.0;0.0030411771249119245;0.06308520313711079;4.167900737453299;60.23213174964888;29.45217191893525;7.6744917165869735
2052;25.650616221782474;0.0;0.0029619794855588162;0.061219136283078526;4.083029707306513;59.24282607619289;28.85043763206793;7.57214355003375
2053;25.264067100854472;0.0;0.0028858478748424086;0.05938187684483564;3.9976714555165302;58.24964773198078;28.25014895177473;7.470615452776189
2054;24.873860310025595;0.0;0.0028494144855449777;0.057558136818176585;3.91207863353104;57.25407747503768;27.6487612999413;7.367502974512308
2055;24.481636686842492;0.0;0.0027555175474924015;0.05580534100846142;3.8261379471873793;56.255644538238904;27.049863264285474;7.265027283937746
2056;24.087237126743688;0.0;0.002738578322974752;0.05411325212988044;3.741044870578003;55.25121804568011;26.45004292241652;7.16032291369826
2057;23.692205208084406;0.0;0.0026247654566894448;0.05230683227531838;3.6555288923958322;54.24804390358728;25.850139741457674;7.05647730598336
2058;23.293634380807877;0.0;0.0025876434884656;0.05056082661780497;3.5698874972791654;53.241111373289456;25.249992052060858;6.949964221422021
2059;22.891417068742687;0.0;0.002427701961455254;0.048747091516672926;3.4842323141373397;52.23317746456028;24.652564329925344;6.843454641399223
2060;22.60177362532043;0.0;0.002386468569565033;0.04735530977085645;3.420506884248589;51.53689361769401;24.206095312859464;6.770625970663197
