Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;0;475230;5654754;1554877;3995209;783372;0;0
2021;0;457624;5766288;1567052;3988933;802757;10830;854
2022;0;426082;5866361;1583368;3979731;839403;28525;2596
2023;0;380851;5954921;1603950;3966800;893257;53012;5232
2024;0;321909;6031837;1628768;3951081;963887;84255;8729
2025;0;263394;6097409;1654898;3931893;1040257;122226;13079
2026;0;205269;5986026;1705979;3903103;1190325;237066;28936
2027;0;147627;5862628;1758650;3870954;1346779;359254;45719
2028;0;90362;5726378;1812859;3835628;1509173;488479;63431
2029;0;33834;5577262;1868514;3796942;1676984;624651;82025
2030;0;0;5416414;1921116;3754741;1832932;767750;101554
2031;0;0;5255564;1967201;3712633;1961782;911076;121101
2032;0;0;5095160;2013263;3670412;2090358;1054195;140621
2033;0;0;4935470;2059040;3628439;2218899;1197350;160162
2034;0;0;4776215;2105164;3586018;2347488;1340467;179686
2035;0;0;4618641;2151319;3543918;2475577;1484562;199134
2036;0;0;4459956;2197071;3501742;2603645;1628458;218595
2037;0;0;4301933;2242789;3459350;2731328;1771101;238060
2038;0;0;4144442;2288456;3417140;2858798;1913379;257490
2039;0;0;3987750;2334008;3374574;2985654;2055563;276878
2040;0;0;3831927;2379437;3332041;3112410;2197315;296176
2041;0;0;3676431;2424819;3289563;3238642;2338733;315490
2042;0;0;3522312;2470240;3247126;3364553;2479842;334794
2043;0;0;3368559;2515571;3204637;3489794;2620577;354019
2044;0;0;3215729;2560684;3162043;3614507;2760781;373129
2045;0;0;3065314;2607201;3120382;3741838;2901507;392202
2046;0;0;2915067;2654061;3078175;3866301;3043268;411171
2047;0;0;2765031;2698789;3035820;3989456;3185062;430031
2048;0;0;2615711;2742879;2993380;4112032;3322968;448797
2049;0;0;2467210;2786784;2951516;4233638;3460312;467508
2050;0;0;2319913;2830496;2909275;4354616;3596799;486136
2051;0;0;2298298;2858513;2897924;4412779;3664074;495820
2052;0;0;2276168;2886270;2886900;4470709;3731281;505503
2053;0;0;2254304;2913872;2875088;4528616;3798229;515052
2054;0;0;2232012;2941380;2863481;4586191;3865059;524657
2055;0;0;2209760;2968853;2851967;4643417;3931649;534264
2056;0;0;2187371;2996277;2840241;4700561;3997957;543887
2057;0;0;2164839;3023804;2828399;4757158;4063996;553405
2058;0;0;2142211;3050705;2816180;4813461;4129590;562860
2059;0;0;2119484;3077377;2804077;4869983;4194843;572251
2060;0;0;2097375;3105097;2792150;4934322;4260400;581548
