Année;A;B;C;D;E;F;G
2020;802965;1976533;4490942;4743737;2735482;1041661;487776
2021;964925;1969570;4470685;4716718;2840847;1224365;169814
2022;1124840;1962398;4449758;4689710;3029659;1175672;0
2023;1282810;1955040;4428415;4732644;3241698;862987;0
2024;1438655;1947497;4406834;4948186;3295685;534947;0
2025;1592335;1939698;4384418;5172472;3355647;191950;0
2026;1743909;1931876;4463981;5346433;3211425;0;0
2027;1893399;1923838;4690375;5429752;2819039;0;0
2028;2040395;1915207;5001681;5441842;2411595;0;0
2029;2185241;1906613;5364652;5415155;1989316;0;0
2030;2327699;1897735;5753130;5377064;1552219;0;0
2031;2467729;1888639;6147505;5338283;1108689;0;0
2032;2605559;1879322;6547204;5299386;659096;0;0
2033;2740863;1869837;6953048;5260181;203480;0;0
2034;2874092;2014297;7195361;4977467;0;0;0
2035;3004870;2287108;7303997;4496855;0;0;0
2036;3132583;2566854;7411011;4010514;0;0;0
2037;3257852;2852915;7516673;3518198;0;0;0
2038;3380346;3144413;7619010;3020014;0;0;0
2039;3500364;3462398;7699538;2516507;0;0;0
2040;3617655;3786256;7778861;2008161;0;0;0
2041;3732344;4110884;7853018;1503156;0;0;0
2042;3844190;4436772;7921339;1001785;0;0;0
2043;3953222;4763080;7984142;504517;0;0;0
2044;4059393;5090054;8042267;11022;0;0;0
2045;4281718;5407052;7513014;0;0;0;0
2046;4501885;5726494;6979487;0;0;0;0
2047;4706602;6046740;6446119;0;0;0;0
2048;4901320;6367808;5914279;0;0;0;0
2049;5088390;6689809;5386091;0;0;0;0
2050;5266866;7012743;4861778;0;0;0;0
2051;5438275;7334957;4341119;0;0;0;0
2052;5606636;7652998;3824594;0;0;0;0
2053;5771776;7966616;3312504;0;0;0;0
2054;5933595;8276318;2804136;0;0;0;0
2055;6091946;8582275;2299975;0;0;0;0
2056;6246215;8883581;1800458;0;0;0;0
2057;6397961;9180999;1304867;0;0;0;0
2058;6546045;9473825;813715;0;0;0;0
2059;6690675;9762636;327085;0;0;0;0
2060;6808405;9922478;0;0;0;0;0
