Année;Biomasse;Chaudière fioul;Chaudière gaz;Chauffage urbain;Chauffage électrique;Pompes à chaleur air-eau;Pompes à chaleur air-air;Pompes à chaleur hybride
2020;1191523;3225130;5466664;13311;5435658;946810;0;0
2021;1235056;3112703;5451976;13224;5399157;1099168;42450;3190
2022;1297670;2905856;5416531;13142;5345040;1340027;104204;9567
2023;1379207;2604745;5360163;13067;5273334;1668763;185160;19155
2024;1490392;2210257;5244895;12978;5182775;2096027;286835;47645
2025;1606068;1817945;5109163;12903;5074739;2533960;402704;79038
2026;1725799;1427584;4953349;12839;4949767;2982319;532612;113355
2027;1849768;1039643;4777719;12767;4807690;3441145;677097;150574
2028;1977897;653803;4582145;12691;4648434;3910047;835066;190637
2029;2109783;270384;4367073;12595;4472393;4388711;1006544;233494
2030;2229105;74;4132505;12520;4279586;4788649;1186220;279188
2031;2306735;0;3898777;12423;4087509;4969831;1351185;324385
2032;2383579;0;3666319;12332;3895746;5148631;1514787;369173
2033;2459327;0;3435157;12252;3704890;5325250;1677071;413462
2034;2534261;0;3205620;12155;3514643;5499311;1838025;457202
2035;2608095;0;2977576;12092;3324854;5670740;1998761;500712
2036;2680411;0;2750681;11992;3135670;5839838;2158692;543678
2037;2751602;0;2524989;11892;2947486;6006315;2317435;585919
2038;2821426;0;2300845;11786;2759964;6169852;2472323;627587
2039;2890327;0;2078226;11679;2573211;6331167;2625465;668732
2040;2958002;0;1857413;11579;2387619;6489696;2777113;709511
2041;3024401;0;1638082;11479;2203272;6645387;2927304;749477
2042;3089762;0;1420233;11380;2019490;6798639;3075711;788871
2043;3153712;0;1204289;11278;1836872;6948632;3222347;827831
2044;3216370;0;990008;11170;1655345;7096228;3367433;866182
2045;3280089;0;777457;11094;1475049;7242144;3511790;904161
2046;3342527;0;566750;11024;1296035;7387958;3661254;942318
2047;3401470;0;357977;10945;1117856;7527905;3802949;980359
2048;3459312;0;151018;10840;940707;7664298;3940977;1016255
2049;3505919;0;7522;10736;764822;7759351;4073990;1041950
2050;3530187;0;390;10638;590288;7766269;4197875;1045740
2051;3530605;0;389;10536;587668;7756092;4180884;1048177
2052;3530705;0;385;10415;584933;7744477;4163203;1050110
2053;3529974;0;383;10302;582081;7731231;4145006;1051919
2054;3528269;0;382;10180;579119;7716573;4126130;1053396
2055;3525742;0;379;10071;576075;7700409;4106857;1054663
2056;3522387;0;378;9965;573005;7682121;4086885;1055513
2057;3518542;0;377;9851;569787;7662770;4066180;1056320
2058;3513730;0;373;9733;566546;7641958;4044750;1056495
2059;3507883;0;371;9611;563155;7619917;4022976;1056483
2060;3501376;0;365;9484;559908;7602742;4000723;1056285
