Année;A;B;C;D;E;F;G
2020;923400;56959200;292960800;375289200;155811600;74406600;15649200
2021;8442336;56674406;291496000;373412756;155032544;74034567;15570953
2022;15961297;56391034;290038523;371545695;154263488;87130556;2020839
2023;23480280;56109079;288588329;369687966;156490845;83696228;2010734
2024;30999285;55828533;287145386;367839529;159162822;79823317;2000681
2025;38518313;55549388;285709657;366000331;165621332;74160555;0
2026;46037365;55271641;284281109;364170330;172134941;66448039;0
2027;53556440;54995283;282859703;364372525;175644005;59723015;0
2028;61075537;54720305;281445406;364308839;191750323;40681689;0
2029;68594657;54446704;280038181;364296959;208273519;21186675;0
2030;76113799;54174471;280408065;366298801;221482573;1236918;0
2031;83632962;53903602;285070599;377918298;202090323;0;0
2032;91152148;53634084;290127538;390504758;180121523;0;0
2033;98671355;53365914;295333132;403416717;157700195;0;0
2034;106190583;53099085;300687709;416654938;134825146;0;0
2035;113709834;52833589;306191592;430220193;111495170;0;0
2036;121229106;52569422;311845122;444113280;87709016;0;0
2037;128748400;52306577;317648655;458334996;63465431;0;0
2038;136267714;52045046;323602541;472886174;38763118;0;0
2039;143787050;51784820;329707149;487767659;13600766;0;0
2040;151306408;56301242;337743642;484401212;0;0;0
2041;158825787;66077775;347694312;460281781;0;0;0
2042;166345185;75750027;357531129;436402445;0;0;0
2043;173864605;85309699;367244440;412781043;0;0;0
2044;181384045;94747205;379787250;386474051;0;0;0
2045;188903506;104126471;392251224;360325768;0;0;0
2046;196422986;113441934;404628230;334349786;0;0;0
2047;203942487;122686734;416908247;308562866;0;0;0
2048;211462008;131852335;431241059;280823661;0;0;0
2049;218981549;141002906;445553915;253140652;0;0;0
2050;226501110;150138720;459847233;225513036;0;0;0
2051;234020691;159260043;474121446;197940005;0;0;0
2052;241540293;168367142;488376985;170420761;0;0;0
2053;249059914;177460284;502614257;142954528;0;0;0
2054;256579554;186539736;516833684;115540508;0;0;0
2055;264099214;195605753;531035673;88177930;0;0;0
2056;271618893;204658595;545220633;60866027;0;0;0
2057;279138592;213698520;559388972;33604036;0;0;0
2058;286658311;222725775;573541095;6391198;0;0;0
2059;297556535;237014312;558251981;0;0;0;0
2060;309420239;252771986;534157139;0;0;0;0
